Inputs,"f(x,y)","f*(x,y)"
1.3446,0.904827,-0.0121648
6.23292,0.968583,-0.0126215
5.01398,0.998027,-0.0125309
3.12903,-0.998027,-0.0123829
1.11841,0.770513,-0.0121367
1.68389,-0.535827,-0.012207
0.603186,-0.992115,-0.0120727
0.427257,-0.535827,-0.0120479
2.19911,-4.28626e-16,-0.012271
2.55097,0.982287,-0.0123147
3.33009,-0.587785,-0.0123991
5.25274,0.425779,-0.0125487
5.4915,-0.684547,-0.0125664
0.113097,0.844328,-0.011986
0.0628319,0.951057,-0.0119645
5.95646,-0.0627905,-0.012601
5.03911,0.998027,-0.0125328
3.36779,-0.425779,-0.0124022
4.28513,-0.844328,-0.0124762
4.48619,-0.904827,-0.0124917
0.615752,-0.998027,-0.0120743
5.08938,0.951057,-0.0125365
5.4538,-0.535827,-0.0125636
2.12372,-0.368125,-0.0122616
0.791681,-0.684547,-0.0120961
1.20637,0.968583,-0.0121477
1.16867,0.904827,-0.012143
2.24938,0.24869,-0.0122772
2.97823,-0.684547,-0.0123678
2.50071,0.998027,-0.0123085
2.42531,0.904827,-0.0122991
3.14159,-1.0,-0.0123839
1.29434,0.982287,-0.0121586
4.00867,0.368125,-0.0124539
0.967611,0.125333,-0.012118
1.93522,-0.968583,-0.0122382
4.2223,-0.637424,-0.0124712
5.7931,-0.770513,-0.0125888
3.22956,-0.904827,-0.012391
5.69257,-0.982287,-0.0125814
1.83469,-0.968583,-0.0122257
0.590619,-0.982287,-0.0120712
5.20248,0.637424,-0.0125449
4.56159,-0.684547,-0.0124973
4.93858,0.904827,-0.0125253
0.527788,-0.876307,-0.0120634
3.61911,0.728969,-0.0124225
5.30301,0.187381,-0.0125524
2.82743,5.51091e-16,-0.0123491
5.27788,0.309017,-0.0125505
4.1469,-0.309017,-0.0124651
1.19381,0.951057,-0.0121461
5.44124,-0.481754,-0.0125627
0.980177,0.187381,-0.0121196
3.79504,0.992115,-0.0124367
2.6892,0.637424,-0.0123319
3.25469,-0.844328,-0.0123931
1.42,0.684547,-0.0121742
4.72496,0.0627905,-0.0125094
1.5331,0.187381,-0.0121883
5.42867,-0.425779,-0.0125617
0.628319,-1.0,-0.0120759
2.8777,-0.24869,-0.0123553
0.213628,0.481754,-0.0120053
4.32283,-0.929776,-0.0124793
4.34796,-0.968583,-0.0124813
4.78779,0.368125,-0.0125141
2.22425,0.125333,-0.0122741
5.94389,-0.125333,-0.0126
3.54372,0.425779,-0.0124164
0.540354,-0.904827,-0.0120649
1.92265,-0.982287,-0.0122367
0.150796,0.728969,-0.0119927
5.47894,-0.637424,-0.0125655
0.766549,-0.770513,-0.012093
4.05894,0.125333,-0.012458
4.27257,-0.809017,-0.0124752
2.34991,0.684547,-0.0122897
4.49876,-0.876307,-0.0124926
2.60124,0.904827,-0.012321
5.00142,0.992115,-0.01253
4.31027,-0.904827,-0.0124783
1.04301,0.481754,-0.0121274
3.44319,-0.0627905,-0.0124083
3.43062,-0.125333,-0.0124073
3.09133,-0.968583,-0.0123799
4.47363,-0.929776,-0.0124907
2.77717,0.24869,-0.0123428
4.82549,0.535827,-0.0125169
3.20442,-0.951057,-0.012389
6.20779,0.929776,-0.0126197
0.376991,-0.309017,-0.0120378
2.90283,-0.368125,-0.0123584
3.76991,1.0,-0.0124346
5.31557,0.125333,-0.0125533
2.62637,0.844328,-0.0123241
5.81823,-0.684547,-0.0125907
1.33204,0.929776,-0.0121633
0.816814,-0.587785,-0.0120993
2.28708,0.425779,-0.0122819
2.71434,0.535827,-0.012335
2.7646,0.309017,-0.0123413
5.07681,0.968583,-0.0125356
6.17009,0.844328,-0.0126169
2.6515,0.770513,-0.0123272
5.12708,0.876307,-0.0125393
1.89752,-0.998027,-0.0122335
1.70903,-0.637424,-0.0122101
1.99805,-0.844328,-0.012246
3.60655,0.684547,-0.0124215
1.14354,0.844328,-0.0121399
1.05558,0.535827,-0.0121289
0.929911,-0.0627905,-0.0121133
2.92796,-0.481754,-0.0123616
1.43257,0.637424,-0.0121758
3.17929,-0.982287,-0.012387
3.75734,0.998027,-0.0124336
4.3354,-0.951057,-0.0124803
1.4954,0.368125,-0.0121836
5.85593,-0.535827,-0.0125935
4.57416,-0.637424,-0.0124982
3.69451,0.929776,-0.0124286
2.13628,-0.309017,-0.0122632
1.63363,-0.309017,-0.0122007
0.942478,-1.07188e-15,-0.0121149
2.85257,-0.125333,-0.0123522
2.40018,0.844328,-0.012296
1.2692,0.998027,-0.0121555
5.6046,-0.968583,-0.0125748
1.09327,0.684547,-0.0121336
2.9531,-0.587785,-0.0123647
3.39292,-0.309017,-0.0124042
6.22035,0.951057,-0.0126206
5.37841,-0.187381,-0.012558
5.21504,0.587785,-0.0125459
3.45575,-2.44991e-15,-0.0124093
5.91876,-0.24869,-0.0125982
0.0502655,0.968583,-0.011955
5.59203,-0.951057,-0.0125739
0.464956,-0.684547,-0.0120554
4.85062,0.637424,-0.0125188
4.4108,-0.998027,-0.0124861
1.00531,0.309017,-0.0121227
4.83805,0.587785,-0.0125178
5.17734,0.728969,-0.0125431
2.51327,1.0,-0.01231
2.56354,0.968583,-0.0123163
0.728849,-0.876307,-0.0120883
3.46832,0.0627905,-0.0124103
0.100531,0.876307,-0.0119843
