Inputs,"f(x,y)","f*(x,y)"
5.55531,-0.665283,-0.0351693
0.73119,0.667756,-0.0351732
4.68875,-0.999721,-0.0351689
0.631839,0.59063,-0.0351736
4.26389,-0.901099,-0.0351687
3.39752,-0.253145,-0.0351686
4.08255,-0.808121,-0.0351686
6.24694,-0.0362394,-0.0351697
5.37677,-0.787296,-0.0351692
2.28548,0.755302,-0.0351694
2.87963,0.25898,-0.0351688
2.98622,0.154743,-0.0351688
0.239378,0.237098,-0.035175
1.67616,0.994454,-0.0351705
0.608667,0.571774,-0.0351736
4.06647,-0.798547,-0.0351686
0.14865,0.148103,-0.0351753
2.62857,0.49081,-0.035169
3.51808,-0.367658,-0.0351687
5.99896,-0.28041,-0.0351696
3.11897,0.0226209,-0.0351687
4.98352,-0.963468,-0.035169
5.1482,-0.906529,-0.0351691
1.96249,0.924264,-0.03517
3.18892,-0.0473046,-0.0351687
0.405307,0.394301,-0.0351744
1.08065,0.882263,-0.0351722
4.58536,-0.991943,-0.0351688
0.89295,0.778925,-0.0351728
4.66124,-0.998692,-0.0351689
2.58462,0.528619,-0.0351691
0.684227,0.632074,-0.0351734
0.0255893,0.0255865,-0.0351758
2.47737,0.616449,-0.0351692
1.99955,0.909486,-0.0351699
5.63337,-0.605041,-0.0351693
5.39192,-0.777868,-0.0351692
1.60172,0.999522,-0.0351707
5.35846,-0.798458,-0.0351692
5.96262,-0.315104,-0.0351695
2.18266,0.818578,-0.0351696
2.19452,0.811707,-0.0351695
5.0906,-0.929328,-0.0351691
5.13637,-0.911459,-0.0351691
2.52481,0.578415,-0.0351691
1.55577,0.999887,-0.0351708
2.65853,0.464493,-0.035169
0.964383,0.821698,-0.0351725
2.42728,0.6551,-0.0351692
3.44138,-0.29532,-0.0351686
2.55342,0.554846,-0.0351691
3.60006,-0.442572,-0.0351687
6.09138,-0.190627,-0.0351696
1.15688,0.915553,-0.0351719
2.88727,0.25159,-0.0351689
5.38273,-0.783609,-0.0351692
1.51419,0.998398,-0.0351709
0.932043,0.80284,-0.0351726
3.53612,-0.384373,-0.0351686
2.83514,0.301675,-0.0351689
1.2604,0.952214,-0.0351716
2.91248,0.227115,-0.0351688
6.04798,-0.233042,-0.0351696
6.06736,-0.214157,-0.0351696
1.40553,0.986375,-0.0351712
0.84537,0.748217,-0.0351729
5.74014,-0.516746,-0.0351694
0.343082,0.336391,-0.0351746
5.98395,-0.294792,-0.0351696
2.90933,0.230182,-0.0351689
4.95479,-0.970765,-0.035169
5.03931,-0.947037,-0.035169
6.05412,-0.227062,-0.0351696
1.9271,0.937191,-0.03517
5.08283,-0.932166,-0.0351691
1.8307,0.966415,-0.0351703
2.53811,0.567511,-0.0351691
5.24053,-0.863745,-0.0351691
4.65326,-0.998253,-0.0351688
6.0499,-0.231171,-0.0351696
0.864434,0.760728,-0.0351728
3.90666,-0.692586,-0.0351687
4.81406,-0.994836,-0.0351689
0.0728769,0.0728124,-0.0351756
4.13856,-0.839831,-0.0351686
2.65419,0.468329,-0.035169
4.87806,-0.986308,-0.035169
2.52334,0.579613,-0.0351691
3.57812,-0.422794,-0.0351686
5.06166,-0.939623,-0.0351691
1.96692,0.922563,-0.0351699
1.06916,0.876797,-0.0351722
4.26885,-0.903237,-0.0351687
3.73383,-0.558218,-0.0351686
3.75158,-0.57286,-0.0351686
5.38497,-0.782215,-0.0351692
4.6938,-0.999827,-0.0351689
3.80762,-0.61787,-0.0351686
3.43887,-0.292919,-0.0351686
5.09881,-0.926263,-0.0351691
4.72467,-0.999925,-0.035169
3.75484,-0.575524,-0.0351686
1.37679,0.981239,-0.0351713
2.7793,0.354419,-0.0351689
6.04678,-0.234206,-0.0351696
3.57093,-0.416268,-0.0351686
5.99907,-0.280311,-0.0351696
1.47042,0.994966,-0.035171
0.6298,0.588983,-0.0351736
4.87593,-0.986657,-0.035169
3.88651,-0.677913,-0.0351687
0.590431,0.556719,-0.0351737
3.17142,-0.0298269,-0.0351687
3.00027,0.140852,-0.0351687
3.14499,-0.00340111,-0.0351687
5.98741,-0.291478,-0.0351696
3.13271,0.00888541,-0.0351687
4.75876,-0.998925,-0.0351689
2.25136,0.77722,-0.0351695
1.26291,0.952975,-0.0351716
1.4712,0.995044,-0.035171
4.3659,-0.940569,-0.0351688
0.900558,0.783674,-0.0351727
3.86917,-0.66506,-0.0351686
0.928483,0.800712,-0.0351726
4.58612,-0.992038,-0.0351688
2.8583,0.279521,-0.0351689
3.09501,0.0465673,-0.0351687
3.10574,0.0358488,-0.0351687
4.19385,-0.868545,-0.0351687
2.37394,0.694452,-0.0351694
4.40442,-0.95295,-0.0351688
3.38395,-0.239989,-0.0351687
5.62115,-0.614724,-0.0351693
2.25421,0.775423,-0.0351695
1.4808,0.995953,-0.035171
3.22953,-0.0878288,-0.0351688
2.51148,0.589234,-0.0351692
3.63801,-0.476282,-0.0351686
0.0263792,0.0263761,-0.0351758
3.04132,0.100108,-0.0351687
0.532796,0.507944,-0.0351739
2.26907,0.765952,-0.0351695
1.31366,0.967121,-0.0351715
4.85665,-0.989613,-0.0351689
1.84948,0.961417,-0.0351702
1.60249,0.999498,-0.0351707
0.0115427,0.0115425,-0.0351758
1.94259,0.931677,-0.03517
2.10417,0.861096,-0.0351697
