   	        	                fitness                	              size              
   	        	---------------------------------------	--------------------------------
gen	time    	avg    	max    	min     	std    	avg    	max	min	std     
0  	0.301286	inf    	inf    	0.475627	nan    	1.58472	4  	1  	0.644655
1  	0.298367	8.27182	765.908	0.475627	48.1238	1.65894	4  	1  	0.745563
2  	0.300417	inf    	inf    	0.475627	nan    	1.86799	5  	1  	0.86119 
3  	0.300134	8.0462 	805.18 	0.475627	51.3255	1.95724	6  	1  	0.896712
4  	0.300766	12.3765	1189.64	0.475627	77.6179	2.01967	5  	1  	0.951068
5  	0.302119	inf    	inf    	0.475627	nan    	2.04248	6  	1  	0.953918
6  	0.300274	23.2056	2934.82	0.475627	236.077	2.12704	5  	1  	0.985308
7  	0.300214	9.71609	1453.47	0.475627	86.1467	2.12013	7  	1  	0.98784 
8  	0.301689	16.7899	2169.19	0.475627	134.835	2.11003	6  	1  	1.16622 
9  	0.303601	inf    	inf    	0.475627	nan    	2.05161	7  	1  	1.26895 
10 	0.301855	9.25286	1661.51	0.475627	95.8613	2.02572	6  	1  	1.1479  
11 	0.294435	2.37881	97.4686	0.475627	9.86436	1.9359 	6  	1  	1.19925 
12 	0.301196	826.624	257711 	0.475627	14543.2	1.92332	7  	1  	1.16411 
13 	0.308125	26.6613	3189.1 	0.475627	258.261	1.99045	6  	1  	1.16882 
14 	0.303468	840.408	263379 	0.475627	14815.9	1.88889	6  	1  	1.1228  
15 	0.30817 	inf    	inf    	0.475627	nan    	1.92089	6  	1  	1.03884 
16 	0.300127	5.52374	397.539	0.475627	33.2674	1.80757	6  	1  	1.0406  
17 	0.299327	inf    	inf    	0.475627	nan    	1.72956	7  	1  	1.05619 
18 	0.298627	11.2264	1248.8 	0.475627	80.6333	1.65204	4  	1  	0.860808
19 	0.302417	inf    	inf    	0.475627	nan    	1.70938	5  	1  	0.928661
20 	0.299126	3.2187 	363.028	0.475627	21.0901	1.67601	6  	1  	0.903964
21 	0.30634 	8.47694	1055.8 	0.475627	63.6269	1.76708	4  	1  	0.880307
22 	0.306776	55.0702	15666.4	0.475627	871.026	1.7678 	6  	1  	0.906777
23 	0.311678	11.2075	1661.51	0.475627	99.2173	1.78395	7  	1  	0.914352
24 	0.310822	16.3563	2960.27	0.475627	170.033	1.76308	5  	1  	0.905975
25 	0.306386	20.0294	5805.2 	0.475627	320.978	1.77301	5  	1  	0.928754
26 	0.312836	44.5883	11675.8	0.475627	649.543	1.80734	6  	1  	1.02098 
27 	0.313149	inf    	inf    	0.475627	nan    	1.82317	6  	1  	1.09286 
28 	0.303192	11.0041	2928.31	0.475627	161.207	1.68389	5  	1  	0.863168
29 	0.308178	8.59564	1334.1 	0.475627	76.8873	1.67576	6  	1  	0.911718
30 	0.30212 	59.4192	11753.8	0.475627	706.19 	1.61027	5  	1  	0.863361
31 	0.310524	inf    	inf    	0.475627	nan    	1.66265	5  	1  	0.895465
32 	0.31424 	inf    	inf    	0.475627	nan    	1.6997 	5  	1  	0.890338
33 	0.314561	49.2673	11765.5	0.475627	663.257	1.71557	5  	1  	0.909002
34 	0.319345	inf    	inf    	0.475627	nan    	1.75224	5  	1  	0.881714
35 	0.308787	11.0668	1723.32	0.475627	100.306	1.67857	4  	1  	0.85441 
36 	0.313418	5.2195 	401.863	0.475627	29.6552	1.67359	5  	1  	0.864902
37 	0.308168	inf    	inf    	0.475627	nan    	1.55325	5  	1  	0.805935
38 	0.299968	inf    	inf    	0.475627	nan    	1.46608	5  	1  	0.741441
39 	0.305618	9.02916	2039.05	0.475627	111.693	1.50294	4  	1  	0.787769
40 	0.309415	inf    	inf    	0.475627	nan    	1.53372	5  	1  	0.808427
41 	0.308636	4.78906	272.606	0.475627	21.1066	1.5117 	5  	1  	0.763673
42 	0.310688	25.4637	4779.82	0.475627	278.385	1.48688	4  	1  	0.770617
43 	0.309381	8.08694	734.789	0.475627	48.5916	1.51453	5  	1  	0.754689
44 	0.314442	inf    	inf    	0.475627	nan    	1.49275	5  	1  	0.750327
45 	0.311215	inf    	inf    	0.475627	nan    	1.4711 	4  	1  	0.713639
46 	0.317108	46.1361	11765.5	0.475627	652.753	1.5389 	4  	1  	0.732578
47 	0.318433	inf    	inf    	0.475627	nan    	1.56609	4  	1  	0.73006 
48 	0.318642	20.1066	3195.81	0.475627	232.453	1.60458	4  	1  	0.785675
49 	0.32771 	inf    	inf    	0.475627	nan    	1.62286	4  	1  	0.848894
50 	0.324634	inf    	inf    	0.475627	nan    	1.59259	4  	1  	0.828173
51 	0.32075 	3.81926	244.57 	0.475627	20.6487	1.65625	4  	1  	0.871594
52 	0.331638	inf    	inf    	0.475627	nan    	1.71671	4  	1  	0.847712
53 	0.329979	7.65723	1147.61	0.475627	64.2468	1.68927	5  	1  	0.882695
54 	0.328107	7.50789	1197.2 	0.475627	66.1958	1.73803	5  	1  	0.917186
55 	0.334177	4.23805	464.494	0.475627	27.3767	1.71629	4  	1  	0.858444
56 	0.341776	inf    	inf    	0.475627	nan    	1.82353	9  	1  	1.02883 
57 	0.33239 	46.6685	12244.3	0.475627	664.715	1.7486 	6  	1  	0.914462
58 	0.336612	35.425 	8422.24	0.475627	469.711	1.7493 	5  	1  	0.872734
59 	0.333119	3.87975	272.606	0.475627	18.0958	1.67778	6  	1  	0.867023
60 	0.334333	12.2899	2703.27	0.475627	145.079	1.75623	5  	1  	0.894038
61 	0.342396	inf    	inf    	0.475627	nan    	1.83149	6  	1  	0.9871  
62 	0.35143 	inf    	inf    	0.475627	nan    	1.87603	5  	1  	0.966977
63 	0.356062	3.97857	272.606	0.475627	19.7977	1.96154	5  	1  	0.993746
64 	0.366265	2.64787	121.393	0.475627	8.453  	2.05753	5  	1  	1.11009 
65 	0.37612 	126.706	33428.2	0.475627	1848.15	2.16393	6  	1  	1.16666 
66 	0.398492	inf    	inf    	0.475627	nan    	2.25068	7  	1  	1.27749 
67 	0.42363 	11.7624	1869.92	0.475627	103.359	2.47826	7  	1  	1.2767  
68 	0.460004	inf    	inf    	0.475627	nan    	2.78049	8  	1  	1.4569  
69 	0.501579	inf    	inf    	0.475627	nan    	3.06757	8  	1  	1.5416  
70 	0.52629 	inf    	inf    	0.475627	nan    	3.28302	8  	1  	1.54124 
71 	0.530963	12.7636	765.908	0.475627	56.6933	3.27151	10 	1  	1.70828 
72 	0.53372 	inf    	inf    	0.475627	nan    	3.34316	10 	1  	1.80858 
73 	0.571738	inf    	inf    	0.475627	nan    	3.6631 	10 	1  	1.90661 
74 	0.577636	30.4555	5816.78	0.475627	312.08 	3.81067	10 	1  	2.05884 
75 	0.596344	inf    	inf    	0.475627	nan    	3.92287	10 	1  	2.20539 
76 	0.65632 	inf    	inf    	0.475627	nan    	4.37931	10 	1  	2.37402 
77 	0.671371	inf    	inf    	0.475627	nan    	4.5582 	10 	1  	2.3689  
78 	0.709678	inf    	inf    	0.475627	nan    	4.79156	10 	1  	2.20729 
79 	0.735509	inf    	inf    	0.475627	nan    	4.92632	10 	1  	2.24425 
80 	0.711627	inf    	inf    	0.475627	nan    	4.76115	10 	1  	2.28384 
81 	0.709065	inf    	inf    	0.475627	nan    	4.7644 	10 	1  	2.26792 
82 	0.707122	inf    	inf    	0.475627	nan    	4.70235	10 	1  	2.10437 
83 	0.698451	inf    	inf    	0.475627	nan    	4.64062	10 	1  	2.12647 
84 	0.67341 	inf    	inf    	0.475627	nan    	4.43896	10 	1  	2.16874 
85 	0.664181	inf    	inf    	0.475627	nan    	4.26425	10 	1  	2.04929 
86 	0.672808	inf    	inf    	0.475627	nan    	4.32817	10 	1  	1.96041 
87 	0.676085	inf    	inf    	0.475627	nan    	4.34536	10 	1  	2.09917 
88 	0.673326	inf    	inf    	0.475627	nan    	4.33162	10 	1  	2.01806 
89 	0.682558	inf    	inf    	0.475627	nan    	4.34872	10 	1  	1.94579 
90 	0.691277	inf    	inf    	0.475627	nan    	4.42711	10 	1  	1.97016 
91 	0.699129	28.5804	2934.82	0.475627	168.523	4.62245	10 	1  	2.09964 
92 	0.715892	inf    	inf    	0.475627	nan    	4.70738	10 	1  	2.09407 
93 	0.724693	inf    	inf    	0.475627	nan    	4.88832	10 	1  	2.23328 
94 	0.708789	inf    	inf    	0.475627	nan    	4.70633	10 	1  	2.24225 
95 	0.735759	inf    	inf    	0.475627	nan    	4.98485	10 	1  	2.36232 
96 	0.739487	inf    	inf    	0.475627	nan    	5.08564	10 	1  	2.50193 
97 	0.714196	inf    	inf    	0.475627	nan    	4.75377	10 	1  	2.33171 
98 	0.733641	inf    	inf    	0.475627	nan    	4.73183	10 	1  	2.15229 
99 	0.715668	inf    	inf    	0.475627	nan    	4.665  	10 	1  	2.15935 
100	0.717047	inf    	inf    	0.475627	nan    	4.63092	10 	1  	2.15912 
101	0.729291	inf    	inf    	0.475627	nan    	4.64428	10 	1  	2.15571 
102	0.738934	inf    	inf    	0.475627	nan    	4.76675	10 	1  	2.08508 
103	0.761236	inf    	inf    	0.475627	nan    	4.93069	10 	1  	2.08724 
104	0.77626 	inf    	inf    	0.475627	nan    	5.14815	10 	1  	2.13675 
105	0.797499	inf    	inf    	0.475627	nan    	5.30049	10 	1  	2.16632 
106	0.804269	inf    	inf    	0.475627	nan    	5.36609	10 	1  	2.36604 
107	0.811749	inf    	inf    	0.475627	nan    	5.47549	10 	1  	2.41104 
108	0.798897	inf    	inf    	0.475627	nan    	5.26406	10 	1  	2.42112 
109	0.80788 	inf    	inf    	0.475627	nan    	5.4    	10 	1  	2.25583 
110	0.804982	inf    	inf    	0.475627	nan    	5.40876	10 	1  	2.25575 
111	0.817658	inf    	inf    	0.475627	nan    	5.61165	10 	1  	2.45536 
112	0.828312	inf    	inf    	0.475627	nan    	5.79903	10 	1  	2.30817 
113	0.813616	inf    	inf    	0.475627	nan    	5.56039	10 	1  	2.45146 
114	0.828331	inf    	inf    	0.475627	nan    	5.66988	10 	1  	2.4057  
115	0.801229	inf    	inf    	0.475627	nan    	5.52885	10 	1  	2.27954 
116	0.841121	inf    	inf    	0.475627	nan    	5.74341	10 	1  	2.25664 
117	0.833114	inf    	inf    	0.475627	nan    	5.77033	10 	1  	2.31593 
118	0.818311	inf    	inf    	0.475627	nan    	5.66826	10 	1  	2.40965 
119	0.850108	inf    	inf    	0.475627	nan    	5.93571	10 	1  	2.40993 
120	0.856558	inf    	inf    	0.475627	nan    	6.02613	10 	1  	2.35189 
121	0.884538	inf    	inf    	0.475627	nan    	6.2109 	10 	1  	2.29477 
122	0.89444 	inf    	inf    	0.475627	nan    	6.25532	10 	1  	2.41568 
123	0.898261	inf    	inf    	0.475627	nan    	6.46698	10 	1  	2.39867 
124	0.908123	inf    	inf    	0.475627	nan    	6.65176	10 	1  	2.22524 
125	0.893279	inf    	inf    	0.475627	nan    	6.41549	10 	1  	2.29178 
126	0.884176	inf    	inf    	0.475627	nan    	6.2459 	10 	1  	2.38122 
127	0.888182	inf    	inf    	0.475627	nan    	6.37383	10 	1  	2.35326 
128	0.892987	inf    	inf    	0.475627	nan    	6.38928	10 	1  	2.51244 
129	0.893584	inf    	inf    	0.475627	nan    	6.25349	10 	1  	2.57238 
130	0.920699	inf    	inf    	0.475627	nan    	6.3109 	10 	1  	2.43063 
131	0.931003	inf    	inf    	0.475627	nan    	6.34954	10 	1  	2.40381 
132	0.907816	inf    	inf    	0.475627	nan    	6.16397	10 	1  	2.52624 
133	0.900478	inf    	inf    	0.475627	nan    	6.1106 	10 	1  	2.42903 
134	0.925123	inf    	inf    	0.475627	nan    	6.15862	10 	1  	2.55336 
135	0.937519	inf    	inf    	0.475627	nan    	6.22018	10 	1  	2.42732 
136	0.970029	inf    	inf    	0.475627	nan    	6.47368	10 	1  	2.375   
137	0.959996	inf    	inf    	0.475627	nan    	6.44292	10 	1  	2.41101 
138	0.955202	inf    	inf    	0.475627	nan    	6.34169	10 	1  	2.37908 
139	0.985784	inf    	inf    	0.475627	nan    	6.43864	10 	1  	2.45798 
140	0.971977	inf    	inf    	0.475627	nan    	6.36735	10 	1  	2.57076 
141	1.02198 	inf    	inf    	0.475627	nan    	6.56787	10 	1  	2.63653 
142	1.04043 	inf    	inf    	0.475627	nan    	6.64108	10 	1  	2.46599 
143	1.06842 	inf    	inf    	0.475627	nan    	6.84009	10 	1  	2.47403 
144	1.09531 	inf    	inf    	0.475627	nan    	7.10562	10 	1  	2.35312 
145	1.11664 	inf    	inf    	0.475627	nan    	7.14574	10 	1  	2.24384 
146	1.10895 	inf    	inf    	0.475627	nan    	7.18568	10 	1  	2.32369 
147	1.14147 	inf    	inf    	0.475627	nan    	7.28125	10 	1  	2.33403 
148	1.13061 	inf    	inf    	0.475627	nan    	7.20935	10 	1  	2.4387  
149	1.18699 	inf    	inf    	0.475627	nan    	7.56   	10 	1  	2.25727 
150	1.19494 	inf    	inf    	0.475627	nan    	7.50776	10 	1  	2.30334 
151	1.21474 	inf    	inf    	0.475627	nan    	7.67478	10 	1  	2.17955 
152	1.26628 	inf    	inf    	0.475627	nan    	7.88742	10 	1  	2.09343 
153	1.2862  	inf    	inf    	0.475627	nan    	7.98238	10 	1  	1.94521 
