   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min     	std        	avg    	max	min	std     
0  	0.300385	inf        	inf        	0.506956	nan        	1.57475	4  	1  	0.645887
1  	0.295634	8.886      	876.179    	0.506956	54.5015    	1.63907	4  	1  	0.731638
2  	0.297485	58.0807    	15181      	0.506956	871.054    	1.86799	5  	1  	0.849615
3  	0.295631	63.6822    	16528.9    	0.506956	948.021    	1.89803	4  	1  	0.82685 
4  	0.299052	inf        	inf        	0.506956	nan        	1.95082	5  	1  	0.927295
5  	0.296227	inf        	inf        	0.506956	nan        	1.93464	6  	1  	0.950907
6  	0.296376	inf        	inf        	0.506956	nan        	1.90554	6  	1  	0.927784
7  	0.294707	4.20003    	340.142    	0.506956	20.9302    	1.79545	6  	1  	0.91898 
8  	0.295093	127329     	3.92764e+07	0.506956	2.23073e+06	1.82201	6  	1  	0.926437
9  	0.299687	inf        	inf        	0.506956	nan        	1.83548	6  	1  	0.930851
10 	0.295421	10.8449    	1866.32    	0.506956	108.812    	1.77492	5  	1  	0.949267
11 	0.288527	6.71235    	1343.07    	0.506956	76.1515    	1.75   	5  	1  	0.931121
12 	0.295306	59.556     	17216.6    	0.506956	971.733    	1.76358	6  	1  	0.919273
13 	0.294127	21.9659    	5280.97    	0.506956	301.803    	1.80892	5  	1  	0.935048
14 	0.293515	2.6064     	195.483    	0.506956	12.5307    	1.75238	6  	1  	0.895643
15 	0.297442	68.5493    	15825.8    	0.506956	918.171    	1.81962	6  	1  	0.901332
16 	0.297759	57.088     	16512.5    	0.506956	926.224    	1.74448	4  	1  	0.863386
17 	0.289711	5.09083    	353.046    	0.506956	30.481     	1.6478 	5  	1  	0.829021
18 	0.294777	3.9008     	335.331    	0.506956	20.9833    	1.6395 	5  	1  	0.862929
19 	0.297616	14.1079    	1349.61    	0.506956	97.3481    	1.63437	4  	1  	0.829574
20 	0.291683	2.09769    	69.2155    	0.506956	6.09478    	1.58879	5  	1  	0.796643
21 	0.301986	inf        	inf        	0.506956	nan        	1.63975	5  	1  	0.888524
22 	0.294154	63.2063    	18047.7    	0.506956	1003.4     	1.55418	4  	1  	0.7865  
23 	0.30566 	13.0123    	1793.6     	0.506956	113.441    	1.66975	5  	1  	0.870759
24 	0.303462	5.67045    	654.152    	0.506956	44.7619    	1.76   	6  	1  	0.920334
25 	0.311728	inf        	inf        	0.506956	nan        	1.84356	6  	1  	1.01374 
26 	0.319253	46.091     	13471.5    	0.506956	744.05     	1.92049	6  	1  	1.03447 
27 	0.321777	inf        	inf        	0.506956	nan        	1.90244	6  	1  	1.02243 
28 	0.31008 	inf        	inf        	0.506956	nan        	1.83891	6  	1  	0.949263
29 	0.314521	inf        	inf        	0.506956	nan        	1.9    	6  	1  	1.0811  
30 	0.317506	inf        	inf        	0.506956	nan        	1.86707	8  	1  	1.10225 
31 	0.324239	inf        	inf        	0.506956	nan        	1.83735	6  	1  	0.99882 
32 	0.3197  	inf        	inf        	0.506956	nan        	1.85586	6  	1  	1.02092 
33 	0.316811	inf        	inf        	0.506956	nan        	1.82036	5  	1  	1.00183 
34 	0.326904	inf        	inf        	0.506956	nan        	1.88657	7  	1  	1.14825 
35 	0.319069	inf        	inf        	0.506956	nan        	1.81845	6  	1  	1.1126  
36 	0.325361	14.8733    	3029.21    	0.506956	168.263    	1.87834	8  	1  	1.20337 
37 	0.332242	inf        	inf        	0.506956	nan        	1.95562	8  	1  	1.32381 
38 	0.325899	inf        	inf        	0.506956	nan        	1.88791	8  	1  	1.21415 
39 	0.32713 	inf        	inf        	0.506956	nan        	1.9    	8  	1  	1.15885 
40 	0.331287	inf        	inf        	0.506956	nan        	1.91496	6  	1  	1.17218 
41 	0.336654	inf        	inf        	0.506956	nan        	1.96491	7  	1  	1.20862 
42 	0.330134	23.7015    	5377.31    	0.506956	295.328    	1.88047	7  	1  	1.13787 
43 	0.33338 	2.90698e+27	1e+30      	0.506956	5.3838e+28 	1.88663	7  	1  	1.23958 
44 	0.337419	inf        	inf        	0.506956	nan        	1.8058 	7  	1  	1.20384 
45 	0.324278	3.65322    	308.708    	0.506956	18.8951    	1.73121	8  	1  	1.1655  
46 	0.330603	246.177    	66130.5    	0.506956	3660.46    	1.77233	7  	1  	1.09625 
47 	0.328027	inf        	inf        	0.506956	nan        	1.83908	9  	1  	1.15095 
48 	0.332026	103.086    	16563.6    	0.506956	1251.85    	1.80516	7  	1  	1.05541 
49 	0.33033 	inf        	inf        	0.506956	nan        	1.79429	8  	1  	1.11764 
50 	0.33649 	inf        	inf        	0.506956	nan        	1.76638	6  	1  	0.953093
51 	0.32856 	17.499     	4148.41    	0.506956	222.881    	1.78409	7  	1  	1.00791 
52 	0.333115	10.2604    	2539.17    	0.506956	135.593    	1.78754	5  	1  	0.917357
53 	0.336208	7.61772    	516.039    	0.506956	43.0019    	1.85028	5  	1  	0.98156 
54 	0.337199	inf        	inf        	0.506956	nan        	1.85352	5  	1  	0.976315
55 	0.342827	inf        	inf        	0.506956	nan        	1.84831	5  	1  	0.985583
56 	0.337412	4.34754    	200.006    	0.506956	16.8701    	1.76751	5  	1  	0.984051
57 	0.33905 	inf        	inf        	0.506956	nan        	1.76536	5  	1  	1.00875 
58 	0.337325	inf        	inf        	0.506956	nan        	1.76323	6  	1  	1.01091 
59 	0.338237	2.46178    	69.2155    	0.506956	7.74862    	1.775  	6  	1  	1.01485 
60 	0.335276	46.2655    	15856.7    	0.506956	833.35     	1.76454	7  	1  	1.0219  
61 	0.338228	inf        	inf        	0.506956	nan        	1.77072	6  	1  	0.994418
62 	0.338367	inf        	inf        	0.506956	nan        	1.7686 	6  	1  	0.991093
63 	0.343066	51.8671    	16512.5    	0.506956	864.808    	1.84066	6  	1  	1.06745 
64 	0.349577	inf        	inf        	0.506956	nan        	1.96438	7  	1  	1.11839 
65 	0.353042	inf        	inf        	0.506956	nan        	1.96721	7  	1  	1.16131 
66 	0.356475	inf        	inf        	0.506956	nan        	1.92916	8  	1  	1.18363 
67 	0.352824	4.10761    	363.954    	0.506956	26.1931    	1.94022	7  	1  	1.13813 
68 	0.353627	inf        	inf        	0.506956	nan        	1.99187	7  	1  	1.20632 
69 	0.357585	93.6635    	16563.6    	0.506956	1213.96    	2.06757	9  	1  	1.33691 
70 	0.364705	51.616     	16512.5    	0.506956	856.888    	2.08356	7  	1  	1.16602 
71 	0.361424	inf        	inf        	0.506956	nan        	2.05914	7  	1  	1.16247 
72 	0.368192	inf        	inf        	0.506956	nan        	2.16086	7  	1  	1.23004 
73 	0.372518	inf        	inf        	0.506956	nan        	2.18717	7  	1  	1.26966 
74 	0.382761	inf        	inf        	0.506956	nan        	2.304  	7  	1  	1.26422 
75 	0.379385	4.72218    	367.197    	0.506956	30.7375    	2.32181	7  	1  	1.31285 
76 	0.383335	inf        	inf        	0.506956	nan        	2.23607	8  	1  	1.2339  
77 	0.389481	inf        	inf        	0.506956	nan        	2.34921	8  	1  	1.38387 
78 	0.380459	96.273     	18207.8    	0.506956	1259.69    	2.22691	8  	1  	1.22041 
79 	0.379028	inf        	inf        	0.506956	nan        	2.19474	8  	1  	1.2243  
80 	0.379617	4.83891    	331.828    	0.506956	25.7205    	2.21785	7  	1  	1.19812 
81 	0.383748	46.5042    	16528.9    	0.506956	844.657    	2.25916	7  	1  	1.22725 
82 	0.395012	178.441    	66130.5    	0.506956	3374.57    	2.31332	8  	1  	1.29712 
83 	0.382397	6.37253    	1399.3     	0.506956	71.6598    	2.22135	8  	1  	1.23342 
84 	0.385533	inf        	inf        	0.506956	nan        	2.14805	7  	1  	1.27571 
85 	0.376303	inf        	inf        	0.506956	nan        	2.0829 	7  	1  	1.11902 
86 	0.384284	8.63488    	1295.41    	0.506956	71.1728    	2.11628	8  	1  	1.13639 
87 	0.373694	5.59275    	1349.61    	0.506956	68.6056    	2.02577	7  	1  	1.06459 
88 	0.379996	inf        	inf        	0.506956	nan        	2.02057	5  	1  	1.0364  
89 	0.379761	49.1832    	16528.8    	0.506956	836.685    	2.01026	6  	1  	1.02277 
90 	0.379025	inf        	inf        	0.506956	nan        	1.95396	5  	1  	0.995092
91 	0.377218	22.7846    	2619.32    	0.506956	208.455    	1.93112	5  	1  	0.95717 
92 	0.37866 	6.66685    	519.764    	0.506956	42.6528    	1.98473	6  	1  	1.0747  
93 	0.382761	inf        	inf        	0.506956	nan        	1.97208	6  	1  	1.11142 
94 	0.377698	7.3629     	1343.07    	0.506956	71.2305    	1.97215	7  	1  	1.08697 
95 	0.378562	51.91      	16512.5    	0.506956	838.241    	1.97727	6  	1  	1.09036 
96 	0.388499	8.7898     	1343.07    	0.506956	72.8144    	1.95466	5  	1  	1.06132 
97 	0.377719	6.77278    	1295.41    	0.506956	67.1328    	1.89196	7  	1  	1.03258 
98 	0.383467	inf        	inf        	0.506956	nan        	1.93985	6  	1  	1.0697  
99 	0.38603 	inf        	inf        	0.506956	nan        	1.9075 	6  	1  	1.04592 
100	0.383507	31.6476    	9744.95    	0.506956	490.24     	1.91022	5  	1  	1.04365 
101	0.391407	6.09163    	430.388    	0.506956	33.5889    	1.9602 	6  	1  	1.1123  
102	0.392937	4.19075    	308.708    	0.506956	22.5265    	2.01241	6  	1  	1.13476 
103	0.40108 	389032     	1.57101e+08	0.506956	7.80636e+06	2.07426	6  	1  	1.1211  
104	0.40187 	11.8655    	2539.17    	0.506956	129.249    	2.11111	7  	1  	1.17589 
105	0.394392	3.16623    	240.841    	0.506956	16.429     	2.02217	6  	1  	1.10619 
106	0.394733	206.789    	66166.3    	0.506956	3374.23    	2.01229	6  	1  	1.10275 
107	0.399931	6.10048    	312.006    	0.506956	28.0699    	1.95098	8  	1  	1.0948  
108	0.387601	9.32417    	1295.41    	0.506956	72.9678    	1.81663	5  	1  	0.995401
109	0.393455	inf        	inf        	0.506956	nan        	1.90976	6  	1  	1.1366  
110	0.388475	2.94775    	220.122    	0.506956	13.6224    	1.95864	6  	1  	1.16967 
111	0.389787	5.98902    	1253.03    	0.506956	64.6987    	1.96359	6  	1  	1.15167 
112	0.394387	5.97832    	1288.84    	0.506956	63.9785    	1.91768	7  	1  	1.14896 
113	0.390766	3.38262    	338.601    	0.506956	18.3582    	1.88164	6  	1  	1.09368 
114	0.394493	3.14459    	363.954    	0.506956	19.5815    	1.91566	6  	1  	1.16376 
115	0.398692	4.1021     	308.708    	0.506956	18.4731    	1.92308	6  	1  	1.1864  
116	0.406083	inf        	inf        	0.506956	nan        	1.94724	7  	1  	1.23774 
117	0.408032	50.7516    	16512.5    	0.506956	811.751    	2.01675	7  	1  	1.18087 
118	0.41535 	inf        	inf        	0.506956	nan        	2.02387	7  	1  	1.26242 
119	0.39846 	36.2668    	13494.3    	0.506956	658.19     	2.03571	6  	1  	1.18569 
120	0.402417	4.78847    	367.197    	0.506956	29.2896    	2.01188	6  	1  	1.18275 
121	0.41919 	6.9143     	882.067    	0.506956	48.4967    	2.1327 	6  	1  	1.22819 
122	0.412594	43.1602    	16512.5    	0.506956	802.108    	2.15839	7  	1  	1.23041 
123	0.41046 	2.1204     	247.346    	0.506956	12.6939    	2.15566	8  	1  	1.31906 
124	0.425862	inf        	inf        	0.506956	nan        	2.27529	8  	1  	1.2841  
125	0.433277	inf        	inf        	0.506956	nan        	2.32629	8  	1  	1.3141  
126	0.439434	inf        	inf        	0.506956	nan        	2.36768	8  	1  	1.34919 
127	0.430795	4.80319    	447.835    	0.506956	30.9697    	2.31308	8  	1  	1.28802 
128	0.433065	79.1329    	16528.8    	0.506956	1102.7     	2.29604	7  	1  	1.20353 
129	0.434649	5.78813    	367.197    	0.506956	32.5895    	2.30233	7  	1  	1.31423 
130	0.434747	inf        	inf        	0.506956	nan        	2.26218	7  	1  	1.21607 
131	0.439148	inf        	inf        	0.506956	nan        	2.34954	8  	1  	1.28039 
132	0.437673	inf        	inf        	0.506956	nan        	2.28406	7  	1  	1.26241 
133	0.441781	inf        	inf        	0.506956	nan        	2.32488	9  	1  	1.34849 
134	0.444023	4.229      	516.039    	0.506956	30.7189    	2.4    	9  	1  	1.57597 
135	0.443018	inf        	inf        	0.506956	nan        	2.40596	10 	1  	1.59353 
136	0.435615	2.28833e+27	1e+30      	0.506956	4.77817e+28	2.32265	10 	1  	1.5289  
137	0.442163	inf        	inf        	0.506956	nan        	2.31279	10 	1  	1.53955 
138	0.437608	41.5622    	16547.4    	0.506956	789.089    	2.26196	9  	1  	1.44203 
139	0.441628	6.2191     	335.331    	0.506956	31.4578    	2.22045	9  	1  	1.39774 
140	0.437353	6.03885    	544.967    	0.506956	37.632     	2.18367	7  	1  	1.30941 
141	0.432297	inf        	inf        	0.506956	nan        	2.1448 	8  	1  	1.31536 
142	0.425432	inf        	inf        	0.506956	nan        	2.0474 	8  	1  	1.22613 
143	0.436146	8.13061    	1253.03    	0.506956	75.5768    	2.1464 	8  	1  	1.3734  
144	0.439061	4.33882    	312.006    	0.506956	24.7308    	2.08764	8  	1  	1.33373 
145	0.445496	inf        	inf        	0.506956	nan        	2.07175	8  	1  	1.30169 
146	0.439899	630.495    	264484     	0.506956	12518.3    	2.07159	7  	1  	1.27593 
