   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg       	max        	min      	std        	avg    	max	min	std     
0  	0.311065	inf       	inf        	0.529675 	nan        	1.5515 	4  	1  	0.658327
1  	0.30627 	inf       	inf        	0.529675 	nan        	1.71192	6  	1  	0.821759
2  	0.307589	6.7195    	395.779    	0.529675 	27.934     	1.85149	5  	1  	0.837088
3  	0.317446	inf       	inf        	0.499687 	nan        	1.98684	6  	1  	0.862118
4  	0.320577	92.7199   	25788.9    	0.499687 	1474.38    	1.96393	6  	1  	0.931425
5  	0.325923	inf       	inf        	0.499687 	nan        	1.97059	7  	1  	1.03333 
6  	0.332477	4.8536    	309.867    	0.499687 	20.8014    	2.03583	6  	1  	1.05021 
7  	0.331757	8.55829   	339.66     	0.499687 	34.6518    	2.04545	8  	1  	1.10101 
8  	0.335153	inf       	inf        	0.499687 	nan        	2.05825	7  	1  	1.17547 
9  	0.346113	inf       	inf        	0.47443  	nan        	2.13226	5  	1  	1.20426 
10 	0.363315	inf       	inf        	0.47443  	nan        	2.27331	8  	1  	1.3392  
11 	0.364315	967.526   	223438     	0.47443  	12840.3    	2.25962	6  	1  	1.24804 
12 	0.390946	inf       	inf        	0.44416  	nan        	2.42173	6  	1  	1.34037 
13 	0.420621	inf       	inf        	0.44416  	nan        	2.74841	7  	1  	1.44443 
14 	0.456578	10.7583   	1316.16    	0.433259 	85.4423    	3.11111	8  	1  	1.61453 
15 	0.500842	inf       	inf        	0.424716 	nan        	3.57911	8  	1  	1.64684 
16 	0.565438	inf       	inf        	0.41174  	nan        	4.14196	9  	1  	1.72805 
17 	0.615837	inf       	inf        	0.41174  	nan        	4.55346	9  	1  	1.6565  
18 	0.646234	inf       	inf        	0.429477 	nan        	4.78997	10 	1  	1.68613 
19 	0.697984	inf       	inf        	0.398344 	nan        	5.4125 	10 	1  	1.90029 
20 	0.748679	inf       	inf        	0.398344 	nan        	5.90031	10 	1  	2.09495 
21 	0.800926	inf       	inf        	0.398344 	nan        	6.42547	10 	1  	2.22821 
22 	0.846469	inf       	inf        	0.398344 	nan        	6.76471	10 	1  	2.2313  
23 	0.893463	125.638   	23024.6    	0.398344 	1420.45    	7.1358 	10 	1  	2.19006 
24 	0.947275	inf       	inf        	0.398344 	nan        	7.35077	10 	1  	1.99539 
25 	1.00293 	inf       	inf        	0.389965 	nan        	7.55828	10 	1  	1.90285 
26 	1.02477 	5.83977   	729.884    	0.389965 	51.8144    	7.57798	10 	1  	2.05264 
27 	1.06813 	36.714    	10246.4    	0.383092 	565.239    	7.72561	10 	1  	1.80894 
28 	1.09892 	inf       	inf        	0.37514  	nan        	7.8541 	10 	1  	1.92961 
29 	1.12771 	inf       	inf        	0.37514  	nan        	7.86061	10 	1  	1.93029 
30 	1.1709  	inf       	inf        	0.37514  	nan        	8.03323	10 	1  	2.01102 
31 	1.17058 	inf       	inf        	0.37514  	nan        	8.14458	10 	1  	2.13904 
32 	1.21573 	119.842   	23873      	0.37514  	1390.86    	8.35736	10 	1  	1.97163 
33 	1.28053 	inf       	inf        	0.372843 	nan        	8.56287	10 	1  	1.90664 
34 	1.30663 	inf       	inf        	0.357184 	nan        	8.73731	10 	1  	1.91995 
35 	1.32452 	inf       	inf        	0.357184 	nan        	8.86607	10 	1  	1.74657 
36 	1.33013 	inf       	inf        	0.357184 	nan        	8.76855	10 	1  	1.84242 
37 	1.34988 	inf       	inf        	0.357184 	nan        	8.86391	10 	1  	1.81687 
38 	1.36408 	423610    	1.41885e+08	0.357184 	7.69501e+06	9.05605	10 	1  	1.71917 
39 	1.37165 	inf       	inf        	0.343341 	nan        	9.00588	10 	1  	1.73543 
40 	1.39368 	inf       	inf        	0.343341 	nan        	9.07331	10 	1  	1.50772 
41 	1.37575 	inf       	inf        	0.331579 	nan        	9.10526	10 	1  	1.4612  
42 	1.3539  	inf       	inf        	0.331579 	nan        	8.97376	10 	1  	1.67015 
43 	1.3201  	51649.3   	1.73537e+07	0.331579 	934442     	8.9186 	10 	1  	1.50553 
44 	1.30178 	inf       	inf        	0.28332  	nan        	8.74203	10 	1  	1.81303 
45 	1.35855 	inf       	inf        	0.28332  	nan        	8.81503	10 	1  	1.77829 
46 	1.38451 	inf       	inf        	0.28332  	nan        	8.92219	10 	1  	1.66408 
47 	1.43118 	inf       	inf        	0.180345 	nan        	8.95977	10 	1  	1.70145 
48 	1.4725  	inf       	inf        	0.168301 	nan        	9.09169	10 	1  	1.47284 
49 	1.53299 	inf       	inf        	0.168301 	nan        	9.10857	10 	1  	1.52678 
50 	1.54256 	inf       	inf        	0.168301 	nan        	8.96581	10 	1  	1.76189 
51 	1.56373 	inf       	inf        	0.168301 	nan        	8.96875	10 	1  	1.78429 
52 	1.61131 	inf       	inf        	0.168301 	nan        	9.15297	10 	1  	1.46318 
53 	1.61697 	inf       	inf        	0.122045 	nan        	9.15254	10 	1  	1.58717 
54 	1.63357 	354.463   	58472.4    	0.122045 	3899.96    	9.31831	10 	1  	1.40325 
55 	1.59634 	inf       	inf        	0.122045 	nan        	9.23596	10 	1  	1.50484 
56 	1.58957 	inf       	inf        	0.122045 	nan        	9.08403	10 	1  	1.73889 
57 	1.57339 	inf       	inf        	0.122045 	nan        	9.12849	10 	1  	1.57502 
58 	1.55973 	24049.2   	8.28419e+06	0.122045 	436660     	9.22563	10 	1  	1.65451 
59 	1.57133 	inf       	inf        	0.122045 	nan        	9.15278	10 	1  	1.73733 
60 	1.60476 	inf       	inf        	0.11474  	nan        	9.34072	10 	1  	1.53725 
