   	        	                          fitness                          	               size              
   	        	-----------------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min       	std        	avg    	max	min	std      
0  	0.309073	inf        	inf        	0.474036  	nan        	1.55814	4  	1  	0.647593 
1  	0.298473	236.837    	69863.4    	0.474036  	4013.24    	1.63907	4  	1  	0.727098 
2  	0.314496	inf        	inf        	0.452405  	nan        	1.83828	6  	1  	0.846417 
3  	0.317349	100.84     	27783.4    	0.452405  	1591.06    	1.88487	6  	1  	0.901334 
4  	0.324595	inf        	inf        	0.452405  	nan        	1.96066	6  	1  	0.925996 
5  	0.327309	inf        	inf        	0.452405  	nan        	2.08824	7  	1  	1.10053  
6  	0.32205 	inf        	inf        	0.452405  	nan        	2.09121	8  	1  	1.01366  
7  	0.336034	3.24675e+27	1e+30      	0.452405  	5.68877e+28	2.19481	7  	1  	1.03245  
8  	0.357235	inf        	inf        	0.452405  	nan        	2.31068	7  	1  	1.04614  
9  	0.375061	inf        	inf        	0.452405  	nan        	2.47419	6  	1  	1.05539  
10 	0.389406	inf        	inf        	0.440866  	nan        	2.57556	7  	1  	1.21085  
11 	0.398393	inf        	inf        	0.440866  	nan        	2.65705	7  	1  	1.10695  
12 	0.420587	250.064    	69927.9    	0.440866  	3955.72    	2.79233	8  	1  	1.12976  
13 	0.435621	inf        	inf        	0.410732  	nan        	2.90446	8  	1  	1.16358  
14 	0.460732	inf        	inf        	0.404145  	nan        	3.06032	10 	1  	1.14899  
15 	0.479239	3.16456e+27	1e+30      	0.393397  	5.61653e+28	3.31013	10 	1  	1.24475  
16 	0.507936	inf        	inf        	0.393397  	nan        	3.55836	10 	1  	1.4144   
17 	0.540756	inf        	inf        	0.375533  	nan        	3.8239 	10 	1  	1.61376  
18 	0.574292	inf        	inf        	0.375533  	nan        	4.19122	10 	1  	1.80328  
19 	0.631077	inf        	inf        	0.375533  	nan        	4.75625	10 	1  	1.80709  
20 	0.665399	inf        	inf        	0.361636  	nan        	5.04984	10 	1  	1.759    
21 	0.680076	inf        	inf        	0.361636  	nan        	5.17391	10 	1  	1.79566  
22 	0.720386	inf        	inf        	0.361636  	nan        	5.44272	10 	1  	1.75398  
23 	0.730683	522.719    	69943.7    	0.361636  	5012.51    	5.64198	10 	1  	1.79546  
24 	0.778902	inf        	inf        	0.354821  	nan        	5.87077	10 	1  	1.96631  
25 	0.870401	inf        	inf        	0.330636  	nan        	6.39877	10 	1  	1.94097  
26 	0.932997	60.2854    	17490.7    	0.330636  	968.794    	6.68807	10 	1  	1.70642  
27 	1.00817 	inf        	inf        	0.330636  	nan        	7.14024	10 	1  	1.78369  
28 	1.01804 	404.54     	91310.1    	0.330636  	5276.55    	7.24924	10 	1  	1.76039  
29 	1.05185 	inf        	inf        	0.330636  	nan        	7.5303 	10 	2  	1.77542  
30 	1.09216 	inf        	inf        	0.330636  	nan        	7.99094	10 	1  	1.62957  
31 	1.0834  	214.276    	65051.7    	0.330636  	3570.72    	7.90361	10 	2  	1.66729  
32 	1.09567 	inf        	inf        	0.330636  	nan        	8.02703	10 	2  	1.59274  
33 	1.08919 	inf        	inf        	0.330636  	nan        	7.88922	10 	1  	1.71372  
34 	1.10393 	inf        	inf        	0.330636  	nan        	8.1194 	10 	1  	1.64564  
35 	1.11233 	4.95921e+09	1.6663e+12 	0.307796  	9.07685e+10	8.05357	10 	1  	1.70175  
36 	1.16789 	inf        	inf        	0.281043  	nan        	8.37685	10 	4  	1.51661  
37 	1.18898 	inf        	inf        	0.281043  	nan        	8.39941	10 	2  	1.65078  
38 	1.1794  	inf        	inf        	0.281043  	nan        	8.24484	10 	2  	1.73348  
39 	1.25205 	inf        	inf        	0.281043  	nan        	8.58529	10 	1  	1.62384  
40 	1.22903 	1.9554e+10 	6.6679e+12 	0.281043  	3.60557e+11	8.57771	10 	1  	1.5213   
41 	1.24683 	inf        	inf        	0.281043  	nan        	8.5117 	10 	2  	1.61087  
42 	1.25884 	inf        	inf        	0.281043  	nan        	8.69096	10 	1  	1.51305  
43 	1.25342 	1215.48    	134963     	0.281043  	10832.3    	8.7093 	10 	2  	1.39656  
44 	1.25179 	inf        	inf        	0.281043  	nan        	8.58841	10 	2  	1.47201  
45 	1.23873 	inf        	inf        	0.281043  	nan        	8.58382	10 	1  	1.60749  
46 	1.27956 	552.894    	182177     	0.281043  	9767.75    	8.683  	10 	1  	1.53455  
47 	1.30323 	inf        	inf        	0.214739  	nan        	8.81897	10 	2  	1.32569  
48 	1.32939 	1282.11    	179182     	0.214739  	12275.9    	8.80802	10 	3  	1.29373  
49 	1.3097  	inf        	inf        	0.214739  	nan        	8.76857	10 	2  	1.3859   
50 	1.26799 	2.849e+27  	1e+30      	0.214739  	5.33e+28   	8.65812	10 	1  	1.49736  
51 	1.26007 	inf        	inf        	0.214739  	nan        	8.66761	10 	2  	1.4103   
52 	1.27023 	inf        	inf        	0.21473   	nan        	8.79037	10 	4  	1.40264  
53 	1.29673 	inf        	inf        	0.21473   	nan        	8.89548	10 	2  	1.48926  
54 	1.30887 	703.275    	87830      	0.21473   	6324.1     	8.80845	10 	2  	1.48511  
55 	1.30213 	35518.5    	1.16111e+07	0.21473   	615852     	8.67416	10 	1  	1.81303  
56 	1.34428 	1220.7     	264163     	0.198883  	14774.1    	8.91877	10 	2  	1.59362  
57 	1.34438 	365.982    	108242     	0.171983  	5784.07    	8.85754	10 	1  	1.77642  
58 	1.37705 	1250.5     	204563     	0.171983  	12870.8    	9.11421	10 	4  	1.41058  
59 	1.3776  	500.019    	124320     	0.171983  	6671.24    	9.18889	10 	2  	1.46169  
60 	1.38191 	4034.16    	1.11887e+06	0.107654  	60584.4    	9.21884	10 	2  	1.41784  
61 	1.39282 	inf        	inf        	0.133103  	nan        	9.37293	10 	2  	1.30728  
62 	1.39136 	339.02     	51363.1    	0.0922071 	3333.92    	9.18182	10 	1  	1.54813  
63 	1.42764 	inf        	inf        	0.0922071 	nan        	9.31044	10 	3  	1.39654  
64 	1.44644 	inf        	inf        	0.0922071 	nan        	9.34247	10 	1  	1.48434  
65 	1.47203 	inf        	inf        	0.0922071 	nan        	9.43989	10 	1  	1.29962  
66 	1.51581 	8813.39    	2.48971e+06	0.0922071 	133300     	9.44142	10 	3  	1.28127  
67 	1.49536 	inf        	inf        	0.0922071 	nan        	9.34511	10 	1  	1.49016  
68 	1.52434 	inf        	inf        	0.0852492 	nan        	9.48238	10 	2  	1.34158  
69 	1.51799 	inf        	inf        	0.0852492 	nan        	9.4    	10 	1  	1.43018  
70 	1.54466 	inf        	inf        	0.0852492 	nan        	9.45553	10 	1  	1.34587  
71 	1.53351 	inf        	inf        	0.0852492 	nan        	9.42204	10 	1  	1.46715  
72 	1.56703 	inf        	inf        	0.0852492 	nan        	9.53887	10 	2  	1.22385  
73 	1.58051 	7489.02    	1.72973e+06	0.0852492 	92690.9    	9.54011	10 	1  	1.30292  
74 	1.61211 	1131.45    	207141     	0.0822754 	12003.5    	9.61067	10 	2  	1.14677  
75 	1.65363 	inf        	inf        	0.0822754 	nan        	9.63298	10 	1  	1.09805  
76 	1.67488 	inf        	inf        	0.0776823 	nan        	9.53846	10 	1  	1.2549   
77 	1.71077 	2806.92    	346583     	0.0625175 	22980.3    	9.64021	10 	2  	1.02233  
78 	1.73396 	inf        	inf        	0.0573471 	nan        	9.66755	10 	1  	0.98016  
79 	1.73001 	inf        	inf        	0.0573471 	nan        	9.54211	10 	2  	1.26525  
80 	1.7627  	inf        	inf        	0.0573471 	nan        	9.64042	10 	2  	1.14527  
81 	1.74768 	95440.3    	3.62949e+07	0.0573471 	1.85456e+06	9.53927	10 	2  	1.25422  
82 	1.77926 	inf        	inf        	0.0573471 	nan        	9.48042	10 	2  	1.35539  
83 	1.82022 	inf        	inf        	0.0573471 	nan        	9.63802	10 	1  	1.11183  
84 	1.83769 	inf        	inf        	0.0573471 	nan        	9.61039	10 	2  	1.05874  
85 	1.81957 	inf        	inf        	0.0573471 	nan        	9.6114 	10 	3  	0.981315 
86 	1.83389 	inf        	inf        	0.0573471 	nan        	9.58656	10 	3  	0.888994 
87 	1.81965 	inf        	inf        	0.0573471 	nan        	9.55155	10 	1  	1.17531  
88 	1.82292 	inf        	inf        	0.0573471 	nan        	9.51671	10 	2  	1.00531  
89 	1.80077 	inf        	inf        	0.0573471 	nan        	9.40769	10 	1  	1.22598  
90 	1.81082 	inf        	inf        	0.0573471 	nan        	9.50639	10 	2  	1.00349  
91 	1.79879 	1.06356e+09	4.16914e+11	0.0573471 	2.10304e+10	9.51786	10 	1  	1.18006  
92 	1.78733 	inf        	inf        	0.0573471 	nan        	9.49618	10 	1  	1.13944  
93 	1.81159 	inf        	inf        	0.0573471 	nan        	9.6269 	10 	3  	0.958736 
94 	1.81374 	inf        	inf        	0.0573471 	nan        	9.63544	10 	2  	0.93525  
95 	1.82133 	82281.7    	3.22174e+07	0.0573471 	1.61691e+06	9.58333	10 	2  	1.0874   
96 	1.81816 	inf        	inf        	0.0573471 	nan        	9.6272 	10 	2  	0.937366 
97 	1.80747 	inf        	inf        	0.0573471 	nan        	9.65327	10 	1  	0.945966 
98 	1.81011 	inf        	inf        	0.0468468 	nan        	9.65414	10 	1  	1.00159  
99 	1.78599 	9.37866e+09	3.75146e+12	0.0468468 	1.87338e+11	9.57   	10 	1  	0.997547 
100	1.79221 	inf        	inf        	0.0468468 	nan        	9.52868	10 	1  	1.23329  
101	1.79963 	inf        	inf        	0.0353369 	nan        	9.66915	10 	3  	0.98622  
102	1.83298 	inf        	inf        	0.0353369 	nan        	9.67494	10 	3  	0.966456 
103	1.82987 	inf        	inf        	0.0353369 	nan        	9.69554	10 	1  	1.01175  
104	1.84119 	inf        	inf        	0.0346399 	nan        	9.64938	10 	1  	1.12898  
105	1.87392 	inf        	inf        	0.0343395 	nan        	9.77586	10 	3  	0.8073   
106	1.88065 	5116.89    	1.02816e+06	0.0343395 	60347.1    	9.7543 	10 	2  	0.819645 
107	1.95804 	inf        	inf        	0.0342814 	nan        	9.76961	10 	4  	0.773874 
108	1.98105 	5.70377e+06	2.26972e+09	0.0330397 	1.12102e+08	9.78729	10 	2  	0.645643 
109	1.97575 	inf        	inf        	0.0333614 	nan        	9.66585	10 	2  	0.920262 
110	2.02557 	6938.57    	2.36676e+06	0.0333614 	117212     	9.691  	10 	2  	0.996047 
111	2.00875 	inf        	inf        	0.0333614 	nan        	9.65534	10 	1  	0.969258 
112	2.04248 	14409      	5.48614e+06	0.0268038 	269906     	9.82082	10 	2  	0.579599 
113	2.07519 	inf        	inf        	0.0268038 	nan        	9.81643	10 	2  	0.569024 
114	2.07771 	9736.22    	2.51968e+06	0.0268038 	136744     	9.87229	10 	1  	0.560188 
115	2.08686 	inf        	inf        	0.0268038 	nan        	9.86538	10 	1  	0.658636 
116	2.07462 	1.42548e+10	5.94424e+12	0.0268038 	2.90741e+11	9.84173	10 	3  	0.691771 
117	2.10999 	inf        	inf        	0.0220568 	nan        	9.88995	10 	3  	0.596918 
118	2.10618 	4974.28    	1.11219e+06	0.0220568 	57648.5    	9.86635	10 	1  	0.722161 
119	2.09    	11195.6    	4.00322e+06	0.0220568 	195789     	9.90238	10 	1  	0.514082 
120	2.08011 	inf        	inf        	0.0220568 	nan        	9.81948	10 	1  	0.869488 
121	2.07823 	inf        	inf        	0.0220568 	nan        	9.85545	10 	2  	0.678342 
122	2.06176 	9.85414e+08	4.16828e+11	0.0220568 	2.02429e+10	9.77541	10 	2  	0.954849 
123	2.09317 	inf        	inf        	0.0220568 	nan        	9.78774	10 	1  	0.845209 
124	2.14502 	2917.72    	380674     	0.0220568 	25051.2    	9.85647	10 	1  	0.614041 
125	2.17895 	inf        	inf        	0.0220568 	nan        	9.84742	10 	2  	0.648368 
126	2.1651  	inf        	inf        	0.0211495 	nan        	9.82904	10 	1  	0.756734 
127	2.17212 	434.459    	69961      	0.0220568 	4472.74    	9.82477	10 	2  	0.651844 
128	2.18727 	789.884    	226564     	0.0220568 	11732.7    	9.84615	10 	3  	0.618001 
129	2.17739 	inf        	inf        	0.0220568 	nan        	9.83023	10 	2  	0.751134 
130	2.1841  	inf        	inf        	0.0220568 	nan        	9.84455	10 	1  	0.705604 
131	2.21588 	inf        	inf        	0.0211495 	nan        	9.90278	10 	3  	0.508986 
132	2.21019 	inf        	inf        	0.0211495 	nan        	9.89838	10 	3  	0.469703 
133	2.20925 	22455.2    	7.48439e+06	0.0211495 	369279     	9.86406	10 	3  	0.652855 
134	2.21399 	37987.7    	1.54926e+07	0.0211495 	742264     	9.82759	10 	1  	0.844276 
135	2.21135 	13278.4    	5.7253e+06 	0.0211495 	273878     	9.82798	10 	1  	0.787078 
136	2.1933  	2722.38    	1.12219e+06	0.0211495 	53678.9    	9.83066	10 	1  	0.883965 
