   	        	                          fitness                          	               size              
   	        	-----------------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min       	std        	avg    	max	min	std      
0  	0.309919	inf        	inf        	0.468025  	nan        	1.56478	4  	1  	0.646963 
1  	0.309417	inf        	inf        	0.468025  	nan        	1.71192	4  	1  	0.758914 
2  	0.314067	inf        	inf        	0.435764  	nan        	1.89109	5  	1  	0.873908 
3  	0.325337	3.28947e+27	1e+30      	0.435764  	5.72595e+28	2.12171	5  	1  	0.918553 
4  	0.338247	inf        	inf        	0.413173  	nan        	2.37705	7  	1  	1.10978  
5  	0.35928 	inf        	inf        	0.413173  	nan        	2.50654	8  	1  	1.26863  
6  	0.366082	inf        	inf        	0.413173  	nan        	2.62866	7  	1  	1.24475  
7  	0.380489	inf        	inf        	0.398937  	nan        	2.74026	6  	1  	1.37843  
8  	0.390118	inf        	inf        	0.309078  	nan        	2.81877	8  	1  	1.41861  
9  	0.425499	inf        	inf        	0.309078  	nan        	3.13226	8  	1  	1.48278  
10 	0.45556 	12.9169    	849.352    	0.309078  	70.9505    	3.45338	8  	1  	1.51634  
11 	0.497776	inf        	inf        	0.309078  	nan        	3.89423	10 	1  	1.68849  
12 	0.52485 	inf        	inf        	0.309078  	nan        	4.02236	10 	1  	1.71709  
13 	0.542896	inf        	inf        	0.309078  	nan        	4.29936	10 	1  	1.6374   
14 	0.585983	inf        	inf        	0.235648  	nan        	4.67937	10 	1  	1.8228   
15 	0.597129	inf        	inf        	0.235648  	nan        	4.80696	10 	1  	2.01986  
16 	0.613884	162.803    	23802.8    	0.235648  	1543.3     	5.09779	10 	1  	2.07278  
17 	0.63355 	inf        	inf        	0.235648  	nan        	5.40881	10 	1  	2.29496  
18 	0.659989	inf        	inf        	0.235648  	nan        	5.55799	10 	1  	2.33863  
19 	0.709212	2695.1     	677036     	0.228256  	38253.2    	6.025  	10 	1  	2.425    
20 	0.748051	inf        	inf        	0.188016  	nan        	6.53271	10 	1  	2.40191  
21 	0.741477	inf        	inf        	0.188016  	nan        	6.28571	10 	1  	2.46951  
22 	0.770663	inf        	inf        	0.188016  	nan        	6.5356 	10 	1  	2.31721  
23 	0.759883	inf        	inf        	0.162765  	nan        	6.47222	10 	1  	2.39518  
24 	0.781697	inf        	inf        	0.162765  	nan        	6.68308	10 	1  	2.3951   
25 	0.793677	inf        	inf        	0.157365  	nan        	6.88344	10 	1  	2.39348  
26 	0.798948	inf        	inf        	0.153547  	nan        	6.98471	10 	1  	2.39579  
27 	0.794305	6.77612e+07	2.22255e+10	0.153547  	1.22532e+09	7.21341	10 	1  	2.49454  
28 	0.830615	1.44594e+08	3.48981e+10	0.153547  	2.04181e+09	7.54407	10 	1  	2.50326  
29 	0.852556	inf        	inf        	0.153547  	nan        	7.59697	10 	1  	2.57458  
30 	0.888938	6.78481e+07	2.24078e+10	0.153227  	1.22978e+09	8.0997 	10 	1  	2.37542  
31 	0.908329	inf        	inf        	0.144606  	nan        	8.37651	10 	1  	1.97876  
32 	0.905289	3.3881e+08 	1.12824e+11	0.137537  	6.17341e+09	8.33333	10 	1  	2.01794  
33 	0.896353	4.08208e+08	1.12824e+11	0.141116  	6.2929e+09 	8.17964	10 	1  	2.17857  
34 	0.910583	3.61309e+08	4.98709e+10	0.140321  	3.90817e+09	8.27761	10 	1  	2.12531  
35 	0.933539	inf        	inf        	0.140321  	nan        	8.26786	10 	1  	2.24397  
36 	0.937838	inf        	inf        	0.13341   	nan        	8.31751	10 	1  	2.23609  
37 	0.985832	inf        	inf        	0.133303  	nan        	8.33728	10 	1  	2.23974  
38 	1.00195 	inf        	inf        	0.121864  	nan        	8.36283	10 	1  	2.30836  
39 	1.02484 	68.4381    	5275.99    	0.121864  	481.837    	8.48529	10 	1  	2.17535  
40 	1.07924 	inf        	inf        	0.121864  	nan        	8.87683	10 	1  	1.83867  
41 	1.10505 	inf        	inf        	0.117036  	nan        	8.85673	10 	1  	2.02901  
42 	1.0963  	inf        	inf        	0.117036  	nan        	8.79592	10 	1  	2.14334  
43 	1.08877 	1329.43    	380851     	0.117036  	20710.2    	8.71802	10 	1  	2.18986  
44 	1.10104 	inf        	inf        	0.110276  	nan        	8.71014	10 	1  	2.26697  
45 	1.12999 	inf        	inf        	0.110276  	nan        	8.92775	10 	1  	2.02527  
46 	1.12562 	inf        	inf        	0.110042  	nan        	8.89049	10 	1  	2.07207  
47 	1.11328 	inf        	inf        	0.110042  	nan        	8.78161	10 	1  	2.13307  
48 	1.1156  	inf        	inf        	0.106639  	nan        	8.72779	10 	1  	2.20259  
49 	1.15139 	3.96217e+09	1.38676e+12	0.107727  	7.40194e+10	9.08   	10 	2  	1.8219   
50 	1.16032 	inf        	inf        	0.0975225 	nan        	8.9943 	10 	1  	1.93777  
51 	1.18353 	145.841    	32571.9    	0.0975225 	1768.81    	9.00568	10 	2  	1.88293  
52 	1.18652 	inf        	inf        	0.0975225 	nan        	9.05099	10 	2  	1.84766  
53 	1.22044 	243328     	8.61083e+07	0.0975225 	4.57013e+06	9.20621	10 	2  	1.50136  
54 	1.18967 	1.73879e+11	4.95395e+13	0.0721178 	2.70209e+12	8.97465	10 	1  	1.78473  
55 	1.18959 	inf        	inf        	0.0721178 	nan        	8.97472	10 	1  	1.89379  
56 	1.17658 	inf        	inf        	0.0717327 	nan        	8.82073	10 	1  	1.99897  
57 	1.20666 	inf        	inf        	0.0717327 	nan        	8.81844	10 	1  	1.92542  
58 	1.25963 	inf        	inf        	0.0709326 	nan        	9.04178	10 	2  	1.64238  
59 	1.24723 	2.1947e+10 	7.90083e+12	0.0709326 	4.15832e+11	8.85833	10 	1  	1.92049  
60 	1.2755  	1034.21    	218523     	0.0700999 	12718.3    	8.99446	10 	1  	1.75981  
61 	1.30873 	8.73182e+10	3.16033e+13	0.0568891 	1.65874e+12	9.04696	10 	2  	1.77163  
62 	1.3635  	inf        	inf        	0.0568891 	nan        	9.26722	10 	2  	1.52579  
63 	1.36898 	inf        	inf        	0.0568891 	nan        	9.31593	10 	1  	1.50335  
64 	1.39298 	5.9204e+10 	2.16095e+13	0.0568891 	1.12954e+12	9.30411	10 	2  	1.53431  
65 	1.44552 	inf        	inf        	0.0568891 	nan        	9.40437	10 	1  	1.51329  
66 	1.48545 	27946.5    	1.02268e+07	0.0568891 	533105     	9.53406	10 	1  	1.4097   
67 	1.45902 	2.1132e+10 	7.77608e+12	0.0568891 	4.04805e+11	9.47554	10 	1  	1.41015  
68 	1.46385 	inf        	inf        	0.0568891 	nan        	9.56098	10 	2  	1.31582  
69 	1.4697  	9907.97    	3.55911e+06	0.0554933 	184794     	9.57297	10 	2  	1.33207  
70 	1.43919 	453461     	1.66035e+08	0.0554933 	8.60857e+06	9.43666	10 	1  	1.54646  
71 	1.45693 	inf        	inf        	0.0547181 	nan        	9.47312	10 	2  	1.44313  
72 	1.49998 	inf        	inf        	0.0529635 	nan        	9.53887	10 	2  	1.33893  
73 	1.52627 	inf        	inf        	0.0529635 	nan        	9.58289	10 	1  	1.22467  
74 	1.5539  	6.85666e+09	2.56812e+12	0.0529635 	1.3244e+11 	9.632  	10 	3  	1.11859  
75 	1.55398 	2.88888e+07	5.09276e+09	0.0529635 	3.43592e+08	9.55851	10 	2  	1.22552  
76 	1.54964 	inf        	inf        	0.0529635 	nan        	9.51989	10 	2  	1.2887   
77 	1.54158 	8.33641e+06	3.15109e+09	0.0529635 	1.6186e+08 	9.5291 	10 	1  	1.35516  
78 	1.54836 	inf        	inf        	0.0529635 	nan        	9.56201	10 	2  	1.41728  
79 	1.58515 	1.05684e+06	4.01451e+08	0.0529635 	2.05669e+07	9.57895	10 	1  	1.36558  
80 	1.59613 	8.23683e+06	3.13818e+09	0.0529635 	1.60563e+08	9.65354	10 	2  	1.13899  
81 	1.57654 	57.3812    	7615.96    	0.0529262 	474.684    	9.54712	10 	2  	1.39432  
82 	1.57245 	inf        	inf        	0.0523927 	nan        	9.56658	10 	1  	1.41979  
83 	1.58258 	inf        	inf        	0.0523927 	nan        	9.53125	10 	1  	1.46808  
84 	1.61115 	inf        	inf        	0.0523927 	nan        	9.62338	10 	1  	1.28769  
85 	1.62787 	inf        	inf        	0.0498017 	nan        	9.6658 	10 	2  	1.11733  
86 	1.62626 	117840     	4.55914e+07	0.0498017 	2.31454e+06	9.73902	10 	2  	0.968017 
87 	1.63607 	239.153    	22244.9    	0.0498017 	1847.37    	9.69072	10 	2  	1.00884  
88 	1.63579 	521120     	1.38625e+08	0.0498017 	7.69847e+06	9.61697	10 	2  	1.21254  
89 	1.66706 	34.2702    	3038.65    	0.0498017 	246.454    	9.69487	10 	2  	1.06782  
90 	1.67147 	inf        	inf        	0.0498017 	nan        	9.72379	10 	2  	1.10355  
91 	1.63778 	1489.93    	535295     	0.0498017 	27016.7    	9.625  	10 	1  	1.21835  
92 	1.67994 	184.244    	29973.7    	0.0498017 	1790.81    	9.76081	10 	1  	0.940354 
93 	1.64039 	217.172    	29005.9    	0.0498017 	1613.72    	9.56599	10 	2  	1.21411  
94 	1.65351 	inf        	inf        	0.0498017 	nan        	9.57975	10 	2  	1.34657  
95 	1.68547 	inf        	inf        	0.0498017 	nan        	9.68434	10 	1  	1.18657  
96 	1.6838  	3086.9     	857663     	0.0498017 	44602.3    	9.66751	10 	1  	1.03114  
97 	1.73498 	2.88196e+06	1.14691e+09	0.0498017 	5.74173e+07	9.72111	10 	1  	0.945822 
98 	1.74973 	inf        	inf        	0.0492804 	nan        	9.77694	10 	1  	0.839423 
99 	1.75319 	291220     	1.16385e+08	0.0477485 	5.81198e+06	9.78   	10 	4  	0.791581 
100	1.77163 	9729.83    	3.85257e+06	0.0477485 	192148     	9.74564	10 	1  	0.856332 
101	1.80146 	232.239    	34756.3    	0.0477485 	2393.96    	9.87065	10 	5  	0.575783 
102	1.76948 	inf        	inf        	0.0418793 	nan        	9.73449	10 	2  	0.938018 
103	1.77807 	4.654e+08  	1.87425e+11	0.0418793 	9.31318e+09	9.73762	10 	1  	0.909504 
104	1.83041 	inf        	inf        	0.0418793 	nan        	9.82963	10 	3  	0.690758 
105	1.84336 	276.805    	80322.2    	0.0418793 	4030.98    	9.80542	10 	1  	0.927983 
106	1.84992 	inf        	inf        	0.0418793 	nan        	9.77396	10 	1  	0.880032 
