   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min        	std        	avg    	max	min	std     
0  	0.316211	inf        	inf        	0.498972   	nan        	1.54817	4  	1  	0.653515
1  	0.311753	inf        	inf        	0.498972   	nan        	1.69868	4  	1  	0.749347
2  	0.321498	inf        	inf        	0.498972   	nan        	1.90429	6  	1  	0.933824
3  	0.330236	inf        	inf        	0.498972   	nan        	2.10855	6  	1  	1.1318  
4  	0.326543	105.12     	10912.3    	0.498972   	918.614    	2.08525	6  	1  	1.1506  
5  	0.412191	inf        	inf        	0.498972   	nan        	2.12745	7  	1  	1.28087 
6  	0.325483	inf        	inf        	0.498972   	nan        	2.08143	9  	1  	1.29766 
7  	0.320098	533.468    	98356.7    	0.498972   	6180.11    	1.89286	7  	1  	1.1245  
8  	0.312076	inf        	inf        	0.498972   	nan        	1.75728	6  	1  	1.11302 
9  	0.315966	inf        	inf        	0.498972   	nan        	1.7129 	6  	1  	1.07681 
10 	0.334597	137.4      	10946.4    	0.498972   	1097.95    	1.78135	6  	1  	1.1774  
11 	0.311729	54.9525    	10905.6    	0.498972   	652.899    	1.66346	6  	1  	1.17078 
12 	0.30633 	7.3913e+06 	2.31342e+09	0.498972   	1.30553e+08	1.54952	10 	1  	1.03529 
13 	0.304196	195.052    	43750.1    	0.498972   	2552.16    	1.45223	7  	1  	0.82898 
14 	0.307269	38.6497    	10894.6    	0.498972   	612.935    	1.49206	7  	1  	0.960704
15 	0.308334	inf        	inf        	0.498972   	nan        	1.4557 	7  	1  	0.846399
16 	0.302803	55.3598    	10894.6    	0.498972   	647.277    	1.43849	4  	1  	0.761972
17 	0.300713	80.2022    	10966      	0.498972   	695.828    	1.35535	5  	1  	0.719988
18 	0.307648	60.2742    	10912.3    	0.47087    	649.575    	1.36677	5  	1  	0.71282 
19 	0.313179	80.0509    	10987.6    	0.47087    	866.098    	1.4375 	4  	1  	0.759831
20 	0.302829	19.7767    	2734.02    	0.47087    	215.294    	1.34579	5  	1  	0.68499 
21 	0.307131	3540.67    	721162     	0.47087    	45975.4    	1.37267	4  	1  	0.703318
22 	0.306418	240.752    	43645.5    	0.47087    	2652.88    	1.36223	5  	1  	0.718226
23 	0.320336	83.1613    	10894.6    	0.47087    	681.102    	1.4321 	5  	1  	0.800282
24 	0.312494	48.8955    	10905.6    	0.47087    	624.482    	1.37231	5  	1  	0.731596
25 	0.315992	125.595    	10939.5    	0.47087    	1064.64    	1.42945	4  	1  	0.76719 
26 	0.322295	296.96     	24564.9    	0.47087    	1997.41    	1.41896	5  	1  	0.796787
27 	0.322866	53.8953    	10928.9    	0.47087    	656.82     	1.46037	4  	1  	0.751999
28 	0.323034	inf        	inf        	0.47087    	nan        	1.48936	4  	1  	0.806909
29 	0.330689	inf        	inf        	0.47087    	nan        	1.51818	4  	1  	0.85704 
30 	0.316708	85.2198    	10912.3    	0.47087    	714.38     	1.41692	6  	1  	0.816124
31 	0.322698	193.467    	43788.3    	0.47087    	2482.92    	1.43072	5  	1  	0.76325 
32 	0.328221	inf        	inf        	0.47087    	nan        	1.41141	4  	1  	0.756626
33 	0.322116	inf        	inf        	0.47087    	nan        	1.33832	4  	1  	0.662895
34 	0.325403	120.323    	11953.4    	0.47087    	1081.11    	1.40597	4  	1  	0.742702
35 	0.326585	189.187    	43750.1    	0.47087    	2463.39    	1.39583	5  	1  	0.736696
36 	0.32497 	43.7687    	10955.5    	0.419817   	613.774    	1.37685	5  	1  	0.716775
37 	0.333674	inf        	inf        	0.419817   	nan        	1.42012	6  	1  	0.792612
38 	0.332083	41.1635    	10912.3    	0.419817   	594.194    	1.43953	6  	1  	0.829952
39 	0.33745 	225.463    	43579      	0.419817   	2512.7     	1.46176	5  	1  	0.885343
40 	0.346399	242.897    	45114.2    	0.414021   	2591.8     	1.59238	6  	1  	1.03082 
41 	0.369319	476.288    	45142.5    	0.414021   	3332.03    	1.82164	6  	1  	1.31135 
42 	0.391157	2191.41    	721365     	0.414021   	38897.9    	2.03207	6  	1  	1.51248 
43 	0.412285	141.265    	10932      	0.414021   	933.965    	2.25581	9  	1  	1.69257 
44 	0.443652	inf        	inf        	0.414021   	nan        	2.58261	10 	1  	1.84618 
45 	0.493289	inf        	inf        	0.396612   	nan        	3.09827	10 	1  	2.12245 
46 	0.570062	inf        	inf        	0.395804   	nan        	3.75504	10 	1  	2.48464 
