   	        	                          fitness                          	               size              
   	        	-----------------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std      
0  	0.323177	inf        	inf        	0.513029 	nan        	1.57807	4  	1  	0.65062  
1  	0.323198	inf        	inf        	0.493484 	nan        	1.69205	4  	1  	0.737727 
2  	0.327901	inf        	inf        	0.276658 	nan        	1.84158	5  	1  	0.852866 
3  	0.331792	9.96482    	1456.74    	0.276658 	86.7382    	1.99671	5  	1  	0.923018 
4  	0.349172	inf        	inf        	0.276658 	nan        	2.16066	6  	1  	1.08209  
5  	0.346905	inf        	inf        	0.276658 	nan        	2.11111	8  	1  	1.12637  
6  	0.368622	inf        	inf        	0.276658 	nan        	2.34853	8  	1  	1.25782  
7  	0.373728	22.4755    	1530.99    	0.212683 	132.803    	2.50974	8  	1  	1.48692  
8  	0.404349	inf        	inf        	0.212683 	nan        	2.70227	11 	1  	1.76684  
9  	0.440853	inf        	inf        	0.212683 	nan        	3.19032	12 	1  	2.05078  
10 	0.475004	inf        	inf        	0.212683 	nan        	3.50161	12 	1  	2.08173  
11 	0.509136	inf        	inf        	0.212683 	nan        	3.75962	11 	1  	2.05764  
12 	0.505739	inf        	inf        	0.212683 	nan        	3.72204	11 	1  	2.03862  
13 	0.521621	inf        	inf        	0.212683 	nan        	3.93312	11 	1  	1.95295  
14 	0.55302 	inf        	inf        	0.212683 	nan        	4.04444	11 	1  	1.89014  
15 	0.585695	inf        	inf        	0.212683 	nan        	4.51582	14 	1  	2.04454  
16 	0.594321	inf        	inf        	0.178748 	nan        	4.43849	11 	1  	2.03909  
17 	0.61605 	inf        	inf        	0.178748 	nan        	4.57862	12 	1  	2.12911  
18 	0.66034 	inf        	inf        	0.178748 	nan        	5.04075	13 	1  	2.41499  
19 	0.706857	inf        	inf        	0.178748 	nan        	5.53437	15 	1  	2.70972  
20 	0.767551	inf        	inf        	0.178748 	nan        	6.1838 	17 	1  	2.81194  
21 	0.816061	inf        	inf        	0.178748 	nan        	6.5528 	17 	1  	2.90299  
22 	0.898244	inf        	inf        	0.178748 	nan        	7.19195	17 	1  	3.13381  
23 	0.936862	inf        	inf        	0.178748 	nan        	7.58642	17 	1  	3.35391  
24 	1.03075 	inf        	inf        	0.178748 	nan        	8.33846	17 	1  	3.35434  
25 	1.08092 	inf        	inf        	0.178748 	nan        	8.96626	17 	1  	3.59218  
