   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min     	std        	avg    	max	min	std     
0  	0.292331	inf        	inf        	0.500026	nan        	1.5515 	4  	1  	0.653261
1  	0.283499	inf        	inf        	0.500026	nan        	1.68543	4  	1  	0.748322
2  	0.298361	inf        	inf        	0.500026	nan        	1.90759	6  	1  	0.935921
3  	0.302031	inf        	inf        	0.500026	nan        	2.09539	6  	1  	1.08554 
4  	0.296207	inf        	inf        	0.500026	nan        	2.07213	8  	1  	1.14005 
5  	0.294293	inf        	inf        	0.500026	nan        	1.96078	7  	1  	1.13115 
6  	0.300736	20.8258    	1669.69    	0.500026	164.134    	1.9772 	7  	1  	1.16803 
7  	0.293433	112.86     	30014.3    	0.500026	1710.1     	1.93182	6  	1  	1.16157 
8  	0.293983	125.119    	29974.7    	0.500026	1709.34    	1.89968	8  	1  	1.1319  
9  	0.284573	inf        	inf        	0.500026	nan        	1.81935	7  	1  	0.950185
10 	0.288873	163.369    	30146      	0.500026	1870.12    	1.84566	7  	1  	1.04342 
11 	0.282256	20.8874    	1693.83    	0.500026	153.472    	1.79808	7  	1  	1.127   
12 	0.282399	145430     	4.55146e+07	0.500026	2.56853e+06	1.68051	6  	1  	0.945903
13 	0.284715	33.2069    	6696.65    	0.500026	391.092    	1.65605	6  	1  	0.87217 
14 	0.28827 	3.1746e+27 	1e+30      	0.500026	5.62541e+28	1.77143	6  	1  	0.9913  
15 	0.288603	3.16456e+27	1e+30      	0.500026	5.61653e+28	1.73734	7  	1  	1.07797 
16 	0.286509	11.2781    	1669.69    	0.500026	101.341    	1.69401	6  	1  	0.945383
17 	0.28226 	20.4853    	2205.6     	0.500026	162.161    	1.61321	7  	1  	0.874921
18 	0.283728	19.3207    	1664.38    	0.500026	149.261    	1.55486	4  	1  	0.727408
19 	0.286042	14.1251    	1677.93    	0.500026	107.045    	1.55937	5  	1  	0.768261
20 	0.280431	19.6245    	4627.95    	0.500026	260.209    	1.50467	4  	1  	0.719646
21 	0.287182	10.0977    	447.079    	0.500026	52.0396    	1.54658	5  	1  	0.775801
22 	0.288488	34960.1    	1.12791e+07	0.500026	626612     	1.5356 	4  	1  	0.783618
23 	0.290503	23.3018    	1656.06    	0.500026	143.878    	1.60802	4  	1  	0.818798
24 	0.288565	10.8473    	1666.52    	0.500026	99.8801    	1.54769	4  	1  	0.800982
25 	0.287302	15.7551    	1683.97    	0.500026	136.196    	1.52147	4  	1  	0.805178
26 	0.297252	78.5781    	10602.3    	0.500026	652.435    	1.6208 	5  	1  	0.876081
27 	0.300013	inf        	inf        	0.500026	nan        	1.61585	5  	1  	0.814498
28 	0.292164	137541     	4.52483e+07	0.500026	2.49082e+06	1.62918	5  	1  	0.833858
29 	0.29773 	inf        	inf        	0.500026	nan        	1.6303 	7  	1  	0.882313
30 	0.295864	63.2498    	6882.32    	0.500026	482.951    	1.61027	5  	1  	0.927468
31 	0.298199	33.3023    	6716.17    	0.500026	383.819    	1.56627	5  	1  	0.866968
32 	0.301697	inf        	inf        	0.500026	nan        	1.57658	5  	1  	0.895932
33 	0.295636	677395     	1.80995e+08	0.500026	1.01859e+07	1.53593	5  	1  	0.779738
34 	0.308427	inf        	inf        	0.500026	nan        	1.60299	5  	1  	0.877916
35 	0.301204	134707     	4.52508e+07	0.500026	2.46495e+06	1.56548	5  	1  	0.873825
36 	0.305695	14.7484    	1674.69    	0.500026	105.706    	1.64688	7  	1  	1.02633 
37 	0.306289	inf        	inf        	0.500026	nan        	1.60355	6  	1  	0.989405
38 	0.30831 	inf        	inf        	0.500026	nan        	1.58407	5  	1  	0.879719
39 	0.306305	34.9051    	6650.1     	0.500026	384.961    	1.53235	5  	1  	0.862016
40 	0.302755	inf        	inf        	0.500026	nan        	1.54839	5  	1  	0.825637
41 	0.308656	47.8169    	3736.34    	0.500026	299.264    	1.55848	7  	1  	0.841765
42 	0.304783	1429.98    	479776     	0.500026	25867.5    	1.51312	5  	1  	0.79666 
43 	0.308621	inf        	inf        	0.500026	nan        	1.51163	6  	1  	0.814037
