   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min        	std        	avg    	max	min	std     
0  	0.315535	inf        	inf        	0.516598   	nan        	1.54817	4  	1  	0.658579
1  	0.308966	inf        	inf        	0.516598   	nan        	1.68543	4  	1  	0.748322
2  	0.319218	inf        	inf        	0.516598   	nan        	1.87129	5  	1  	0.897338
3  	0.319738	inf        	inf        	0.516598   	nan        	1.96382	5  	1  	0.92942 
4  	0.324346	3.27869e+27	1e+30      	0.516598   	5.71659e+28	2.08197	5  	1  	1.0194  
5  	0.321022	inf        	inf        	0.516598   	nan        	2.04902	6  	1  	1.04829 
6  	0.330009	inf        	inf        	0.516598   	nan        	2.08469	7  	1  	1.16658 
7  	0.33087 	inf        	inf        	0.516598   	nan        	2.0974 	7  	1  	1.11232 
8  	0.332268	inf        	inf        	0.516598   	nan        	2.12298	7  	1  	1.22187 
9  	0.344714	inf        	inf        	0.516598   	nan        	2.25161	8  	1  	1.29811 
10 	0.352055	39.6098    	3259.57    	0.509298   	275.891    	2.2283 	8  	1  	1.34043 
11 	0.380327	1.28812e+06	2.00944e+08	0.509298   	1.60366e+07	2.33333	7  	1  	1.44486 
12 	0.361293	108.362    	13040.8    	0.48212    	1055.05    	2.40895	7  	1  	1.44953 
13 	0.378487	inf        	inf        	0.48212    	nan        	2.42675	8  	1  	1.41963 
14 	0.38551 	3.1746e+27 	1e+30      	0.48212    	5.62541e+28	2.51746	7  	1  	1.42612 
15 	0.413074	inf        	inf        	0.48212    	nan        	2.82278	9  	1  	1.58321 
16 	0.441805	inf        	inf        	0.48212    	nan        	3.07571	9  	1  	1.7019  
17 	0.4489  	inf        	inf        	0.48212    	nan        	3.12264	8  	1  	1.51949 
18 	0.473334	6.26959e+27	1e+30      	0.48212    	7.89322e+28	3.35737	10 	1  	1.66021 
19 	0.503995	inf        	inf        	0.48212    	nan        	3.66875	11 	1  	1.85985 
20 	0.51285 	inf        	inf        	0.48212    	nan        	3.919  	9  	1  	1.95103 
21 	0.529861	inf        	inf        	0.467398   	nan        	3.99068	11 	1  	2.00075 
22 	0.573443	inf        	inf        	0.467398   	nan        	4.47368	12 	1  	2.12644 
23 	0.614277	9.25926e+27	1e+30      	0.467398   	9.57785e+28	4.83333	13 	1  	2.46018 
24 	0.673122	6.15385e+27	1e+30      	0.467398   	7.82047e+28	5.33846	14 	1  	2.83319 
25 	0.753011	inf        	inf        	0.419614   	nan        	5.87423	17 	1  	3.16123 
26 	0.786118	inf        	inf        	0.419614   	nan        	6.25382	24 	1  	3.39902 
27 	0.870034	2.45056e+06	8.03766e+08	0.38684    	4.43128e+07	7.14329	23 	1  	3.78309 
28 	1.01709 	inf        	inf        	0.38684    	nan        	8.48024	23 	1  	4.46401 
29 	1.1258  	inf        	inf        	0.38684    	nan        	9.29091	23 	1  	4.70592 
30 	1.2469  	inf        	inf        	0.38684    	nan        	10.1601	23 	1  	5.09146 
31 	1.42767 	9.03614e+27	1e+30      	0.38684    	9.46282e+28	10.9849	26 	1  	5.46482 
32 	1.42955 	3.003e+27  	1e+30      	0.383388   	5.47173e+28	11.3033	29 	1  	5.69082 
33 	1.56658 	1.79641e+28	1e+30      	0.339093   	1.32821e+29	12.1347	29 	1  	5.88791 
34 	1.56486 	inf        	inf        	0.339093   	nan        	12.4627	33 	1  	6.67257 
35 	1.57316 	inf        	inf        	0.233021   	nan        	12.3185	33 	1  	6.31206 
36 	1.6524  	inf        	inf        	0.233021   	nan        	12.7448	31 	1  	6.02173 
37 	1.75693 	inf        	inf        	0.233021   	nan        	13.0325	29 	1  	5.86299 
38 	1.98416 	inf        	inf        	0.211094   	nan        	13.9499	31 	1  	5.96948 
39 	2.27726 	inf        	inf        	0.189247   	nan        	15.2706	34 	1  	6.07335 
40 	2.50755 	inf        	inf        	0.1248     	nan        	16.085 	33 	1  	6.07397 
41 	2.62874 	inf        	inf        	0.1248     	nan        	16.2661	33 	1  	5.5664  
42 	2.71015 	inf        	inf        	0.119261   	nan        	16.3761	34 	1  	6.46283 
43 	2.6587  	inf        	inf        	0.119261   	nan        	16.4738	34 	1  	7.18157 
44 	2.69179 	inf        	inf        	0.119261   	nan        	17.1594	34 	1  	7.87699 
45 	2.78194 	5.78035e+27	1e+30      	0.119261   	7.58085e+28	17.711 	34 	1  	8.9693  
46 	2.73811 	inf        	inf        	0.0896045  	nan        	17.1441	34 	1  	9.08347 
47 	2.57283 	1.14943e+28	1e+30      	0.0757733  	1.06593e+29	16.158 	34 	1  	8.65765 
48 	2.70421 	inf        	inf        	0.0744255  	nan        	17.2149	34 	1  	8.69787 
49 	2.76501 	5.71429e+27	1e+30      	0.0744255  	7.53766e+28	18.32  	34 	1  	9.01969 
50 	2.89051 	inf        	inf        	0.0525184  	nan        	19.0313	34 	1  	8.91822 
51 	2.82638 	inf        	inf        	0.0477228  	nan        	19.1562	34 	1  	9.17203 
52 	3.13185 	inf        	inf        	0.0433726  	nan        	21.0482	34 	1  	8.95285 
53 	3.30738 	inf        	inf        	0.0433726  	nan        	21.9633	34 	1  	9.00698 
54 	3.60388 	683021     	2.25632e+08	0.0383082  	1.19871e+07	23.9239	34 	1  	8.47281 
55 	3.94022 	2856.92    	987532     	0.0383082  	52264.7    	25.177 	34 	3  	7.47878 
56 	4.00558 	2.80112e+27	1e+30      	0.0383082  	5.28514e+28	25.2493	34 	2  	7.58053 
57 	4.15395 	5744.06    	1.89049e+06	0.0383082  	99834.3    	25.4749	34 	1  	7.31748 
58 	4.28189 	1599.51    	368988     	0.0307067  	20299.4    	25.1643	34 	1  	7.43464 
59 	4.16558 	2.77778e+27	1e+30      	0.0256579  	5.26314e+28	24.0139	34 	1  	7.83243 
60 	4.11568 	5.54017e+27	1e+30      	0.0256579  	7.42258e+28	22.9003	34 	1  	8.04048 
61 	4.07065 	2.76243e+27	1e+30      	0.0256579  	5.24862e+28	21.8564	33 	1  	7.55103 
62 	4.23196 	3773.97    	1.06187e+06	0.0256579  	56668      	22.0882	34 	1  	7.70016 
63 	4.20399 	219763     	5.21641e+07	0.0252579  	3.00882e+06	22.228 	34 	1  	7.46679 
64 	4.30125 	463.949    	145546     	0.0173844  	7625.52    	23.1096	34 	3  	6.99816 
65 	4.1924  	773.405    	93320.3    	0.0142801  	6554.78    	22.9044	34 	1  	7.31935 
66 	4.48482 	inf        	inf        	0.0142801  	nan        	23.7439	34 	1  	6.88439 
67 	4.82743 	5.43478e+27	1e+30      	0.0142801  	7.35204e+28	25.1984	34 	1  	7.38324 
