   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min       	std        	avg    	max	min	std     
0  	0.308954	inf        	inf        	0.48839   	nan        	1.59136	4  	1  	0.643747
1  	0.308187	5.76424    	200.838    	0.48839   	16.3566    	1.6755 	4  	1  	0.714557
2  	0.310764	inf        	inf        	0.48839   	nan        	1.84158	5  	1  	0.813248
3  	0.313087	3.28947e+27	1e+30      	0.48839   	5.72595e+28	1.90461	5  	1  	0.835546
4  	0.31335 	4.87954    	215.424    	0.48839   	19.665     	1.91148	5  	1  	0.891876
5  	0.30862 	inf        	inf        	0.48839   	nan        	1.91503	5  	1  	0.888913
6  	0.311857	inf        	inf        	0.48839   	nan        	1.91531	8  	1  	0.947821
7  	0.302543	7.26203    	848.123    	0.48839   	54.7064    	1.81169	5  	1  	0.902878
8  	0.310793	37.6371    	8532.1     	0.48839   	489.634    	1.85761	5  	1  	0.951467
9  	0.312668	inf        	inf        	0.48839   	nan        	1.96452	6  	1  	1.11386 
10 	0.309392	13.3299    	1723.45    	0.48839   	111.004    	1.87138	7  	1  	1.09494 
11 	0.304217	3.70048    	281.227    	0.48839   	19.63      	1.84295	7  	1  	1.0581  
12 	0.31512 	7.8021     	1243.39    	0.48839   	75.3518    	1.88818	6  	1  	1.10342 
13 	0.318047	13.8617    	1468.56    	0.48839   	107.68     	1.91083	6  	1  	1.15309 
14 	0.311661	6.064      	817.578    	0.48839   	52.8983    	1.97778	7  	1  	1.24575 
15 	0.318153	6.18102    	616.878    	0.48839   	45.5153    	1.97785	7  	1  	1.26146 
16 	0.318362	2.05265    	56.5396    	0.48839   	6.52313    	1.8959 	7  	1  	1.2827  
17 	0.326846	inf        	inf        	0.48839   	nan        	1.99057	8  	1  	1.46551 
18 	0.327292	3.84804    	307.334    	0.48839   	21.8381    	1.93417	7  	1  	1.28607 
19 	0.322121	14.3597    	3394.59    	0.48839   	190.154    	1.88125	8  	1  	1.26675 
20 	0.319659	3.92558    	312.506    	0.48839   	24.1044    	1.90031	7  	1  	1.22895 
21 	0.333978	inf        	inf        	0.48839   	nan        	2.04658	8  	1  	1.34937 
