   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min       	std        	avg    	max	min	std     
0  	0.318733	inf        	inf        	0.514507  	nan        	1.56811	4  	1  	0.646621
1  	0.316798	5.91331    	192.673    	0.458053  	17.2948    	1.71192	5  	1  	0.771893
2  	0.329229	270.782    	79412      	0.458053  	4554.29    	1.94389	5  	1  	0.859899
3  	0.333509	inf        	inf        	0.322992  	nan        	2.07566	5  	1  	0.909127
4  	0.346556	inf        	inf        	0.311624  	nan        	2.19344	5  	1  	1.00096 
5  	0.365116	inf        	inf        	0.311624  	nan        	2.39216	6  	1  	1.1303  
6  	0.396935	inf        	inf        	0.311624  	nan        	2.64495	6  	1  	1.2003  
7  	0.416705	inf        	inf        	0.298265  	nan        	2.87013	8  	1  	1.31772 
8  	0.437177	inf        	inf        	0.311624  	nan        	3.02589	8  	1  	1.46125 
9  	0.462163	inf        	inf        	0.311624  	nan        	3.30968	8  	1  	1.40077 
10 	0.495414	inf        	inf        	0.203062  	nan        	3.68489	10 	1  	1.54578 
11 	0.517122	inf        	inf        	0.203062  	nan        	3.84936	9  	1  	1.63291 
12 	0.531362	inf        	inf        	0.203062  	nan        	3.86901	10 	1  	1.6859  
13 	0.551047	inf        	inf        	0.203062  	nan        	3.9586 	11 	1  	1.68211 
14 	0.564569	inf        	inf        	0.203062  	nan        	4.07619	11 	1  	1.70729 
15 	0.574089	4.39593    	255.951    	0.141381  	21.0363    	4.16456	9  	1  	1.54412 
16 	0.600321	130652     	3.68718e+07	0.141381  	2.08172e+06	4.44479	9  	1  	1.7186  
17 	0.626829	129.003    	36114.2    	0.141381  	2025.02    	4.81132	12 	1  	1.8125  
18 	0.640314	51416.3    	1.63877e+07	0.141381  	916096     	4.80564	12 	1  	2.02023 
19 	0.68588 	inf        	inf        	0.141381  	nan        	5.3875 	12 	1  	2.23184 
20 	0.685053	inf        	inf        	0.141381  	nan        	5.47664	15 	1  	2.57841 
21 	0.73071 	29068.5    	9.2181e+06 	0.141381  	512935     	5.85404	14 	1  	2.77866 
22 	0.740535	inf        	inf        	0.141381  	nan        	6.13003	17 	1  	2.85704 
23 	0.75359 	inf        	inf        	0.141381  	nan        	6.30864	14 	2  	2.8345  
24 	0.847162	inf        	inf        	0.141381  	nan        	6.65231	17 	1  	3.11113 
25 	0.812482	198.235    	47151.1    	0.141381  	2647.08    	6.89264	16 	1  	2.8668  
26 	0.849605	inf        	inf        	0.103842  	nan        	7.10398	17 	1  	3.08417 
27 	0.89484 	710.47     	145975     	0.103842  	9031.78    	7.62195	23 	1  	3.52306 
28 	0.936153	inf        	inf        	0.103842  	nan        	7.6231 	20 	1  	3.42761 
29 	1.03209 	248304     	6.55468e+07	0.103842  	3.71097e+06	8.37879	21 	2  	3.80576 
30 	1.11424 	inf        	inf        	0.103842  	nan        	8.82477	27 	1  	3.90671 
