   	        	                      fitness                      	               size              
   	        	---------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std      
0  	0.306595	inf        	inf        	15781  	nan        	1.6113 	4  	1  	0.670998 
1  	0.300178	15806.6    	16167.1    	15781  	32.7363    	1.72185	4  	1  	0.777659 
2  	0.291101	15853.5    	31670.7    	15781  	910.496    	1.69637	5  	1  	0.81663  
3  	0.292904	15806.1    	17154.2    	15781  	93.625     	1.79934	6  	1  	0.893617 
4  	0.309187	15800.7    	16258.9    	15776.4	39.6571    	1.95082	5  	1  	0.894908 
5  	0.319314	inf        	inf        	15776.4	nan        	2.01634	5  	1  	0.872451 
6  	0.342651	16120.7    	98602.3    	15773.4	4801.48    	2.2899 	5  	1  	0.950225 
7  	0.375371	15808.4    	19771.2    	15768.4	227.69     	2.5974 	6  	1  	0.99034  
8  	0.41641 	15812.8    	19748.9    	15768  	237.553    	3.06149	8  	1  	1.19306  
9  	0.444125	inf        	inf        	15767.9	nan        	3.46452	8  	1  	1.23538  
10 	0.473944	17016.4    	393238     	15765.8	21368.3    	3.82958	9  	1  	1.3843   
11 	0.509083	15803      	18747.1    	15765.8	184.339    	4.20192	9  	1  	1.59152  
12 	0.561049	15791      	16170.2    	15765.8	44.6916    	4.80831	10 	1  	1.75541  
13 	0.580608	15807.2    	20032.6    	15765.8	249.098    	4.96497	12 	1  	1.8688   
14 	0.615845	inf        	inf        	15765.8	nan        	5.37143	12 	1  	1.85125  
15 	0.638688	15788.2    	16213.6    	15765.8	46.3072    	5.63924	14 	1  	1.97842  
16 	0.68294 	15901.7    	52582.1    	15765.8	2063.85    	6.11987	16 	2  	2.00114  
17 	0.71512 	16008.7    	81324.9    	15765.8	3676.05    	6.29245	12 	1  	1.91469  
18 	0.746307	16102.9    	110249     	15765.5	5292.82    	6.52038	13 	1  	2.06449  
19 	0.777931	15795.3    	16826.4    	15765.5	105.826    	6.91563	13 	1  	1.96112  
20 	0.785505	15797.6    	18078.8    	15765.5	183.422    	7.05919	15 	1  	2.20158  
21 	0.782945	15800.1    	20913.7    	15765.5	290.461    	7      	15 	2  	2.20812  
22 	0.781802	inf        	inf        	15765.5	nan        	7.09288	20 	1  	2.53105  
23 	0.796294	21748.8    	1.93463e+06	15765.5	106438     	7.31173	20 	1  	2.7157   
24 	0.787613	15805.3    	19244.5    	15765.5	239.163    	7.18769	24 	1  	2.78984  
25 	0.816738	15877.2    	31569.4    	15765.5	1038.4     	7.34969	24 	1  	2.72915  
26 	0.852558	17296.5    	393620     	15763.9	21549.9    	7.82569	24 	1  	3.23071  
27 	0.876529	15844.5    	31782.1    	15762.2	923.339    	7.92378	24 	1  	3.70279  
28 	0.936843	2.94367e+06	9.62412e+08	15762.2	5.29778e+07	8.30699	28 	1  	4.07304  
29 	0.943889	18391.6    	848732     	15761.2	45796.9    	8.34848	28 	1  	4.42203  
30 	0.982926	inf        	inf        	15761.2	nan        	8.43202	27 	1  	4.24877  
31 	1.00195 	3.01205e+27	1e+30      	15761.2	5.47994e+28	8.87651	27 	2  	4.00449  
32 	1.05561 	3.003e+27  	1e+30      	15761.2	5.47173e+28	9.35135	27 	2  	4.47613  
33 	1.10753 	24735.5    	2.91354e+06	15761.2	158349     	9.6976 	28 	1  	4.99834  
34 	1.19337 	2.98507e+27	1e+30      	15761.2	5.45542e+28	10.2985	32 	2  	5.08265  
35 	1.25336 	inf        	inf        	15761.2	nan        	10.5119	32 	1  	5.2446   
36 	1.31876 	18007.2    	453238     	15761.2	24817      	10.9911	32 	1  	5.58797  
37 	1.44808 	inf        	inf        	15761.2	nan        	12.1775	32 	2  	5.9309   
38 	1.62584 	inf        	inf        	15761.2	nan        	13.4071	33 	1  	6.48025  
39 	1.69192 	inf        	inf        	15761.2	nan        	13.8147	33 	2  	6.43916  
40 	1.76285 	2.93255e+27	1e+30      	15761.2	5.40736e+28	14.2991	33 	2  	6.68379  
41 	1.85702 	228284     	6.13055e+07	15761.1	3.35709e+06	15.4006	33 	2  	7.4032   
42 	1.95556 	2.91545e+27	1e+30      	15761  	5.39162e+28	16.3557	33 	2  	7.80308  
43 	2.03322 	2.90698e+27	1e+30      	15760.8	5.3838e+28 	16.9884	33 	1  	8.06982  
44 	2.08785 	inf        	inf        	15760.8	nan        	17.4261	34 	5  	8.21034  
45 	2.05544 	inf        	inf        	15760.8	nan        	17.0202	34 	1  	8.3408   
46 	2.15567 	inf        	inf        	15760.8	nan        	17.8242	33 	2  	8.14287  
47 	2.19774 	5.74713e+27	1e+30      	15760.8	7.55916e+28	18.2356	34 	1  	8.25712  
48 	2.3583  	16210.6    	79395.2    	15760.8	4102.05    	19.2206	34 	4  	8.21732  
49 	2.41534 	8.57143e+27	1e+30      	15760.8	9.21844e+28	19.4714	34 	1  	7.81925  
50 	2.43687 	5.69801e+27	1e+30      	15760.8	7.52698e+28	19.433 	34 	2  	7.99219  
51 	2.54174 	inf        	inf        	15760.8	nan        	20.1562	34 	2  	7.95663  
52 	2.66992 	inf        	inf        	15760.8	nan        	20.8839	34 	2  	7.82026  
53 	2.7587  	inf        	inf        	15760.8	nan        	20.9068	34 	3  	7.80807  
54 	2.96035 	inf        	inf        	15758.7	nan        	22.031 	34 	3  	7.83935  
55 	3.16597 	inf        	inf        	15758.7	nan        	23.5478	34 	2  	7.75651  
56 	3.21094 	8.40336e+27	1e+30      	15757.3	9.12839e+28	23.8627	34 	1  	8.25067  
57 	3.27243 	inf        	inf        	15757.3	nan        	25.0698	34 	1  	8.00266  
58 	3.31034 	5.57103e+27	1e+30      	15754.5	7.44311e+28	25.454 	34 	5  	7.54023  
59 	3.2782  	inf        	inf        	15754.5	nan        	25.5056	34 	3  	7.44349  
60 	3.11712 	inf        	inf        	15752.6	nan        	24.3684	34 	1  	8.4388   
