   	        	                          fitness                          	               size              
   	        	-----------------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min     	std        	avg    	max	min	std      
0  	0.30696 	inf        	inf        	0.500636	nan        	1.54817	4  	1  	0.648411 
1  	0.305025	46.2116    	2246.04    	0.500636	266.875    	1.74172	6  	1  	0.849336 
2  	0.31054 	204731     	6.2021e+07 	0.500636	3.55712e+06	1.88449	5  	1  	0.899133 
3  	0.311024	1.02015e+06	2.48084e+08	0.500636	1.4631e+07 	1.99342	6  	1  	0.921217 
4  	0.316345	inf        	inf        	0.500636	nan        	1.95082	6  	1  	0.930824 
5  	0.321018	inf        	inf        	0.500636	nan        	2.00654	5  	1  	0.93233  
6  	0.329281	inf        	inf        	0.500636	nan        	2.07818	6  	1  	1.00507  
7  	0.34374 	6.49351e+27	1e+30      	0.49363 	8.03202e+28	2.12987	6  	1  	1.07027  
8  	0.354913	3.23625e+27	1e+30      	0.49363 	5.67959e+28	2.2233 	6  	1  	1.16251  
9  	0.376813	inf        	inf        	0.49363 	nan        	2.38065	7  	1  	1.29401  
10 	0.3998  	inf        	inf        	0.492395	nan        	2.57235	8  	1  	1.31785  
11 	0.414447	inf        	inf        	0.492395	nan        	2.75321	7  	1  	1.40283  
12 	0.441535	inf        	inf        	0.489026	nan        	3.00958	8  	1  	1.54276  
13 	0.454587	inf        	inf        	0.489026	nan        	3.12102	8  	1  	1.50096  
14 	0.485784	inf        	inf        	0.481837	nan        	3.50159	10 	1  	1.51264  
15 	0.513988	inf        	inf        	0.481837	nan        	3.77848	10 	1  	1.45665  
16 	0.536699	inf        	inf        	0.478634	nan        	3.97476	9  	1  	1.50477  
17 	0.581993	inf        	inf        	0.478405	nan        	4.16667	9  	1  	1.59023  
18 	0.601639	inf        	inf        	0.477243	nan        	4.37931	12 	1  	1.63725  
19 	0.652698	inf        	inf        	0.477243	nan        	4.80938	11 	2  	1.81261  
20 	0.680423	inf        	inf        	0.474882	nan        	5.08723	12 	1  	1.88415  
21 	0.720449	inf        	inf        	0.474882	nan        	5.51242	14 	1  	2.22105  
