   	        	                          fitness                          	               size              
   	        	-----------------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min     	std        	avg    	max	min	std      
0  	0.312076	inf        	inf        	0.489551	nan        	1.5515 	4  	1  	0.658327 
1  	0.297783	inf        	inf        	0.489551	nan        	1.66887	4  	1  	0.747817 
2  	0.307723	inf        	inf        	0.489551	nan        	1.86799	5  	1  	0.909647 
3  	0.310651	inf        	inf        	0.489551	nan        	1.95066	5  	1  	0.942875 
4  	0.3145  	inf        	inf        	0.489551	nan        	2.01639	5  	1  	0.952853 
5  	0.325961	inf        	inf        	0.489551	nan        	2.20261	5  	1  	1.03444  
6  	0.350311	inf        	inf        	0.489551	nan        	2.38436	5  	1  	1.07177  
7  	0.350077	3.24675e+27	1e+30      	0.489551	5.68877e+28	2.37013	5  	1  	1.11047  
8  	0.367639	inf        	inf        	0.489551	nan        	2.49515	5  	1  	1.13668  
9  	0.386785	inf        	inf        	0.489551	nan        	2.58065	5  	1  	1.28199  
10 	0.396075	82.6002    	16359.2    	0.489551	936.211    	2.67203	5  	1  	1.28126  
11 	0.393897	6.41026e+27	1e+30      	0.489551	7.9807e+28 	2.74038	5  	1  	1.28598  
12 	0.416432	809470     	2.53265e+08	0.489551	1.42925e+07	2.91374	5  	1  	1.26475  
13 	0.424868	inf        	inf        	0.489551	nan        	3.00318	5  	1  	1.26314  
14 	0.450904	9.52381e+27	1e+30      	0.489551	9.71242e+28	3.2254 	5  	1  	1.22539  
15 	0.452403	inf        	inf        	0.489551	nan        	3.22785	5  	1  	1.23452  
16 	0.477369	2.2082e+28 	1e+30      	0.489551	1.4695e+29 	3.36909	5  	1  	1.21221  
17 	0.489994	inf        	inf        	0.489551	nan        	3.49686	5  	1  	1.22024  
18 	0.50107 	1.25392e+28	1e+30      	0.489551	1.11274e+29	3.55172	5  	1  	1.20721  
19 	0.501918	6.25e+27   	1e+30      	0.484916	7.88095e+28	3.575  	5  	1  	1.16216  
20 	0.513919	inf        	inf        	0.484916	nan        	3.56075	5  	1  	1.16687  
21 	0.50988 	inf        	inf        	0.484916	nan        	3.60559	5  	1  	1.20417  
22 	0.505235	inf        	inf        	0.484916	nan        	3.58204	5  	1  	1.14651  
23 	0.526126	inf        	inf        	0.484916	nan        	3.71296	5  	1  	1.13353  
24 	0.522586	6.15385e+27	1e+30      	0.484916	7.82047e+28	3.65538	5  	1  	1.11411  
