   	        	                          fitness                          	               size              
   	        	-----------------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std      
0  	0.317588	inf        	inf        	0.480826 	nan        	1.54817	4  	1  	0.643267 
1  	0.318403	inf        	inf        	0.480826 	nan        	1.70199	4  	1  	0.744024 
2  	0.317102	inf        	inf        	0.480826 	nan        	1.89439	4  	1  	0.797315 
3  	0.318825	inf        	inf        	0.480826 	nan        	1.96711	5  	1  	0.822526 
4  	0.336276	inf        	inf        	0.480826 	nan        	2.11475	5  	1  	0.862675 
5  	0.337805	inf        	inf        	0.422185 	nan        	2.15033	5  	1  	0.951581 
6  	0.33209 	inf        	inf        	0.422185 	nan        	2.17264	5  	1  	0.984985 
7  	0.346969	308.736    	93305.2    	0.422185 	5307.66    	2.23377	5  	1  	1.04628  
8  	0.350092	9.70874e+27	1e+30      	0.422185 	9.80534e+28	2.26537	5  	1  	1.1324   
9  	0.357268	inf        	inf        	0.422185 	nan        	2.30323	5  	1  	1.13805  
10 	0.392271	3.21543e+27	1e+30      	0.416977 	5.66136e+28	2.57235	5  	1  	1.32757  
11 	0.40687 	inf        	inf        	0.416977 	nan        	2.76282	5  	1  	1.44609  
12 	0.491766	138.745    	26502.8    	0.3867   	1659.65    	3.03834	5  	1  	1.54541  
13 	0.475207	108.042    	24832.9    	0.3867   	1417.77    	3.39809	5  	1  	1.48156  
14 	0.516261	inf        	inf        	0.3867   	nan        	3.8254 	5  	1  	1.41129  
15 	0.547951	inf        	inf        	0.3867   	nan        	4.25   	5  	1  	1.18168  
16 	0.580717	inf        	inf        	0.367154 	nan        	4.26498	5  	1  	1.19111  
17 	0.601619	inf        	inf        	0.367154 	nan        	4.42767	5  	1  	1.08134  
18 	0.604074	inf        	inf        	0.367055 	nan        	4.36991	5  	1  	1.11747  
19 	0.625232	inf        	inf        	0.36365  	nan        	4.50625	5  	1  	1.00621  
20 	0.615015	inf        	inf        	0.36365  	nan        	4.42991	5  	1  	1.02716  
21 	0.616496	inf        	inf        	0.339524 	nan        	4.4441 	5  	1  	1.00849  
22 	0.64193 	inf        	inf        	0.339524 	nan        	4.57895	5  	1  	0.9745   
23 	0.660369	inf        	inf        	0.337128 	nan        	4.55247	5  	1  	1.04247  
24 	0.684104	inf        	inf        	0.337128 	nan        	4.67692	5  	1  	0.861264 
