   	        	                          fitness                          	               size              
   	        	-----------------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min      	std        	avg    	max	min	std      
0  	0.317996	989.334    	114555     	0.520637 	7556.9     	1.57143	4  	1  	0.656464 
1  	0.312405	147.354    	7160.74    	0.520637 	997.414    	1.74503	5  	1  	0.836596 
2  	0.314992	inf        	inf        	0.475395 	nan        	1.79868	5  	1  	0.876385 
3  	0.32229 	inf        	inf        	0.276144 	nan        	1.91776	5  	1  	0.926482 
4  	0.341786	inf        	inf        	0.276144 	nan        	2.14426	5  	1  	1.09492  
5  	0.353123	inf        	inf        	0.276144 	nan        	2.18954	5  	1  	1.12169  
6  	0.375221	inf        	inf        	0.276144 	nan        	2.42345	5  	1  	1.08731  
7  	0.40107 	141.658    	7150.68    	0.276144 	859.141    	2.72403	5  	1  	1.12461  
8  	0.427903	inf        	inf        	0.276144 	nan        	2.91586	5  	1  	1.2092   
9  	0.461532	inf        	inf        	0.276144 	nan        	3.11935	5  	1  	1.17031  
10 	0.485296	inf        	inf        	0.276144 	nan        	3.30547	5  	1  	1.14535  
11 	0.519218	inf        	inf        	0.276144 	nan        	3.53846	5  	1  	1.0432   
12 	0.533651	inf        	inf        	0.276144 	nan        	3.66134	5  	1  	1.06363  
13 	0.555657	1.41996e+07	4.45845e+09	0.276144 	2.51204e+08	3.78662	5  	1  	0.965494 
14 	0.584854	inf        	inf        	0.268264 	nan        	3.93333	5  	1  	0.890158 
15 	0.591327	inf        	inf        	0.205775 	nan        	3.89241	5  	1  	0.97815  
16 	0.600643	inf        	inf        	0.188198 	nan        	3.98738	5  	1  	0.887966 
17 	0.611914	380.273    	28577.8    	0.188198 	2364.08    	4.1195 	5  	1  	0.973645 
18 	0.63052 	inf        	inf        	0.181401 	nan        	4.16928	5  	1  	0.911196 
19 	0.633907	inf        	inf        	0.181401 	nan        	4.17812	5  	1  	0.871147 
20 	0.642886	inf        	inf        	0.181401 	nan        	4.24299	5  	1  	0.822288 
21 	0.644653	inf        	inf        	0.170489 	nan        	4.20186	5  	1  	0.844932 
22 	0.645197	inf        	inf        	0.170489 	nan        	4.26935	5  	1  	0.839369 
23 	0.646815	inf        	inf        	0.170489 	nan        	4.26543	5  	1  	0.883967 
24 	0.657228	inf        	inf        	0.170489 	nan        	4.37231	5  	1  	0.873456 
25 	0.652293	inf        	inf        	0.170489 	nan        	4.35583	5  	1  	0.866422 
26 	0.661646	inf        	inf        	0.170489 	nan        	4.36391	5  	1  	0.894588 
27 	0.694799	inf        	inf        	0.170489 	nan        	4.51829	5  	2  	0.6805   
28 	0.686687	1.50807e+06	4.9601e+08 	0.170489 	2.73043e+07	4.55623	5  	1  	0.721384 
29 	0.702804	inf        	inf        	0.170489 	nan        	4.58182	5  	1  	0.751344 
30 	0.717461	inf        	inf        	0.170489 	nan        	4.59215	5  	1  	0.7332   
31 	0.723761	inf        	inf        	0.157991 	nan        	4.54819	5  	1  	0.760922 
32 	0.743   	inf        	inf        	0.155884 	nan        	4.58859	5  	1  	0.74058  
33 	0.751385	inf        	inf        	0.153594 	nan        	4.56886	5  	1  	0.773661 
34 	0.758969	267.279    	64404.8    	0.153594 	3623.64    	4.60896	5  	1  	0.63192  
35 	0.786757	inf        	inf        	0.153594 	nan        	4.58036	5  	1  	0.702526 
36 	0.785575	inf        	inf        	0.153594 	nan        	4.61721	5  	1  	0.683897 
37 	0.77612 	inf        	inf        	0.126722 	nan        	4.64201	5  	1  	0.614623 
38 	0.78525 	inf        	inf        	0.126722 	nan        	4.66667	5  	1  	0.66814  
39 	0.814269	inf        	inf        	0.126722 	nan        	4.79706	5  	2  	0.488085 
40 	0.824706	inf        	inf        	0.105193 	nan        	4.81818	5  	2  	0.486556 
41 	0.84986 	1159.17    	164922     	0.105193 	10524.5    	4.85965	5  	1  	0.487454 
