   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std     
0  	0.320291	inf        	inf        	54.2907	nan        	1.59136	4  	1  	0.643747
1  	0.316634	245.7      	55438.9    	54.1389	3181.68    	1.64238	4  	1  	0.735517
2  	0.321144	inf        	inf        	54.1389	nan        	1.87789	5  	1  	0.856892
3  	0.321434	68.8324    	1892.61    	54.1389	121.206    	1.96382	5  	1  	0.863366
4  	0.336124	inf        	inf        	54.1389	nan        	2.11475	5  	1  	0.942587
5  	0.338417	inf        	inf        	54.1389	nan        	2.18301	5  	1  	0.96296 
6  	0.343254	inf        	inf        	54.116 	nan        	2.18893	5  	1  	0.970312
7  	0.337481	1294.21    	221539     	54.116 	14194      	2.19805	5  	1  	0.994986
8  	0.35278 	inf        	inf        	54.1132	nan        	2.35599	5  	1  	1.09846 
9  	0.369627	inf        	inf        	54.1132	nan        	2.53548	5  	1  	1.11747 
10 	0.38062 	inf        	inf        	54.1132	nan        	2.67524	5  	1  	1.20583 
11 	0.395451	1483.14    	221696     	54.1132	17688.1    	2.87179	5  	1  	1.22064 
12 	0.413524	803.082    	221747     	54.1132	12522.8    	3.05431	5  	1  	1.28157 
13 	0.459055	inf        	inf        	54.1132	nan        	3.37261	5  	1  	1.18832 
14 	0.496758	1443       	221696     	54.1132	14177.4    	3.47619	5  	1  	1.06989 
15 	0.543489	inf        	inf        	54.1124	nan        	3.61709	5  	1  	1.0105  
16 	0.56717 	inf        	inf        	53.9937	nan        	3.74132	5  	1  	0.986963
17 	0.583725	inf        	inf        	53.9937	nan        	3.83962	5  	1  	0.988647
18 	0.588937	inf        	inf        	53.9937	nan        	3.76489	5  	1  	0.978398
19 	0.596125	inf        	inf        	42.4426	nan        	3.875  	5  	1  	1.00468 
20 	0.604163	2681.83    	221747     	42.4426	22077.2    	3.95016	5  	2  	0.990928
21 	0.606299	2068.69    	615233     	42.4426	34239.9    	3.8882 	5  	1  	1.00924 
22 	0.630554	2287.02    	637384     	42.4426	35548.2    	4.09598	5  	2  	0.966986
23 	0.633459	5.30276e+10	1.71809e+13	42.4426	9.53023e+11	4.1142 	5  	1  	0.960283
24 	0.649145	inf        	inf        	42.4426	nan        	4.10769	5  	2  	0.997274
25 	0.649889	inf        	inf        	42.4426	nan        	4.22699	5  	1  	1.01402 
26 	0.658017	inf        	inf        	42.4426	nan        	4.263  	5  	2  	0.972689
27 	0.667198	inf        	inf        	41.9928	nan        	4.35976	5  	1  	0.965169
28 	0.67983 	inf        	inf        	24.9066	nan        	4.42553	5  	1  	0.989958
29 	0.67699 	inf        	inf        	24.9066	nan        	4.44848	5  	1  	0.936829
30 	0.687229	inf        	inf        	24.9066	nan        	4.43807	5  	1  	0.918886
31 	0.689265	inf        	inf        	24.1075	nan        	4.48795	5  	1  	0.889957
32 	0.710692	2.41552e+09	8.04366e+11	23.661 	4.40128e+10	4.44444	5  	1  	0.897481
33 	0.690614	inf        	inf        	23.661 	nan        	4.31138	5  	1  	1.00242 
34 	0.696891	inf        	inf        	23.661 	nan        	4.36418	5  	1  	0.961296
35 	0.704436	7044.8     	886573     	23.661 	58754.2    	4.33929	5  	1  	0.901918
36 	0.714388	7.97533e+16	2.68769e+19	23.661 	1.4619e+18 	4.38872	5  	1  	0.822671
37 	0.719857	inf        	inf        	23.661 	nan        	4.31657	5  	1  	0.848122
38 	0.724169	inf        	inf        	23.661 	nan        	4.32448	5  	1  	0.802479
39 	0.737059	inf        	inf        	23.661 	nan        	4.28529	5  	1  	0.722183
40 	0.737522	inf        	inf        	23.661 	nan        	4.2434 	5  	1  	0.724109
41 	0.726969	inf        	inf        	23.661 	nan        	4.14035	5  	1  	0.736006
42 	0.73027 	50421.4    	7.98084e+06	23.661 	531081     	4.17493	5  	1  	0.810831
43 	0.730508	67671.1    	5.54164e+06	23.661 	493819     	4.23256	5  	1  	0.689193
44 	0.753305	inf        	inf        	23.661 	nan        	4.24638	5  	1  	0.714362
45 	0.763611	53865.5    	5.54282e+06	23.661 	475255     	4.25723	5  	1  	0.72548 
46 	0.785563	150376     	8.65959e+06	23.661 	933783     	4.36888	5  	1  	0.627845
47 	0.800025	inf        	inf        	23.661 	nan        	4.37644	5  	1  	0.65145 
48 	0.811754	inf        	inf        	23.661 	nan        	4.3553 	5  	1  	0.65108 
49 	0.806958	130398     	1.08637e+07	23.661 	954963     	4.34571	5  	1  	0.719461
50 	0.807354	inf        	inf        	23.661 	nan        	4.40741	5  	2  	0.571749
51 	0.830147	inf        	inf        	23.661 	nan        	4.48011	5  	2  	0.578647
52 	0.830234	68428.5    	5.5422e+06 	23.661 	513877     	4.45609	5  	1  	0.63774 
53 	0.837987	inf        	inf        	23.505 	nan        	4.5339 	5  	1  	0.557672
54 	0.843024	29209.8    	2.71524e+06	23.505 	223279     	4.53239	5  	1  	0.60602 
55 	0.840165	4.34366e+11	1.54634e+14	23.1007	8.18409e+12	4.55618	5  	1  	0.599336
56 	0.850779	1.20342e+12	4.29621e+14	22.4276	2.27061e+13	4.52101	5  	1  	0.675901
57 	0.869236	inf        	inf        	22.4276	nan        	4.55866	5  	1  	0.656442
58 	0.879536	163108     	1.19226e+07	22.4276	987972     	4.64624	5  	1  	0.522668
59 	0.882224	55668.3    	1.08637e+07	22.4077	650829     	4.62778	5  	1  	0.582433
60 	0.888969	5.83105e+11	2.10501e+14	22.4077	1.10636e+13	4.6205 	5  	1  	0.72358 
61 	0.934655	50688.6    	7.98084e+06	22.4077	487613     	4.74309	5  	1  	0.578404
62 	0.951909	inf        	inf        	22.4077	nan        	4.82369	5  	2  	0.422234
63 	0.98989 	inf        	inf        	22.3706	nan        	4.87637	5  	1  	0.461236
64 	0.993996	inf        	inf        	21.8999	nan        	4.86027	5  	1  	0.455932
65 	1.00767 	inf        	inf        	21.9789	nan        	4.88798	5  	2  	0.340392
66 	1.01116 	inf        	inf        	21.9571	nan        	4.87466	5  	1  	0.43119 
67 	1.02035 	9.73034e+08	3.58061e+11	21.6488	1.86399e+10	4.87772	5  	1  	0.446901
68 	1.05289 	inf        	inf        	21.6488	nan        	4.90786	5  	3  	0.316087
69 	1.02494 	1.07533e+09	3.58061e+11	21.6488	1.86985e+10	4.9    	5  	1  	0.3866  
70 	1.02191 	inf        	inf        	21.6488	nan        	4.87062	5  	1  	0.480873
71 	1.0243  	inf        	inf        	21.6488	nan        	4.8414 	5  	1  	0.507054
72 	1.03752 	inf        	inf        	21.6488	nan        	4.87399	5  	1  	0.46044 
73 	1.071   	inf        	inf        	21.6488	nan        	4.8984 	5  	2  	0.373375
74 	1.09105 	inf        	inf        	21.6488	nan        	4.872  	5  	1  	0.478487
75 	1.10665 	inf        	inf        	21.5815	nan        	4.89096	5  	1  	0.457006
76 	1.1522  	inf        	inf        	21.5815	nan        	4.95225	5  	2  	0.278022
77 	1.149   	inf        	inf        	21.5815	nan        	4.92593	5  	1  	0.411237
78 	1.16502 	inf        	inf        	21.5815	nan        	4.94195	5  	1  	0.293837
79 	1.15714 	inf        	inf        	21.5815	nan        	4.92632	5  	1  	0.429004
80 	1.16521 	inf        	inf        	21.5815	nan        	4.91339	5  	1  	0.397306
81 	1.18052 	inf        	inf        	21.5815	nan        	4.90576	5  	1  	0.441936
82 	1.16551 	inf        	inf        	21.5815	nan        	4.89817	5  	1  	0.412053
83 	1.15995 	inf        	inf        	21.5815	nan        	4.91406	5  	2  	0.32341 
84 	1.17108 	inf        	inf        	21.5815	nan        	4.92468	5  	2  	0.317521
85 	1.15681 	inf        	inf        	21.5815	nan        	4.94301	5  	2  	0.263231
86 	1.15654 	inf        	inf        	21.5815	nan        	4.88889	5  	1  	0.466507
87 	1.1583  	inf        	inf        	21.5084	nan        	4.92268	5  	2  	0.335527
88 	1.15173 	inf        	inf        	21.5084	nan        	4.92545	5  	1  	0.388915
89 	1.14706 	inf        	inf        	21.5084	nan        	4.92821	5  	2  	0.2864  
90 	1.14632 	inf        	inf        	21.5084	nan        	4.87724	5  	1  	0.435354
91 	1.16523 	inf        	inf        	21.5084	nan        	4.93112	5  	1  	0.307808
92 	1.15933 	9.83419e+10	3.86484e+13	21.5084	1.94707e+12	4.9084 	5  	1  	0.441782
93 	1.17774 	inf        	inf        	21.5084	nan        	4.8731 	5  	1  	0.512916
94 	1.24363 	inf        	inf        	21.5084	nan        	4.92658	5  	1  	0.337042
95 	1.23874 	inf        	inf        	21.5084	nan        	4.91919	5  	1  	0.406432
96 	1.20219 	inf        	inf        	21.5084	nan        	4.93955	5  	2  	0.286335
97 	1.2292  	inf        	inf        	21.5084	nan        	4.93467	5  	1  	0.333632
98 	1.23616 	inf        	inf        	21.5084	nan        	4.9198 	5  	1  	0.417156
99 	1.25295 	inf        	inf        	21.5084	nan        	4.9275 	5  	1  	0.383724
100	1.2888  	inf        	inf        	21.5084	nan        	4.95511	5  	1  	0.269811
101	1.27944 	inf        	inf        	21.5084	nan        	4.94527	5  	1  	0.333816
102	1.27035 	inf        	inf        	21.5084	nan        	4.933  	5  	1  	0.327374
103	1.28609 	inf        	inf        	21.5037	nan        	4.91584	5  	1  	0.425483
104	1.30776 	inf        	inf        	21.5037	nan        	4.96543	5  	2  	0.219517
105	1.2887  	inf        	inf        	21.5037	nan        	4.92611	5  	1  	0.402527
106	1.30565 	inf        	inf        	21.5037	nan        	4.92629	5  	1  	0.39589 
107	1.29391 	inf        	inf        	21.5037	nan        	4.94363	5  	1  	0.31971 
108	1.29841 	inf        	inf        	21.5037	nan        	4.94132	5  	3  	0.273489
109	1.30711 	inf        	inf        	21.5037	nan        	4.91707	5  	1  	0.410771
110	1.33305 	inf        	inf        	21.5037	nan        	4.9781 	5  	2  	0.189781
111	1.31037 	inf        	inf        	21.5037	nan        	4.94417	5  	1  	0.340317
112	1.30366 	inf        	inf        	21.5037	nan        	4.94673	5  	2  	0.306618
113	1.2887  	inf        	inf        	21.5037	nan        	4.95894	5  	2  	0.261462
114	1.26358 	inf        	inf        	21.5037	nan        	4.91325	5  	1  	0.424767
115	1.26752 	inf        	inf        	21.5037	nan        	4.92067	5  	1  	0.374622
116	1.2584  	inf        	inf        	21.5037	nan        	4.90168	5  	1  	0.41254 
117	1.26824 	inf        	inf        	21.5037	nan        	4.9378 	5  	2  	0.303026
118	1.26968 	inf        	inf        	21.5037	nan        	4.89976	5  	1  	0.402231
119	1.25663 	inf        	inf        	21.5037	nan        	4.91429	5  	2  	0.341266
120	1.24563 	inf        	inf        	21.5037	nan        	4.91449	5  	2  	0.340886
121	1.25773 	inf        	inf        	21.5037	nan        	4.94787	5  	2  	0.252256
122	1.27353 	inf        	inf        	21.5037	nan        	4.93381	5  	2  	0.284121
123	1.23787 	inf        	inf        	21.5037	nan        	4.88208	5  	1  	0.481016
124	1.24268 	inf        	inf        	21.5037	nan        	4.92941	5  	1  	0.375366
125	1.25431 	inf        	inf        	21.5037	nan        	4.90376	5  	1  	0.430782
126	1.271   	inf        	inf        	21.5037	nan        	4.93677	5  	1  	0.325687
127	1.26692 	inf        	inf        	21.5037	nan        	4.93692	5  	1  	0.30301 
128	1.26702 	inf        	inf        	21.5037	nan        	4.94406	5  	1  	0.307851
129	1.26431 	inf        	inf        	21.5037	nan        	4.93023	5  	1  	0.397396
130	1.27764 	inf        	inf        	21.5037	nan        	4.93968	5  	1  	0.335217
131	1.27534 	inf        	inf        	21.5037	nan        	4.93287	5  	1  	0.382043
132	1.26533 	inf        	inf        	21.5037	nan        	4.89376	5  	1  	0.438118
133	1.2794  	inf        	inf        	21.5037	nan        	4.92166	5  	2  	0.350564
134	1.30459 	inf        	inf        	21.5037	nan        	4.93793	5  	1  	0.35012 
135	1.2809  	inf        	inf        	21.5037	nan        	4.93349	5  	1  	0.314304
136	1.28783 	inf        	inf        	21.5037	nan        	4.93135	5  	2  	0.309796
137	1.30243 	inf        	inf        	21.5037	nan        	4.93836	5  	2  	0.284033
138	1.29966 	inf        	inf        	21.5037	nan        	4.93394	5  	3  	0.257393
139	1.26835 	inf        	inf        	21.5037	nan        	4.89318	5  	1  	0.436878
