   	        	                      fitness                      	               size              
   	        	---------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std      
0  	0.330168	inf        	inf        	3444.64	nan        	1.54817	4  	1  	0.673542 
1  	0.346672	3465.18    	4440.81    	3443.81	67.248     	1.6755 	5  	1  	0.78098  
2  	0.347368	3462.64    	3831.54    	3443.23	43.7741    	1.65347	5  	1  	0.809624 
3  	0.35342 	inf        	inf        	3443.23	nan        	1.65132	4  	1  	0.76313  
4  	0.351188	3460       	3880.88    	3443.23	42.136     	1.66557	5  	1  	0.80549  
5  	0.359364	inf        	inf        	3443.23	nan        	1.73529	5  	1  	0.854742 
6  	0.365721	3461.94    	3992.04    	3443.23	51.0683    	1.8013 	5  	1  	0.900379 
7  	0.363751	3460.34    	4413.44    	3443.23	62.3877    	1.73052	5  	1  	0.823031 
8  	0.364173	3462.8     	4829.46    	3443.23	97.558     	1.80259	5  	1  	0.83406  
9  	0.375534	inf        	inf        	3443.23	nan        	1.84516	5  	1  	0.831958 
10 	0.378716	3466.23    	4924.77    	3443.23	94.4799    	1.99035	5  	1  	0.883888 
11 	0.380038	3454.73    	3747.54    	3443.23	26.2731    	2.00962	5  	1  	0.911063 
12 	0.378682	5466.39    	632851     	3443.23	35518.7    	1.98083	5  	1  	0.91121  
13 	0.378356	3459.11    	4428.33    	3441.67	64.8975    	1.9586 	5  	1  	0.938324 
14 	0.376456	3454.51    	3696.14    	3441.67	20.9006    	1.98095	5  	1  	0.962612 
15 	0.393915	11130      	2.42722e+06	3441.67	136131     	2.15506	5  	1  	1.07827  
16 	0.402166	inf        	inf        	3441.67	nan        	2.21767	5  	1  	1.08326  
17 	0.404672	3465.17    	5893.5     	3441.09	140.766    	2.33962	5  	1  	1.12898  
18 	0.424867	3470.42    	5229.39    	3440.92	137.264    	2.57053	5  	1  	1.24463  
19 	0.436798	3473.31    	7047.11    	3440.92	211.984    	2.6625 	5  	1  	1.21905  
20 	0.447496	3456.65    	4043.23    	3440.92	44.2336    	2.7757 	5  	1  	1.27258  
21 	0.486689	3476.44    	7201.24    	3440.92	230.445    	3.1087 	5  	1  	1.3036   
22 	0.492395	3468.43    	4437.51    	3440.92	102.667    	3.27554	5  	1  	1.28395  
23 	0.51724 	inf        	inf        	3440.92	nan        	3.4321 	5  	1  	1.27355  
24 	0.542675	inf        	inf        	3440.92	nan        	3.62769	5  	1  	1.15286  
25 	0.545989	3482.93    	7233.48    	3440.92	240.237    	3.70859	5  	1  	1.14757  
26 	0.576606	3477.34    	5109.18    	3440.92	145        	3.90214	5  	1  	1.12908  
27 	0.593076	3480.27    	8284.9     	3440.92	296.474    	4.05488	5  	1  	1.17262  
28 	0.610355	3468.47    	5203.29    	3440.92	143.751    	4.24316	5  	1  	1.10889  
29 	0.627369	inf        	inf        	3440.92	nan        	4.34545	5  	1  	1.03955  
30 	0.624064	inf        	inf        	3440.92	nan        	4.35347	5  	1  	1.10703  
31 	0.624979	3460.83    	4444.59    	3440.92	73.3853    	4.39157	5  	1  	1.04001  
32 	0.634488	3473.75    	4550.6     	3440.92	132.235    	4.45045	5  	1  	1.0111   
33 	0.627777	5318.33    	621033     	3440.92	33741.2    	4.3982 	5  	1  	1.08341  
34 	0.629802	3482.62    	7392.23    	3440.42	348.958    	4.40299	5  	1  	1.04895  
35 	0.640708	3498.76    	12323.9    	3440.42	535.079    	4.41071	5  	1  	1.00493  
36 	0.637511	3470.49    	4802.98    	3440.3 	137.684    	4.4451 	5  	1  	1.05239  
37 	0.635402	inf        	inf        	3440.3 	nan        	4.39349	5  	1  	1.1156   
38 	0.657694	inf        	inf        	3440.3 	nan        	4.46018	5  	1  	1.02795  
39 	0.655963	3451.43    	3727.4     	3440.3 	29.6109    	4.41765	5  	1  	1.05537  
40 	0.656824	3457.33    	4444.59    	3440.3 	81.8648    	4.43402	5  	1  	1.07185  
41 	0.671308	3466.56    	7475.03    	3440.3 	221.924    	4.4386 	5  	1  	1.1111   
42 	0.689807	10688.5    	2.4745e+06 	3440.18	133228     	4.42566	5  	1  	1.11687  
43 	0.713408	3463.07    	4674.01    	3440.18	87.0724    	4.48837	5  	1  	1.05096  
44 	0.710084	inf        	inf        	3440.18	nan        	4.42899	5  	1  	1.07476  
45 	0.737556	inf        	inf        	3440.18	nan        	4.57803	5  	1  	0.887279 
46 	0.760149	inf        	inf        	3439.49	nan        	4.61671	5  	1  	0.878863 
47 	0.769327	inf        	inf        	3439.49	nan        	4.58046	5  	1  	0.920312 
48 	0.78046 	5224.22    	621289     	3439.49	33024.6    	4.60745	5  	1  	0.838235 
49 	0.818763	inf        	inf        	3439.49	nan        	4.68571	5  	1  	0.758624 
50 	0.851458	3461.45    	3811.17    	3439.21	55.717     	4.76638	5  	1  	0.689447 
51 	0.865402	inf        	inf        	3439.21	nan        	4.78693	5  	1  	0.595962 
52 	0.872322	3459.68    	4494.9     	3439.21	93.145     	4.8102 	5  	1  	0.598116 
53 	0.886572	inf        	inf        	3439.21	nan        	4.80508	5  	1  	0.614217 
54 	0.91027 	inf        	inf        	3435.48	nan        	4.88451	5  	1  	0.469536 
55 	0.91104 	10415.5    	2.47486e+06	3435.48	130799     	4.89888	5  	2  	0.404884 
56 	0.906493	10419.6    	2.47329e+06	3435.48	130533     	4.86555	5  	1  	0.472037 
57 	0.920069	inf        	inf        	3435.48	nan        	4.8324 	5  	1  	0.588398 
58 	0.927576	inf        	inf        	3435.21	nan        	4.82451	5  	1  	0.633213 
59 	0.925766	3473.24    	7994.39    	3435.21	248.363    	4.77778	5  	1  	0.691661 
60 	0.931447	3512.58    	11827.1    	3435.21	625.299    	4.80886	5  	1  	0.656971 
61 	0.936012	inf        	inf        	3435.21	nan        	4.79282	5  	1  	0.659527 
62 	0.942114	3553.16    	11761.6    	3435.21	679.974    	4.85399	5  	1  	0.543587 
63 	0.955806	3539.95    	11822.8    	3435.21	644.562    	4.87088	5  	1  	0.571607 
64 	0.962949	inf        	inf        	3435.21	nan        	4.84384	5  	1  	0.682659 
65 	0.974301	inf        	inf        	3435.08	nan        	4.86612	5  	1  	0.615021 
66 	0.979854	3644.12    	11925.1    	3435.08	1093.7     	4.88283	5  	1  	0.521896 
67 	0.994448	3624.58    	12204.1    	3434.93	1018.94    	4.85598	5  	1  	0.588307 
68 	1.00059 	3624.08    	11873      	3434.93	871.303    	4.87263	5  	1  	0.591295 
69 	1.02863 	3648.35    	12204.1    	3434.93	1111.36    	4.8973 	5  	1  	0.520128 
70 	1.0265  	3642.4     	12076.5    	3434.92	1162.86    	4.84097	5  	1  	0.66002  
71 	1.03968 	3722.64    	12325.1    	3434.92	1317.13    	4.91667	5  	1  	0.453234 
72 	1.03711 	inf        	inf        	3434.89	nan        	4.89812	5  	1  	0.557976 
73 	1.03598 	237648     	8.75489e+07	3434.89	4.5208e+06 	4.87968	5  	1  	0.555925 
74 	1.04025 	184755     	6.71442e+07	3434.89	3.46261e+06	4.82933	5  	1  	0.691042 
75 	1.07525 	inf        	inf        	3434.89	nan        	4.91489	5  	1  	0.464931 
76 	1.08224 	3613.75    	16783.7    	3434.64	1110.52    	4.92573	5  	1  	0.442804 
77 	1.11547 	3604.64    	11946.6    	3434.47	984.848    	4.93386	5  	1  	0.434451 
78 	1.10777 	3785.51    	37786.6    	3434.47	2152.59    	4.92876	5  	1  	0.450964 
79 	1.11737 	inf        	inf        	3434.2 	nan        	4.94737	5  	1  	0.425958 
80 	1.1226  	inf        	inf        	3434.2 	nan        	4.96063	5  	2  	0.291658 
81 	1.12432 	5767.93    	621033     	3434.2 	32336.3    	4.94241	5  	1  	0.385377 
82 	1.14719 	inf        	inf        	3434.2 	nan        	4.96606	5  	1  	0.300386 
83 	1.14937 	3629.72    	11922.7    	3434.2 	1117.18    	4.98177	5  	3  	0.168266 
84 	1.15853 	inf        	inf        	3434.2 	nan        	4.96623	5  	2  	0.262659 
85 	1.16738 	3624.61    	37002      	3434.2 	1817.62    	4.95596	5  	1  	0.388471 
86 	1.17234 	177153     	6.71433e+07	3434.2 	3.40849e+06	4.95866	5  	1  	0.384918 
87 	1.15722 	inf        	inf        	3434.2 	nan        	4.95361	5  	1  	0.390496 
88 	1.15983 	inf        	inf        	3434.2 	nan        	4.95116	5  	1  	0.379663 
89 	1.1613  	2.5641e+27 	1e+30      	3431.73	5.0572e+28 	4.9641 	5  	2  	0.284188 
90 	1.23116 	3574.13    	12089.2    	3431.73	796.82     	4.92839	5  	1  	0.474395 
91 	1.2334  	3648.44    	13481.8    	3431.73	1034.18    	4.94898	5  	1  	0.400827 
92 	1.17611 	inf        	inf        	3431.73	nan        	4.94911	5  	1  	0.367171 
93 	1.1879  	30170.1    	1.04678e+07	3431.73	526510     	4.9467 	5  	1  	0.408913 
94 	1.20206 	1.36496e+06	2.68551e+08	3431.73	1.90604e+07	4.96709	5  	1  	0.335918 
95 	1.20086 	3592.28    	18534.8    	3430.98	1022.18    	4.96212	5  	1  	0.319532 
96 	1.22263 	59233.6    	2.20914e+07	3430.98	1.10716e+06	4.97985	5  	2  	0.223544 
97 	1.23135 	6707.16    	620574     	3430.98	43611.9    	4.95729	5  	1  	0.333528 
98 	1.25076 	783149     	2.68552e+08	3430.98	1.35843e+07	4.95739	5  	1  	0.361962 
99 	1.26476 	45363      	1.66689e+07	3430.98	832219     	4.96   	5  	1  	0.378682 
100	1.2848  	inf        	inf        	3430.18	nan        	4.95012	5  	1  	0.408765 
101	1.29187 	212425     	6.71433e+07	3429.98	3.44537e+06	4.96269	5  	1  	0.339887 
102	1.29245 	29575.7    	1.04646e+07	3429.13	520452     	4.95285	5  	1  	0.411088 
103	1.30772 	3647       	13287.4    	3429.13	1144.92    	4.97525	5  	1  	0.271376 
104	1.3262  	inf        	inf        	3429.13	nan        	4.97037	5  	1  	0.304876 
105	1.32764 	28116.2    	9.87792e+06	3427.4 	489443     	4.98768	5  	2  	0.178516 
106	1.31608 	inf        	inf        	3429.13	nan        	4.97052	5  	2  	0.295944 
107	1.30848 	inf        	inf        	3428.52	nan        	4.95343	5  	1  	0.390183 
108	1.31008 	192041     	6.71395e+07	3425.52	3.35014e+06	4.9511 	5  	2  	0.360053 
109	1.32749 	760717     	2.68552e+08	3425.52	1.34014e+07	4.98293	5  	1  	0.246341 
110	1.33497 	765122     	2.68548e+08	3425.52	1.33851e+07	4.97567	5  	1  	0.269074 
111	1.32145 	669680     	2.6855e+08 	3397.32	1.32168e+07	4.94417	5  	1  	0.411356 
112	1.34568 	755251     	2.68548e+08	3421.98	1.33526e+07	4.95884	5  	1  	0.369216 
113	1.34071 	871651     	2.68545e+08	3396.9 	1.38676e+07	4.93237	5  	1  	0.47677  
114	1.34436 	1.3037e+06 	2.68549e+08	3388.24	1.85976e+07	4.94458	5  	2  	0.379363 
115	1.32109 	inf        	inf        	3388.24	nan        	4.93029	5  	1  	0.451968 
116	1.29827 	647837     	2.68549e+08	3387.65	1.31349e+07	4.88489	5  	1  	0.592671 
117	1.31454 	inf        	inf        	3387.65	nan        	4.9378 	5  	1  	0.404469 
118	1.28451 	3.95517e+06	1.07417e+09	3387.43	5.55571e+07	4.91885	5  	1  	0.491554 
119	1.26884 	inf        	inf        	3387.02	nan        	4.92381	5  	2  	0.429734 
120	1.23374 	inf        	inf        	3386.87	nan        	4.94774	5  	2  	0.360951 
121	1.17668 	15991.7    	2.62003e+06	3382.67	179694     	4.91469	5  	2  	0.426961 
122	1.17345 	inf        	inf        	3382.67	nan        	4.93144	5  	1  	0.367124 
123	1.16267 	inf        	inf        	3382.67	nan        	4.88915	5  	1  	0.48997  
124	1.16124 	inf        	inf        	3381.95	nan        	4.89882	5  	1  	0.481784 
125	1.22862 	inf        	inf        	3381.39	nan        	4.9108 	5  	1  	0.485978 
126	1.19166 	inf        	inf        	3381.21	nan        	4.9274 	5  	1  	0.461007 
127	1.19924 	22286.6    	2.62017e+06	3381.21	218412     	4.91355	5  	1  	0.473112 
128	1.25166 	675241     	2.66601e+08	3364.69	1.28794e+07	4.97436	5  	1  	0.258731 
129	1.30734 	315345     	4.18602e+07	3364.69	3.49601e+06	4.96279	5  	3  	0.261501 
130	1.35065 	inf        	inf        	3364.69	nan        	4.95128	5  	1  	0.360384 
131	1.41552 	inf        	inf        	3364.69	nan        	4.96759	5  	1  	0.345427 
132	1.451   	13207.5    	2.62008e+06	3364.69	143959     	4.94688	5  	1  	0.439867 
133	1.496   	27784.9    	2.62013e+06	3364.69	250026     	4.99078	5  	1  	0.191785 
