   	        	                      fitness                      	               size              
   	        	---------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min    	std        	avg    	max	min	std      
0  	0.319526	inf        	inf        	0.49662	nan        	1.59468	4  	1  	0.643267 
1  	0.319516	inf        	inf        	0.49662	nan        	1.67219	4  	1  	0.738143 
2  	0.320431	inf        	inf        	0.49662	nan        	1.89769	5  	1  	0.840062 
3  	0.325192	inf        	inf        	0.49662	nan        	1.90461	5  	1  	0.866469 
4  	0.3205  	5.0053     	317.83     	0.49662	23.481     	1.86885	5  	1  	0.881047 
5  	0.32359 	inf        	inf        	0.49662	nan        	1.87908	5  	1  	0.901209 
6  	0.332834	inf        	inf        	0.49662	nan        	1.96091	5  	1  	0.981143 
7  	0.346856	7.67958    	335.75     	0.49662	28.9891    	2.03571	5  	1  	1.00745  
8  	0.357333	inf        	inf        	0.49662	nan        	2.14887	5  	1  	1.06299  
9  	0.353704	3.22581e+27	1e+30      	0.49662	5.67045e+28	2.17742	5  	1  	1.07949  
10 	0.358808	19.4748    	1763.58    	0.49662	132.131    	2.22186	5  	1  	1.07244  
11 	0.355798	inf        	inf        	0.49662	nan        	2.3109 	5  	1  	1.11924  
12 	0.36139 	22.2228    	5075.34    	0.49662	287.443    	2.37061	5  	1  	1.07098  
13 	0.383113	3.18471e+27	1e+30      	0.49662	5.63433e+28	2.52229	5  	1  	1.15701  
14 	0.390931	inf        	inf        	0.49662	nan        	2.65714	5  	1  	1.22536  
15 	0.391269	inf        	inf        	0.49662	nan        	2.73101	5  	1  	1.2067   
16 	0.402224	inf        	inf        	0.49662	nan        	2.84858	5  	1  	1.24167  
17 	0.412256	inf        	inf        	0.49662	nan        	2.87736	5  	1  	1.24917  
18 	0.427733	6.26959e+27	1e+30      	0.49662	7.89322e+28	2.9906 	5  	1  	1.23554  
19 	0.439828	inf        	inf        	0.49662	nan        	3.21563	5  	1  	1.23253  
20 	0.450437	inf        	inf        	0.49662	nan        	3.23988	5  	1  	1.28801  
21 	0.470659	inf        	inf        	0.49662	nan        	3.36957	5  	1  	1.22731  
22 	0.490514	inf        	inf        	0.49662	nan        	3.49226	5  	1  	1.21997  
23 	0.507062	9.25926e+27	1e+30      	0.49662	9.57785e+28	3.6142 	5  	1  	1.15574  
24 	0.502335	inf        	inf        	0.49662	nan        	3.59077	5  	1  	1.21601  
25 	0.526187	inf        	inf        	0.49662	nan        	3.61043	5  	1  	1.18726  
26 	0.528678	inf        	inf        	0.49662	nan        	3.74312	5  	1  	1.17103  
27 	0.543942	inf        	inf        	0.49662	nan        	3.81402	5  	1  	1.18122  
28 	0.540146	inf        	inf        	0.49662	nan        	3.80547	5  	1  	1.14264  
29 	0.536909	inf        	inf        	0.49662	nan        	3.73333	5  	1  	1.16324  
30 	0.545868	inf        	inf        	0.49662	nan        	3.70091	5  	1  	1.23566  
31 	0.576323	inf        	inf        	0.49662	nan        	3.82831	5  	1  	1.1964   
32 	0.590913	1.5015e+28 	1e+30      	0.49662	1.21612e+29	3.84084	5  	1  	1.18621  
33 	0.616642	inf        	inf        	0.49662	nan        	4.01796	5  	1  	1.11588  
34 	0.616344	inf        	inf        	0.49662	nan        	3.95522	5  	1  	1.13339  
35 	0.630364	inf        	inf        	0.49662	nan        	3.91369	5  	1  	1.124    
36 	0.637946	1.48368e+28	1e+30      	0.49662	1.20899e+29	3.91098	5  	1  	1.16747  
37 	0.656046	inf        	inf        	0.49662	nan        	3.97337	5  	1  	1.16502  
38 	0.684286	inf        	inf        	0.49662	nan        	4.06785	5  	1  	1.12813  
39 	0.695441	inf        	inf        	0.49662	nan        	4.23824	5  	1  	0.984741 
40 	0.705825	inf        	inf        	0.49662	nan        	4.19648	5  	1  	1.01287  
41 	0.72794 	1.16959e+28	1e+30      	0.49662	1.07513e+29	4.24854	5  	1  	1.04556  
42 	0.706672	inf        	inf        	0.49662	nan        	4.25364	5  	1  	1.00572  
43 	0.689847	109.23     	7931.34    	0.49662	743.688    	4.21221	5  	1  	1.00798  
44 	0.706509	8.69565e+27	1e+30      	0.49662	9.28442e+28	4.21159	5  	1  	1.03777  
45 	0.737971	inf        	inf        	0.49662	nan        	4.36994	5  	1  	0.935256 
46 	0.732463	2.88184e+27	1e+30      	0.49662	5.36054e+28	4.39193	5  	1  	0.949287 
47 	0.714549	8.62069e+27	1e+30      	0.49662	9.24466e+28	4.29598	5  	1  	0.992087 
48 	0.704661	8.59599e+27	1e+30      	0.49662	9.23152e+28	4.24928	5  	1  	1.06428  
49 	0.718284	inf        	inf        	0.49662	nan        	4.29714	5  	1  	0.94883  
50 	0.754334	inf        	inf        	0.49662	nan        	4.33618	5  	1  	0.867801 
51 	0.755788	1.70455e+28	1e+30      	0.49662	1.29441e+29	4.22443	5  	1  	1.01027  
52 	0.745119	inf        	inf        	0.49662	nan        	4.24929	5  	1  	0.964031 
53 	0.842931	5.64972e+27	1e+30      	0.49662	7.4952e+28 	4.31921	5  	1  	0.897154 
54 	0.764848	inf        	inf        	0.49662	nan        	4.29859	5  	1  	0.941005 
55 	0.797718	1.68539e+28	1e+30      	0.49662	1.28724e+29	4.35112	5  	1  	0.898046 
56 	0.759693	1.12045e+28	1e+30      	0.49662	1.05257e+29	4.21569	5  	1  	1.01307  
57 	0.773907	inf        	inf        	0.49662	nan        	4.31006	5  	1  	0.949248 
58 	0.769739	inf        	inf        	0.49662	nan        	4.31755	5  	1  	0.913836 
59 	0.760028	inf        	inf        	0.49662	nan        	4.26667	5  	1  	1.00333  
60 	0.756742	8.31025e+27	1e+30      	0.49662	9.0781e+28 	4.20222	5  	1  	1.06342  
61 	0.757431	inf        	inf        	0.49662	nan        	4.19061	5  	1  	1.02436  
62 	0.747395	2.75482e+27	1e+30      	0.49662	5.2414e+28 	4.16253	5  	1  	1.02505  
63 	0.758255	inf        	inf        	0.49662	nan        	4.21703	5  	1  	0.997048 
64 	0.735362	8.21918e+27	1e+30      	0.49662	9.02863e+28	4.19178	5  	1  	0.965962 
65 	0.755145	inf        	inf        	0.49662	nan        	4.28689	5  	1  	0.927534 
66 	0.752044	5.44959e+27	1e+30      	0.49662	7.36199e+28	4.2861 	5  	1  	0.966692 
67 	0.770762	5.43478e+27	1e+30      	0.49662	7.35204e+28	4.31522	5  	1  	0.949019 
68 	0.768426	inf        	inf        	0.49662	nan        	4.33062	5  	1  	0.882937 
69 	0.75874 	8.10811e+27	1e+30      	0.49662	8.96792e+28	4.3027 	5  	1  	0.915478 
70 	0.745042	1.07817e+28	1e+30      	0.49662	1.03274e+29	4.24798	5  	1  	0.941963 
71 	0.729876	685.025    	105860     	0.49662	6121.83    	4.18011	5  	1  	1.03557  
72 	0.73509 	inf        	inf        	0.49662	nan        	4.20643	5  	1  	1.07007  
73 	0.731875	5.34759e+27	1e+30      	0.49662	7.29315e+28	4.19251	5  	1  	1.05736  
74 	0.746706	5.33333e+27	1e+30      	0.49662	7.28347e+28	4.21067	5  	1  	1.04353  
75 	0.763549	1125.14    	206766     	0.49662	12680.6    	4.31383	5  	1  	0.957846 
76 	0.801041	2.65252e+27	1e+30      	0.49662	5.14343e+28	4.4191 	5  	1  	0.873698 
77 	0.801148	inf        	inf        	0.49662	nan        	4.36772	5  	1  	0.917044 
78 	0.81716 	inf        	inf        	0.49662	nan        	4.44855	5  	1  	0.895233 
79 	0.797024	170503     	6.41705e+07	0.49662	3.28754e+06	4.45263	5  	1  	0.801557 
80 	0.806135	inf        	inf        	0.49662	nan        	4.4042 	5  	1  	0.884028 
81 	0.807139	inf        	inf        	0.49662	nan        	4.49738	5  	1  	0.836812 
82 	0.799927	2.61097e+27	1e+30      	0.49662	5.10309e+28	4.46736	5  	1  	0.872172 
83 	0.794764	2.60417e+27	1e+30      	0.49662	5.09645e+28	4.51562	5  	1  	0.793703 
84 	0.806894	inf        	inf        	0.49662	nan        	4.52727	5  	1  	0.796035 
85 	0.786737	5.18135e+27	1e+30      	0.49662	7.17949e+28	4.45078	5  	1  	0.841853 
86 	0.79711 	1.03359e+28	1e+30      	0.49662	1.01139e+29	4.52196	5  	1  	0.775202 
87 	0.7786  	477.679    	156255     	0.49662	7934.21    	4.51546	5  	1  	0.774775 
88 	0.778883	5.14139e+27	1e+30      	0.49662	7.15189e+28	4.42159	5  	1  	0.913845 
89 	0.793453	inf        	inf        	0.49662	nan        	4.46154	5  	1  	0.839602 
90 	0.774196	13506.2    	5.02414e+06	0.49662	253825     	4.48338	5  	1  	0.857705 
91 	0.782903	7.65306e+27	1e+30      	0.49662	8.71464e+28	4.47194	5  	1  	0.841663 
92 	0.77071 	1669.48    	594883     	0.49662	30017.4    	4.38168	5  	1  	0.968654 
93 	0.769638	inf        	inf        	0.49662	nan        	4.35787	5  	1  	1.00575  
94 	0.781779	inf        	inf        	0.49662	nan        	4.39241	5  	1  	0.928013 
95 	0.778548	2.52525e+27	1e+30      	0.49662	5.01884e+28	4.38131	5  	1  	0.892479 
96 	0.785293	7.55668e+27	1e+30      	0.49662	8.66001e+28	4.33753	5  	1  	0.963791 
97 	0.767818	1.00503e+28	1e+30      	0.49662	9.97459e+28	4.28894	5  	1  	0.913015 
98 	0.779807	203.612    	42346.7    	0.49662	2441.23    	4.37845	5  	1  	0.914729 
99 	0.791216	7.5e+27    	1e+30      	0.49662	8.62772e+28	4.4575 	5  	1  	0.844508 
100	0.793991	4.98753e+27	1e+30      	0.49662	7.04461e+28	4.45636	5  	1  	0.892594 
101	0.782116	2.48756e+27	1e+30      	0.49662	4.98134e+28	4.41791	5  	1  	0.935469 
102	0.774881	inf        	inf        	0.49662	nan        	4.36725	5  	1  	0.949922 
103	0.768971	1181.43    	117623     	0.49662	9277.67    	4.32921	5  	1  	0.963717 
104	0.773115	4.93827e+27	1e+30      	0.49662	7.00991e+28	4.36543	5  	1  	0.910726 
105	0.792428	4.92611e+27	1e+30      	0.49662	7.00132e+28	4.35468	5  	1  	0.96353  
106	0.790885	inf        	inf        	0.49662	nan        	4.40049	5  	1  	0.95052  
107	0.803054	1.22549e+28	1e+30      	0.49662	1.10021e+29	4.43873	5  	1  	0.899984 
108	0.757436	1806.82    	570909     	0.49662	29045      	4.33252	5  	1  	0.999728 
109	0.771741	2.43902e+27	1e+30      	0.49662	4.93262e+28	4.41707	5  	1  	0.934019 
110	0.770041	inf        	inf        	0.49662	nan        	4.42579	5  	1  	0.936534 
111	0.763647	232.542    	76558.8    	0.49662	3787.51    	4.47573	5  	1  	0.816631 
112	0.772769	413.346    	117034     	0.49662	5933.86    	4.45763	5  	1  	0.913324 
113	0.801012	4.83092e+27	1e+30      	0.49662	6.93367e+28	4.54106	5  	1  	0.784515 
114	0.787473	742.9      	276543     	0.49662	13594.9    	4.55181	5  	1  	0.725833 
115	0.775015	inf        	inf        	0.49662	nan        	4.48558	5  	1  	0.829031 
116	0.781917	8085.11    	2.4575e+06 	0.49662	126490     	4.40528	5  	1  	0.960251 
117	0.773723	2.39234e+27	1e+30      	0.49662	4.88531e+28	4.4378 	5  	1  	0.900402 
118	0.785923	4.77327e+27	1e+30      	0.49662	6.89238e+28	4.46062	5  	1  	0.871315 
119	0.75443 	2.38095e+27	1e+30      	0.49662	4.87369e+28	4.42143	5  	1  	0.954198 
120	0.742456	inf        	inf        	0.49662	nan        	4.42043	5  	1  	0.93568  
121	0.76403 	4.73934e+27	1e+30      	0.49662	6.86795e+28	4.43602	5  	1  	0.941125 
122	0.76932 	inf        	inf        	0.49662	nan        	4.45863	5  	1  	0.966368 
123	0.756266	2.35849e+27	1e+30      	0.49662	4.8507e+28 	4.38915	5  	1  	0.969816 
124	0.753664	2.35294e+27	1e+30      	0.49662	4.845e+28  	4.32706	5  	1  	0.988807 
125	0.746984	inf        	inf        	0.49662	nan        	4.28404	5  	1  	1.02393  
126	0.763492	65.8746    	16350.6    	0.49662	813.513    	4.42155	5  	1  	0.897723 
127	0.761487	2.33645e+27	1e+30      	0.49662	4.82803e+28	4.39252	5  	1  	0.939845 
128	0.737619	inf        	inf        	0.49662	nan        	4.32401	5  	1  	1.00345  
129	0.728653	inf        	inf        	0.49662	nan        	4.32558	5  	1  	0.969798 
130	0.815583	210.79     	76700.7    	0.49662	3695.66    	4.24826	5  	1  	1.03358  
131	0.722484	2.31481e+27	1e+30      	0.49662	4.80568e+28	4.25231	5  	1  	1.04693  
132	0.725712	inf        	inf        	0.49662	nan        	4.2448 	5  	1  	1.06167  
133	0.734044	71.7584    	9263.86    	0.49662	660.761    	4.2788 	5  	1  	1.03539  
134	0.745992	inf        	inf        	0.49662	nan        	4.22989	5  	1  	1.06027  
135	0.75071 	520.76     	121591     	0.49662	6505.94    	4.24771	5  	1  	1.05714  
136	0.745556	2.28833e+27	1e+30      	0.49662	4.77817e+28	4.23799	5  	1  	1.02067  
137	0.749149	2.28311e+27	1e+30      	0.49662	4.77273e+28	4.23744	5  	1  	1.00604  
138	0.763915	inf        	inf        	0.49662	nan        	4.33485	5  	1  	1.00769  
139	0.751698	179.133    	67296.8    	0.49662	3218.35    	4.36591	5  	1  	0.917121 
140	0.771762	inf        	inf        	0.49662	nan        	4.42404	5  	1  	0.915606 
141	0.775192	inf        	inf        	0.49662	nan        	4.45249	5  	1  	0.850209 
142	0.801032	28.6168    	5075.34    	0.49662	295.322    	4.45824	5  	1  	0.860439 
143	0.797163	2.25225e+27	1e+30      	0.49662	4.74044e+28	4.40991	5  	1  	0.858708 
