   	        	            fitness            	              size              
   	        	-------------------------------	--------------------------------
gen	time    	avg   	max   	min   	std    	avg    	max	min	std     
0  	0.327145	inf   	inf   	726625	nan    	1.68771	4  	1  	0.653751
1  	0.329106	inf   	inf   	725630	nan    	1.84768	4  	1  	0.799407
2  	0.334808	727452	730923	725630	373.773	2.05611	5  	1  	0.893774
3  	0.354423	inf   	inf   	724870	nan    	2.35197	5  	1  	0.916477
4  	0.388408	inf   	inf   	724147	nan    	2.61311	5  	1  	1.02805 
5  	0.407889	inf   	inf   	722815	nan    	2.84314	5  	1  	1.14685 
6  	0.426382	inf   	inf   	722511	nan    	3.06515	5  	1  	1.08393 
7  	0.443096	inf   	inf   	722511	nan    	3.31494	5  	1  	1.14593 
8  	0.456846	inf   	inf   	722511	nan    	3.43689	5  	1  	1.1906  
9  	0.482838	inf   	inf   	722511	nan    	3.65161	5  	1  	1.17552 
10 	0.484546	inf   	inf   	722511	nan    	3.53376	5  	1  	1.19403 
11 	0.484751	inf   	inf   	722511	nan    	3.41987	5  	1  	1.15192 
12 	0.508377	inf   	inf   	722511	nan    	3.46006	5  	1  	1.16354 
13 	0.529444	inf   	inf   	722511	nan    	3.66561	5  	1  	1.0912  
14 	0.544687	inf   	inf   	722511	nan    	3.70159	5  	1  	1.09537 
15 	0.541966	inf   	inf   	722511	nan    	3.68671	5  	1  	1.04637 
16 	0.551656	inf   	inf   	722511	nan    	3.74448	5  	1  	1.0452  
17 	0.561105	inf   	inf   	722511	nan    	3.75786	5  	1  	1.07918 
18 	0.569966	inf   	inf   	722511	nan    	3.80564	5  	1  	1.0769  
19 	0.563255	inf   	inf   	722511	nan    	3.8625 	5  	1  	1.09537 
20 	0.564166	inf   	inf   	722511	nan    	3.7352 	5  	1  	1.04493 
21 	0.581614	inf   	inf   	722511	nan    	3.84472	5  	1  	0.978394
22 	0.56815 	inf   	inf   	722511	nan    	3.68731	5  	1  	1.01904 
23 	0.565919	inf   	inf   	722511	nan    	3.63272	5  	1  	0.995814
24 	0.564394	inf   	inf   	722511	nan    	3.59385	5  	1  	0.96139 
25 	0.569971	inf   	inf   	722511	nan    	3.57669	5  	1  	1.04439 
26 	0.568907	inf   	inf   	722511	nan    	3.57798	5  	1  	1.01933 
27 	0.596203	inf   	inf   	722344	nan    	3.64024	5  	1  	1.05857 
28 	0.586557	inf   	inf   	722344	nan    	3.68389	5  	1  	1.09033 
29 	0.587385	inf   	inf   	722344	nan    	3.77273	5  	1  	1.06167 
30 	0.591143	inf   	inf   	722344	nan    	3.79456	5  	1  	1.0342  
31 	0.59686 	inf   	inf   	722344	nan    	3.80422	5  	1  	1.05607 
32 	0.601067	inf   	inf   	722309	nan    	3.92192	5  	1  	1.07939 
33 	0.59922 	inf   	inf   	722309	nan    	3.88623	5  	1  	1.14473 
34 	0.610903	inf   	inf   	722309	nan    	3.94328	5  	1  	1.07053 
35 	0.601269	inf   	inf   	722309	nan    	3.87798	5  	1  	1.09109 
36 	0.599937	inf   	inf   	722309	nan    	3.93472	5  	1  	1.04862 
