   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min        	std        	avg    	max	min	std     
0  	0.303773	31.5104    	1870.83    	0.161546   	176.289    	1.55814	4  	1  	0.667799
1  	0.297986	inf        	inf        	0.161546   	nan        	1.66225	4  	1  	0.804683
2  	0.290665	18.6722    	1952.28    	0.161546   	136.311    	1.65017	5  	1  	0.842199
3  	0.295902	inf        	inf        	0.161546   	nan        	1.67105	4  	1  	0.80112 
4  	0.296661	inf        	inf        	0.161546   	nan        	1.60328	5  	1  	0.81582 
5  	0.295368	inf        	inf        	0.161546   	nan        	1.50654	4  	1  	0.701276
6  	0.308666	inf        	inf        	0.161546   	nan        	1.58306	4  	1  	0.736733
7  	0.318266	inf        	inf        	0.161546   	nan        	1.69805	5  	1  	0.766419
8  	0.326448	134.875    	34783.6    	0.161546   	1981.84    	1.79612	5  	1  	0.83638 
9  	0.339153	3.22581e+27	1e+30      	0.161546   	5.67045e+28	1.93871	6  	1  	0.96693 
10 	0.348621	inf        	inf        	0.161546   	nan        	2.09968	5  	1  	1.03928 
11 	0.34211 	65.4688    	7745.61    	0.161546   	546.419    	2.08974	6  	1  	1.02764 
12 	0.357204	473.153    	136526     	0.161546   	7707.93    	2.22684	6  	1  	1.07379 
13 	0.373052	134.411    	31515.2    	0.150132   	1795.7     	2.43949	8  	1  	1.19093 
14 	0.398632	inf        	inf        	0.142501   	nan        	2.72698	8  	1  	1.33395 
15 	0.420632	inf        	inf        	0.142501   	nan        	2.95253	9  	1  	1.38286 
16 	0.446884	inf        	inf        	0.141726   	nan        	3.32492	10 	1  	1.59606 
17 	0.461255	inf        	inf        	0.141726   	nan        	3.58176	10 	1  	1.62853 
18 	0.469645	inf        	inf        	0.141726   	nan        	3.68652	11 	1  	1.64827 
19 	0.499578	inf        	inf        	0.139897   	nan        	3.94375	12 	1  	1.84644 
20 	0.495873	inf        	inf        	0.117707   	nan        	3.80997	12 	1  	1.83545 
21 	0.521869	195.137    	29071.2    	0.117707   	1879.2     	4.27019	13 	1  	2.28653 
22 	0.54095 	inf        	inf        	0.117707   	nan        	4.48297	14 	1  	2.38588 
23 	0.589259	inf        	inf        	0.117707   	nan        	5.08642	16 	1  	2.83909 
24 	0.635267	inf        	inf        	0.117707   	nan        	5.77538	17 	1  	3.1499  
25 	0.702009	inf        	inf        	0.117707   	nan        	6.76687	17 	1  	3.58776 
26 	0.74861 	489.537    	73254      	0.117707   	4610.96    	7.62691	17 	1  	3.77926 
27 	0.775587	inf        	inf        	0.111073   	nan        	7.9939 	17 	1  	3.84295 
28 	0.809843	236.503    	55895.7    	0.0978096  	3133.31    	8.25228	17 	1  	3.76032 
29 	0.831361	inf        	inf        	0.0975779  	nan        	8.43636	17 	1  	3.8159  
30 	0.889868	4.3429e+07 	1.4375e+10 	0.0975779  	7.88926e+08	9.22356	17 	1  	4.1284  
31 	0.947052	183.641    	29062.6    	0.0849749  	1924.04    	10.0572	17 	1  	3.89853 
32 	0.972593	inf        	inf        	0.0849749  	nan        	10.0661	17 	1  	4.00995 
33 	1.01139 	inf        	inf        	0.0773313  	nan        	10.6796	17 	1  	4.39335 
34 	1.06347 	2791.64    	842132     	0.0208664  	46101.2    	11.0836	17 	1  	4.18229 
35 	1.08788 	inf        	inf        	0.0208664  	nan        	11.1101	17 	1  	4.06309 
36 	1.11084 	inf        	inf        	0.0208664  	nan        	11.0831	17 	1  	4.01838 
37 	1.13726 	331.154    	90492.1    	0.0208664  	4956.34    	10.926 	17 	2  	4.22977 
38 	1.20222 	28165.3    	9.22285e+06	0.0208664  	500193     	11.1593	17 	1  	4.1977  
39 	1.30894 	inf        	inf        	0.0208664  	nan        	11.6   	17 	1  	4.1979  
40 	1.38219 	inf        	inf        	0.0123888  	nan        	11.6452	17 	1  	4.17578 
41 	1.4247  	3767.01    	1.18118e+06	0.0123888  	63904.7    	11.9269	17 	2  	3.96224 
42 	1.51354 	1.22335e+06	4.17612e+08	0.0123888  	2.25159e+07	12.414 	17 	1  	3.51723 
43 	1.54396 	inf        	inf        	0.0159142  	nan        	12.4012	17 	2  	3.38715 
44 	1.48394 	918520     	3.1678e+08 	0.0133841  	1.70301e+07	12.2493	17 	1  	3.52077 
45 	1.44106 	38425.7    	1.32547e+07	0.0106533  	711544     	11.8353	17 	1  	3.68625 
46 	1.36037 	inf        	inf        	0.00755751 	nan        	11.4784	17 	3  	3.70862 
47 	1.27481 	inf        	inf        	0.00755751 	nan        	10.8908	17 	2  	3.79195 
48 	1.21988 	inf        	inf        	0.00755751 	nan        	10.6189	17 	2  	3.73027 
49 	1.20529 	inf        	inf        	0.00755751 	nan        	10.88  	17 	2  	3.46779 
50 	1.2491  	inf        	inf        	0.00755751 	nan        	11.2137	17 	1  	3.72448 
51 	1.31203 	inf        	inf        	0.00375975 	nan        	11.892 	17 	1  	3.668   
52 	1.33841 	3748.39    	1.28926e+06	0.00375975 	68534.8    	12.289 	17 	3  	3.79299 
53 	1.39469 	inf        	inf        	0.00375975 	nan        	12.6073	17 	1  	3.70921 
54 	1.40408 	31.6437    	4953.01    	0.00375975 	277.809    	12.6592	17 	1  	3.78572 
55 	1.43577 	1.23742e+06	4.40476e+08	0.00375975 	2.33124e+07	12.941 	17 	1  	3.59532 
