   	        	                    fitness                    	               size              
   	        	-----------------------------------------------	---------------------------------
gen	time    	avg    	max        	min      	std    	avg    	max	min	std      
0  	0.315749	33.8703	2053.71    	0.171005 	194.022	1.56478	4  	1  	0.677073 
1  	0.309606	inf    	inf        	0.171005 	nan    	1.69205	5  	1  	0.84642  
2  	0.301695	22.7214	2334.35    	0.171005 	190.568	1.72607	5  	1  	0.825069 
3  	0.306676	19.0149	2191.59    	0.171005 	165.274	1.76645	5  	1  	0.866818 
4  	0.30841 	8.32891	643.357    	0.171005 	40.5423	1.73115	5  	1  	0.825722 
5  	0.310932	inf    	inf        	0.171005 	nan    	1.76471	5  	1  	0.891241 
6  	0.309189	inf    	inf        	0.171005 	nan    	1.71987	5  	1  	0.834728 
7  	0.309677	13.8513	2087.87    	0.171005 	125.298	1.75   	4  	1  	0.825231 
8  	0.315894	76.8911	13207.6    	0.171005 	894.698	1.83819	5  	1  	0.906484 
9  	0.320098	inf    	inf        	0.171005 	nan    	1.78065	5  	1  	0.885518 
10 	0.321484	inf    	inf        	0.171005 	nan    	1.85209	5  	1  	0.954253 
11 	0.321086	inf    	inf        	0.171005 	nan    	1.84936	5  	1  	0.92667  
12 	0.328198	35.204 	9048.64    	0.171005 	510.821	1.97764	5  	1  	0.986884 
13 	0.340702	inf    	inf        	0.171005 	nan    	2.16879	5  	1  	1.06785  
14 	0.3586  	10.4201	1569.04    	0.171005 	92.1171	2.33333	5  	1  	1.10698  
15 	0.38171 	inf    	inf        	0.171005 	nan    	2.64557	5  	1  	1.09415  
16 	0.396649	inf    	inf        	0.171005 	nan    	2.86751	5  	1  	1.13787  
17 	0.426196	inf    	inf        	0.171005 	nan    	3.14465	5  	1  	1.14286  
18 	0.433318	17.9708	2053.71    	0.171005 	123.867	3.23511	5  	1  	1.14657  
19 	0.455043	789.452	244145     	0.171005 	13626.9	3.3875 	5  	1  	1.16987  
20 	0.474438	6.41064	181.818    	0.171005 	22.1631	3.54206	5  	1  	1.16234  
21 	0.502951	inf    	inf        	0.171005 	nan    	3.74845	5  	1  	1.10984  
22 	0.509303	52.4357	3276.14    	0.171005 	334.751	3.80805	5  	1  	1.12953  
23 	0.522738	inf    	inf        	0.171005 	nan    	3.83333	5  	1  	1.12079  
24 	0.52878 	inf    	inf        	0.171005 	nan    	3.85846	5  	1  	1.11423  
25 	0.547826	inf    	inf        	0.12558  	nan    	3.96933	5  	1  	1.07637  
26 	0.552699	inf    	inf        	0.12558  	nan    	3.97248	5  	1  	1.1098   
27 	0.571481	inf    	inf        	0.0943349	nan    	4.08537	5  	1  	1.08145  
28 	0.583518	inf    	inf        	0.0752405	nan    	4.04863	5  	1  	1.16851  
29 	0.607823	inf    	inf        	0.0751655	nan    	4.20606	5  	1  	1.0871   
30 	0.627839	inf    	inf        	0.0752405	nan    	4.32024	5  	1  	1.0106   
31 	0.650641	24.1552	2608.98    	0.0752405	182.348	4.28012	5  	1  	1.03398  
32 	0.706639	inf    	inf        	0.0752405	nan    	4.56456	5  	1  	0.834435 
33 	0.726349	inf    	inf        	0.0434498	nan    	4.6018 	5  	1  	0.878961 
34 	0.752116	inf    	inf        	0.0434498	nan    	4.62388	5  	1  	0.882007 
35 	0.787109	inf    	inf        	0.0434498	nan    	4.78571	5  	1  	0.589015 
36 	0.790731	inf    	inf        	0.0434498	nan    	4.75371	5  	1  	0.654947 
37 	0.820567	inf    	inf        	0.0434498	nan    	4.87574	5  	3  	0.402584 
38 	0.835359	inf    	inf        	0.0434498	nan    	4.88791	5  	1  	0.478877 
39 	0.839216	25.5636	3291.91    	0.0434498	221.386	4.91471	5  	1  	0.400465 
40 	0.850674	inf    	inf        	0.0434498	nan    	4.92375	5  	1  	0.419529 
41 	0.853492	17.1806	3360.03    	0.0434498	199.057	4.91813	5  	2  	0.349216 
42 	0.851121	inf    	inf        	0.0434498	nan    	4.86006	5  	1  	0.53801  
43 	0.870739	inf    	inf        	0.0434498	nan    	4.9593 	5  	3  	0.225098 
44 	0.860519	inf    	inf        	0.0434498	nan    	4.88986	5  	1  	0.521465 
