   	        	                  fitness                  	              size              
   	        	-------------------------------------------	--------------------------------
gen	time    	avg        	max  	min 	std        	avg    	max	min	std     
0  	0.286355	inf        	inf  	0.52	nan        	1.56478	4  	1  	0.657153
1  	0.278056	inf        	inf  	0.52	nan        	1.69205	4  	1  	0.806351
2  	0.286929	inf        	inf  	0.52	nan        	1.86469	5  	1  	0.9037  
3  	0.294873	inf        	inf  	0.52	nan        	2.02961	6  	1  	1.03988 
4  	0.295472	inf        	inf  	0.52	nan        	2.12787	7  	1  	1.12208 
5  	0.289643	inf        	inf  	0.52	nan        	2.05882	7  	1  	1.10101 
6  	0.292428	inf        	inf  	0.52	nan        	2.08795	7  	1  	1.16494 
7  	0.290728	inf        	inf  	0.52	nan        	2.09416	8  	1  	1.2091  
8  	0.289201	inf        	inf  	0.52	nan        	1.98706	7  	1  	1.16301 
9  	0.292078	inf        	inf  	0.52	nan        	2.02581	6  	1  	1.1802  
10 	0.293648	inf        	inf  	0.52	nan        	1.98714	6  	1  	1.11688 
11 	0.281369	inf        	inf  	0.52	nan        	1.83013	6  	1  	0.905816
12 	0.286371	inf        	inf  	0.52	nan        	1.80831	5  	1  	0.966695
13 	0.280776	inf        	inf  	0.52	nan        	1.76433	5  	1  	0.955308
14 	0.280625	inf        	inf  	0.52	nan        	1.72063	5  	1  	0.907492
15 	0.283668	inf        	inf  	0.52	nan        	1.80063	6  	1  	0.928521
16 	0.285244	inf        	inf  	0.52	nan        	1.77603	5  	1  	0.921352
17 	0.285144	inf        	inf  	0.52	nan        	1.80818	5  	1  	0.963645
18 	0.285048	inf        	inf  	0.52	nan        	1.70219	6  	1  	0.921203
19 	0.289853	inf        	inf  	0.52	nan        	1.7625 	5  	1  	0.95189 
20 	0.286311	inf        	inf  	0.52	nan        	1.78816	7  	1  	1.00403 
21 	0.293542	inf        	inf  	0.52	nan        	1.81056	5  	1  	0.977136
22 	0.293352	inf        	inf  	0.52	nan        	1.80495	7  	1  	0.999554
23 	0.296007	inf        	inf  	0.52	nan        	1.82716	5  	1  	0.940057
24 	0.294626	inf        	inf  	0.52	nan        	1.81538	5  	1  	0.926404
25 	0.28887 	inf        	inf  	0.52	nan        	1.67791	6  	1  	0.8882  
26 	0.29448 	inf        	inf  	0.52	nan        	1.72171	5  	1  	0.838077
27 	0.298881	inf        	inf  	0.52	nan        	1.78049	5  	1  	0.852176
28 	0.287484	inf        	inf  	0.52	nan        	1.68085	4  	1  	0.80931 
29 	0.297048	inf        	inf  	0.52	nan        	1.7    	6  	1  	0.88643 
30 	0.294523	inf        	inf  	0.52	nan        	1.70091	6  	1  	0.871485
31 	0.300232	inf        	inf  	0.52	nan        	1.73193	5  	1  	0.893655
32 	0.300836	inf        	inf  	0.52	nan        	1.71471	5  	1  	0.883444
33 	0.295058	inf        	inf  	0.52	nan        	1.67365	5  	1  	0.791852
34 	0.298884	5.97015e+27	1e+30	0.52	7.70357e+28	1.66567	6  	1  	0.818727
35 	0.301304	inf        	inf  	0.52	nan        	1.67857	5  	1  	0.857887
36 	0.305425	inf        	inf  	0.52	nan        	1.76261	5  	1  	0.873291
37 	0.306593	inf        	inf  	0.52	nan        	1.69231	5  	1  	0.849643
38 	0.31243 	inf        	inf  	0.52	nan        	1.75811	5  	1  	0.862467
39 	0.304197	inf        	inf  	0.52	nan        	1.74412	6  	1  	0.875715
40 	0.308489	inf        	inf  	0.52	nan        	1.7478 	4  	1  	0.880401
41 	0.314695	inf        	inf  	0.52	nan        	1.75731	5  	1  	0.934799
