   	        	                      fitness                      	              size              
   	        	---------------------------------------------------	--------------------------------
gen	time    	avg        	max  	min     	std        	avg    	max	min	std     
0  	0.287935	inf        	inf  	0.519624	nan        	1.57143	4  	1  	0.666508
1  	0.283214	inf        	inf  	0.519624	nan        	1.7053 	4  	1  	0.798947
2  	0.28978 	inf        	inf  	0.519624	nan        	1.86469	5  	1  	0.896366
3  	0.297906	inf        	inf  	0.519624	nan        	2.03289	6  	1  	1.06015 
4  	0.302639	inf        	inf  	0.519624	nan        	2.08525	7  	1  	1.10109 
5  	0.304303	inf        	inf  	0.519624	nan        	2.19608	6  	1  	1.12057 
6  	0.297691	inf        	inf  	0.519624	nan        	2.06515	7  	1  	1.04414 
7  	0.295739	inf        	inf  	0.519624	nan        	2.13636	7  	1  	1.11698 
8  	0.304334	inf        	inf  	0.519624	nan        	2.09709	6  	1  	1.12501 
9  	0.30417 	inf        	inf  	0.519624	nan        	2.11935	7  	1  	1.15365 
10 	0.305499	inf        	inf  	0.519624	nan        	2.11897	7  	1  	1.1712  
11 	0.30349 	inf        	inf  	0.519624	nan        	2.05769	6  	1  	1.17801 
12 	0.304283	inf        	inf  	0.519624	nan        	2.07668	10 	1  	1.39849 
13 	0.30511 	inf        	inf  	0.519624	nan        	2.14013	12 	1  	1.52874 
14 	0.305512	inf        	inf  	0.519624	nan        	2.15873	12 	1  	1.40075 
15 	0.297827	inf        	inf  	0.519624	nan        	1.99051	6  	1  	1.13206 
16 	0.301788	inf        	inf  	0.519624	nan        	1.9306 	7  	1  	1.17341 
17 	0.296966	inf        	inf  	0.519624	nan        	1.87107	6  	1  	1.12674 
18 	0.30004 	inf        	inf  	0.519624	nan        	1.86207	6  	1  	1.09992 
19 	0.296478	inf        	inf  	0.519624	nan        	1.73438	6  	1  	1.06715 
20 	0.288337	inf        	inf  	0.519624	nan        	1.62305	6  	1  	0.997488
21 	0.296399	inf        	inf  	0.519624	nan        	1.68012	7  	1  	1.06621 
22 	0.289589	inf        	inf  	0.519624	nan        	1.64706	8  	1  	1.01348 
