   	        	                          fitness                          	               size              
   	        	-----------------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min        	std        	avg    	max	min	std      
0  	0.333707	1.20275e+29	1.20275e+29	1.20275e+29	2.27885e+14	1.63123	4  	1  	0.667386 
1  	0.345618	1.20275e+29	1.20275e+29	1.20275e+29	3.03038e+14	1.74834	5  	1  	0.765295 
2  	0.363847	1.20275e+29	1.20275e+29	1.20275e+29	5.83827e+14	1.9934 	5  	1  	0.929862 
3  	0.382798	1.20275e+29	1.20275e+29	1.20275e+29	2.00389e+15	2.22039	5  	1  	1.08251  
4  	0.403207	inf        	inf        	1.20275e+29	nan        	2.63279	5  	1  	1.19682  
5  	0.420022	inf        	inf        	1.20275e+29	nan        	3.01634	5  	1  	1.1784   
6  	0.441769	inf        	inf        	1.20275e+29	nan        	3.443  	5  	1  	1.13825  
7  	0.472819	1.20275e+29	1.20275e+29	1.20275e+29	2.42611e+17	3.87662	5  	1  	1.14715  
8  	0.501856	1.20275e+29	1.20275e+29	1.20275e+29	5.03244e+17	4.19741	5  	1  	0.977014 
9  	0.528752	inf        	inf        	1.20275e+29	nan        	4.39032	5  	1  	0.841985 
10 	0.54965 	1.20275e+29	1.20275e+29	1.20275e+29	1.14872e+19	4.61736	5  	1  	0.729415 
11 	0.575035	1.20275e+29	1.20275e+29	1.20275e+29	1.71329e+19	4.71474	5  	1  	0.724153 
12 	0.598067	1.20275e+29	1.20275e+29	1.20275e+29	3.00968e+19	4.77636	5  	1  	0.620072 
13 	0.626136	1.20275e+29	1.20275e+29	1.20274e+29	1.46835e+22	4.83439	5  	1  	0.621762 
14 	0.652342	1.20275e+29	1.20275e+29	1.20274e+29	1.47326e+22	4.91111	5  	1  	0.434654 
15 	0.675342	1.20275e+29	1.20275e+29	1.20274e+29	2.39122e+22	4.88924	5  	1  	0.531071 
16 	0.693496	1.20275e+29	1.20275e+29	1.20274e+29	2.66613e+22	4.94006	5  	2  	0.345595 
17 	0.719946	1.20275e+29	1.20275e+29	1.20273e+29	8.70847e+22	4.93711	5  	1  	0.399458 
18 	0.74636 	1.20274e+29	1.20275e+29	1.20273e+29	1.70358e+23	4.95925	5  	2  	0.276964 
19 	0.779817	1.20274e+29	1.20275e+29	1.20273e+29	2.85047e+23	4.97187	5  	1  	0.254625 
20 	0.827678	1.20274e+29	1.20293e+29	1.20272e+29	1.14131e+24	4.98754	5  	1  	0.22291  
21 	0.871864	1.20274e+29	1.20304e+29	1.20272e+29	1.73691e+24	4.98447	5  	2  	0.184175 
22 	0.909407	1.20274e+29	1.2033e+29 	1.20272e+29	3.60526e+24	4.98762	5  	1  	0.222221 
23 	0.938519	1.20276e+29	1.2098e+29 	1.20271e+29	3.91851e+25	5      	5  	5  	0        
24 	0.952724	1.20274e+29	1.20304e+29	1.20271e+29	2.84878e+24	4.98462	5  	2  	0.199407 
25 	0.960733	1.20274e+29	1.20382e+29	1.20271e+29	6.22296e+24	4.97546	5  	1  	0.312342 
26 	0.989675	1.20274e+29	1.20651e+29	1.2027e+29 	2.10022e+25	4.98777	5  	1  	0.220862 
27 	1.01442 	1.20274e+29	1.20761e+29	1.2027e+29 	2.69933e+25	4.9878 	5  	1  	0.220526 
28 	1.03546 	1.20273e+29	1.20322e+29	1.2027e+29 	3.16494e+24	5      	5  	5  	0        
29 	1.04746 	1.20282e+29	1.23007e+29	1.2027e+29 	1.51421e+26	4.99091	5  	2  	0.164894 
30 	1.05631 	1.20273e+29	1.20465e+29	1.20269e+29	1.12561e+25	4.99094	5  	2  	0.164646 
31 	1.07044 	1.20274e+29	1.20629e+29	1.20269e+29	2.01646e+25	4.98795	5  	1  	0.219198 
32 	1.08718 	1.20272e+29	1.20402e+29	1.20269e+29	7.39162e+24	4.99099	5  	2  	0.164152 
