   	        	                  fitness                  	               size              
   	        	-------------------------------------------	---------------------------------
gen	time    	avg        	max    	min    	std        	avg    	max	min	std      
0  	0.366219	inf        	inf    	6491.18	nan        	1.61794	5  	1  	0.679709 
1  	0.374157	inf        	inf    	7194.28	nan        	1.79801	5  	1  	0.78622  
2  	0.384405	inf        	inf    	6861.49	nan        	2.05611	5  	1  	0.871337 
3  	0.397142	inf        	inf    	6349.42	nan        	2.28618	5  	1  	0.921423 
4  	0.422152	inf        	inf    	5009.3 	nan        	2.66557	5  	1  	0.97827  
5  	0.443746	inf        	inf    	4206.22	nan        	2.86928	5  	1  	1.04596  
6  	0.464598	inf        	inf    	3760.17	nan        	3.2443 	5  	1  	1.0441   
7  	0.49738 	inf        	inf    	2509.56	nan        	3.52922	5  	1  	1.08821  
8  	0.515157	inf        	inf    	2147.51	nan        	3.77023	5  	1  	1.05923  
9  	0.557248	inf        	inf    	1620.21	nan        	4.12903	5  	1  	0.941582 
10 	0.579142	inf        	inf    	757.07 	nan        	4.35691	5  	1  	0.873664 
11 	0.600258	inf        	inf    	757.07 	nan        	4.48077	5  	1  	0.839499 
12 	0.612908	inf        	inf    	542.656	nan        	4.50479	5  	2  	0.767226 
13 	0.608737	inf        	inf    	542.656	nan        	4.51274	5  	1  	0.766432 
14 	0.615189	inf        	inf    	542.656	nan        	4.51746	5  	1  	0.798121 
15 	0.621784	inf        	inf    	542.656	nan        	4.5981 	5  	1  	0.733379 
16 	0.63174 	inf        	inf    	542.656	nan        	4.7224 	5  	2  	0.566051 
17 	0.623927	2.20126e+28	1e+30  	542.656	1.46724e+29	4.72013	5  	1  	0.624679 
18 	0.624819	inf        	inf    	388.078	nan        	4.80251	5  	2  	0.526888 
19 	0.629121	inf        	inf    	388.078	nan        	4.825  	5  	1  	0.542563 
20 	0.66643 	inf        	inf    	133.089	nan        	4.86604	5  	2  	0.42959  
21 	0.647287	1.24224e+28	1e+30  	133.089	1.10761e+29	4.92236	5  	2  	0.329968 
22 	0.647755	1.85759e+28	1e+30  	133.089	1.35021e+29	4.90712	5  	1  	0.398191 
23 	0.664435	1.23457e+28	1e+30  	100.374	1.10423e+29	4.92284	5  	2  	0.356037 
24 	0.661516	inf        	inf    	100.374	nan        	4.93538	5  	2  	0.331166 
25 	0.658895	1.22699e+28	1e+30  	100.374	1.10088e+29	4.92331	5  	1  	0.432863 
26 	0.661012	inf        	inf    	100.374	nan        	4.91743	5  	1  	0.458593 
27 	0.66397 	1.52439e+28	1e+30  	100.374	1.22522e+29	4.93293	5  	1  	0.342713 
28 	0.661895	1.51976e+28	1e+30  	100.374	1.22338e+29	4.93009	5  	2  	0.318584 
29 	0.660535	6.06061e+27	1e+30  	100.374	7.76136e+28	4.89394	5  	2  	0.409315 
30 	0.654272	inf        	inf    	100.374	nan        	4.9003 	5  	2  	0.387532 
31 	0.652457	1.80723e+28	1e+30  	100.374	1.33213e+29	4.92169	5  	1  	0.403165 
32 	0.649248	inf        	inf    	100.374	nan        	4.91892	5  	1  	0.420249 
33 	0.644794	inf        	inf    	100.374	nan        	4.91018	5  	1  	0.435359 
34 	0.644958	8.95522e+27	1e+30  	100.374	9.42074e+28	4.90448	5  	1  	0.466627 
35 	0.643599	5.95238e+27	1e+30  	100.374	7.69217e+28	4.95536	5  	1  	0.319646 
36 	0.646685	1.18694e+28	1e+30  	100.374	1.08298e+29	4.94659	5  	1  	0.381464 
37 	0.653524	1.18343e+28	1e+30  	100.374	1.0814e+29 	4.97337	5  	2  	0.247833 
