Inputs,"f(x,y)","f*(x,y)"
[ 2.5350275 -0.4398506],1.01244,-2.96125
[ 1.41018164  3.27810025],1.78958,-7.61066
[ 2.58196902 -3.69346189],1.97265,22.1523
[ 0.22312565  3.10798979],0.991869,12.8653
[-4.52213383 -2.12448478],1.95082,2.12036
[-0.53034419  2.7722652 ],1.05666,22.2078
[ 2.17452359  2.55446148],1.93424,-0.381544
[-1.97763908 -2.74153924],1.92124,-7.15698
[ 3.19816732  3.35291457],1.98268,-13.3733
[-4.94837999  4.46158838],1.99582,4.88809
[ 0.2412111  -3.52221608],0.996918,10.9918
[ 0.81371272 -2.91081071],1.29105,29.0215
