Inputs,"f(x,y)","f*(x,y)"
[ 1.46842301  5.953022    1.8907007   1.21818852  5.03947258],0.405994,0.6314
[ 4.62456656  2.54941607  0.73737359  5.90057421  0.39474583],0.355083,0.50301
[ 1.58500469 -0.18700881  0.59335053  0.4882676   1.59928632],0.320287,-1.275
[ 2.59036732  2.35244703  6.32538319  4.86054277  1.95990229],0.471949,0.62989
[ 5.57265615  2.13257194  1.82147253  5.40738916  3.59085155],0.502398,0.628741
[ 1.99033356 -0.16095488  5.66724539  3.02803063  4.42586946],0.39747,0.630809
[ 1.83311009  1.20636809  1.57800567  0.59372526  3.63498807],0.561981,0.62989
[ 0.15900047  1.56235313  4.82449389  4.90934992  5.4214716 ],0.357449,0.632804
[ 2.67448378  1.30673206  3.56740475  5.89345407  2.20599174],0.578115,0.628736
[ 5.22353077  5.17282438  1.04980266  6.07980013  0.79823023],0.304864,0.627685
[ 3.36463904  3.54996324 -0.00929083  6.05021811  6.0792284 ],0.30051,0.630046
[ 2.18335843  1.45615065 -0.14176245  0.02337426  4.60894394],0.340483,0.629779
[ 1.50263894  2.54819083  1.2171303   5.12735367  3.89448094],0.626937,0.630004
[ 2.20316935  6.01725721  0.61910945  4.36021233  6.1911149 ],0.308254,0.630595
[ 2.63408542  0.65091354  2.31335974  5.75341558  2.12148571],0.513435,0.62776
[ 5.10660982  2.05595064  1.86995637  1.59996784  6.10646152],0.430733,0.631454
[ 0.6411972  -0.1627665   0.46500868  4.54407597  3.13770938],0.340178,0.628165
[ 3.85078931  2.75264144  0.97529238  2.26749468  4.94752455],0.703537,0.629893
[ 0.87122118  2.53795624  1.54375124  5.32164669  0.49077895],0.424591,0.628877
[ 0.01445592  0.63752562  5.72661209  3.52125025  1.87207246],0.351209,0.0503456
[ 4.89446497  5.06569147  0.3191466   2.11069417  3.04155874],0.479947,0.629375
[ 5.73759747  0.13504377  6.23908997  3.24859047  6.18923807],0.241388,0.631293
[ 2.03769231  1.7681433   4.24038219  5.1084466   2.32068253],0.71999,0.629741
[ 4.87650967 -0.18274118  3.91756892  4.45734358  1.36411989],0.411641,1.38671
[ 5.96916342  0.99065292  5.43438864  2.14409971  2.74629998],0.406891,0.627824
[ 0.76909232  3.4438951   4.59267998 -0.23062325  5.09560061],0.36312,0.632362
[-0.08731022  0.11402313  4.99928141  2.77457237  0.14180453],0.285082,9.74763
[ 4.34705591  5.01998043  2.05997467  4.14119959  2.67306399],0.758279,0.630138
[ 5.07452106  2.97211647  4.93054676  1.78236663  4.57093096],0.588863,0.631004
[ 2.00200105  3.31861615  5.60920429  2.40916133 -0.13623098],0.433079,-0.165611
[ 1.97187591  4.71405792  5.21609259  0.49711579  5.62033176],0.369868,0.632735
[ 2.8015635   5.00882483  3.82566857  6.25620365  5.67532539],0.363416,0.632369
[ 3.61016035  3.85372996  3.43466234  5.4047451   5.85309935],0.49473,0.632316
"[  5.11185825e-01   1.05049944e+00  -3.20022367e-03   2.24340057e+00
   4.19259596e+00]",0.384487,0.629249
[ 0.88829011  6.08137989  5.97530603  3.18760109  3.67714238],0.353352,0.63182
[ 5.86873388  4.32735252  4.00308943  2.13376784  3.00819278],0.597082,0.630107
[ 3.96972561  0.90927947  5.80478907  3.39852452  6.21398401],0.348835,0.632667
[ 0.82664573  2.10610914  6.1276288   1.10134113  2.58539248],0.415259,0.630553
[ 2.62013388  5.28077745  0.96737415  2.78545618  0.38865793],0.468539,0.627452
[ 4.86392784  3.29807353  1.7195015   3.13348985  2.48534513],0.953703,0.628904
[ 3.37312174  4.49563313  2.09458613  0.9170664   5.79072142],0.492062,0.631599
[-0.06902855  3.88346338  1.16038811  0.9720462   4.62540102],0.394662,0.630145
[ 6.15703201  5.92181396  4.68122387  5.04636145  3.14438057],0.327452,0.631416
[ 5.15504313  0.64760333  6.28645992  0.78156281  2.6146102 ],0.322074,0.628333
[ 1.48757899  4.02262783  1.67327225  4.70452929  5.28758812],0.54849,0.630798
[ 4.7389679   3.7454524   4.09106636  3.66021299  4.62895918],0.777634,0.6314
