Inputs,"f(x,y)","f*(x,y)"
[ 0.20246722  1.64821923 -0.12859334  2.12932181  1.21544123],0.352307,2.08073
[ 1.15694666  4.12396288  0.36098489  3.69035625  2.31906533],0.56932,0.416962
[ 6.31594753  3.11219764  4.26071024  1.65122783  6.1154604 ],0.343374,0.5588
[ 4.64747334  3.7904489   3.67673612 -0.08662997  1.92561698],0.513386,0.504753
[ 3.98474646  6.21993589  4.26205063  6.15668964  5.77810478],0.280796,0.493569
[ 0.76950526  0.73769963  0.24181627  0.6910103   3.66858721],0.351134,-0.512638
[ 1.22946727  4.41607761  1.77111471  5.32268953  3.25727153],0.584409,0.428349
[ 6.23414087  4.3981595   0.43500128  3.22944188  4.62861538],0.374549,0.600815
[ 2.26408815  3.11223269  1.37063873  5.3208003   1.56057715],0.638283,0.408264
[ 1.55883896  1.58700168  1.85948241  5.22740841  5.28249884],0.486726,0.564827
[ 2.89828396  5.91688013  1.76347625  4.31645918 -0.02149475],0.385951,0.408951
[ 0.26668417  0.37862334  3.28456593 -0.04142926  6.12802267],0.260021,11.4674
[ 5.59677315  4.29691648  2.37213802  0.09945454  4.09548569],0.426754,0.447714
[ 0.29399544  4.77343178  5.68134785  0.18897304  3.6485076 ],0.322793,0.570748
[ 1.71414566 -0.03603223  0.88352263  4.73322392  1.43977988],0.387766,0.408242
[ 2.84827948  1.83389628  0.09344751 -0.17297965  2.37080455],0.395342,13.1002
[ 2.27066851  2.07233286  1.06740189  0.41820627  0.06182016],0.393298,0.451252
[ 2.53557134  5.69802046  3.34311748  0.96483541  0.30841318],0.416679,0.577866
[ 3.44279861  0.51693624 -0.14864507  5.77669096  0.57422435],0.286779,0.383011
[ 3.73663998  0.71203417  0.63043863 -0.04718047  2.5624373 ],0.386563,6.54395
[ 2.63868499  3.70148778  6.25417042  1.84220862  3.99313545],0.539402,0.470909
[ 3.38861275  3.02009869  0.41809288  2.15517831  0.34989047],0.511392,0.444439
[ 4.548769   -0.11883564  3.32075381  1.27917743  6.00811434],0.342013,0.607891
[ 3.19884896  2.60144734  4.80378485  2.69513035  0.35960326],0.644468,0.472649
[ 2.45991087  3.53495765  1.05517364  0.7576353   3.66816902],0.674087,0.454129
[ 5.13476181  0.10388712  5.72761297  4.65936661  1.4850843 ],0.32859,0.375756
[ 3.09537792  2.2054913   1.37763894 -0.21901025  1.21708512],0.458438,0.450238
[ 1.32072508  5.07101679  4.31345081  6.01201153  5.79324913],0.325641,0.572892
[ 2.13910174  3.20306611  6.25085211 -0.05060787  0.12534024],0.294809,0.470742
[ 1.0353508   3.92022443  5.85249472  0.60575533  1.0959686 ],0.367632,0.504959
[ 1.3264327   3.09939361  2.64571071  1.97069871  1.74458086],0.945916,0.633381
[ 5.17431068 -0.12985164  2.80097628  1.07660055  5.64369965],0.330559,-0.0665661
[ 1.02268887  5.55527973  3.71299744  3.80867696  5.44491768],0.442886,0.62291
[ 5.47675991  4.68957424  4.75733089  1.71857071  5.62915707],0.390141,0.539513
[ 1.30008662  0.3021332   0.70960468  5.03461552  0.71530873],0.335868,0.508828
[ 5.98550177  5.02836227  0.7055921   6.02451468  2.06929493],0.300249,0.263497
[ 0.82514352  0.30454552  4.2850132   4.98242188  1.18332148],0.386443,0.249993
[ 3.52353954  0.67677671  5.19686604  2.67486906  0.30514279],0.437337,0.439217
[ 1.62181199  2.05220795  1.65227282  6.05909443  5.26973963],0.414527,0.445263
[ 4.89736605  4.47478962  4.28396988  1.51849759  5.23488808],0.509862,0.565941
[ 6.17804146  4.02882671  4.87473106  0.46653372 -0.05056918],0.282506,0.487839
[ 4.88467216  2.18031383  3.85351872  4.92642927  1.93262434],0.675548,0.476876
[ 1.34751844  0.35903153 -0.02278496  3.94419527  2.77096701],0.403444,0.447502
[ 3.78493118  5.75368118  3.51782155  3.48783207  1.6092782 ],0.639423,0.522293
[ 5.25693846  2.49800944  0.82158202  4.01181936  4.09214497],0.577773,0.595826
[ 3.39184737  2.90876198  3.41186619  5.49552631  5.114254  ],0.623861,0.546234
[ 3.05033755  2.43783903  2.98275709  0.6627354   3.98012829],0.851621,0.631714
[ 0.10646819  1.12828708  1.97587943  5.59850073  4.15726614],0.384377,0.495606
[ 0.43288738  4.70829201  2.98320866  5.96708155  1.35481274],0.384337,-0.707832
[ 1.64052606  1.54300261  3.97306442  0.47812146  0.60364825],0.454128,0.567582
[ 4.91539145  4.45576382  0.97886688  3.8967948   2.51680017],0.628509,0.546578
[ 0.75015467  4.34295893  2.21788239  6.22726393  0.99618542],0.371643,-1.55437
"[  3.53778720e+00   3.18553519e+00  -3.44657945e-03   4.14906549e+00
   3.28326726e+00]",0.635125,0.445587
[ 0.78925222  5.76408958  1.35079229  4.01223087  4.84431982],0.405291,0.448185
[ 3.0135386   1.33405447  4.8000865   5.27868557  2.28753567],0.598233,0.428261
[ 4.08979702  0.5837816   1.46490324  0.88374245  2.27985883],0.516011,0.608525
[ 5.40815163  0.27599752  5.0076108   3.38449883  0.58763951],0.354394,0.410393
[ 3.38843322  2.99079609  3.5900023   4.70903826  3.00530958],1.18766,0.533326
[ 0.97591949  3.27755332  2.71893001  4.66648912  0.74202198],0.583819,0.579834
[-0.221806    1.96483541  0.29777113  2.08751297  1.27173221],0.362671,6.82688
[ 4.46781826  1.70992339  2.24863553  0.86141795  2.05555248],0.673453,0.621197
[ 5.57124138  2.24187756  4.3632431   1.20432627  2.44298005],0.568855,0.534363
[ 5.44368839  5.495924    5.26546335  3.0941875   2.00133181],0.428453,0.439217
[ 0.91770566  0.47898743  6.23111486  4.6612649   0.25225261],0.274413,0.147156
[ 5.27304554  1.1963042   4.87673998  6.08266735  0.39449483],0.300899,0.364662
[ 0.77914721  5.60111332  5.10445881  0.37533754  2.30452871],0.350886,0.567162
[ 4.18335056  2.14135385  3.2204957   0.56561077  0.18109442],0.474863,0.570923
[ 2.94444132 -0.0694674   2.3236177   1.46370101  3.70497084],0.563717,0.647389
[ 1.56407154  4.17403126  0.70016408  6.26546192  5.51154852],0.325727,0.441323
[ 6.10727644  2.28118825  2.82477212  2.97317624  2.59357619],0.650683,0.523789
[ 1.48887813  1.25675011  4.33998775  2.29770827  1.27821922],0.642025,0.517876
[ 0.9274928   0.97274309  0.25719208  3.89138889  2.42723179],0.453501,0.427231
[ 1.38032007  3.78768659  1.14123762  3.44963145  2.38409901],0.814311,0.445187
[ 1.7141937   3.15773869  1.56074679  5.86666012  0.5688957 ],0.437108,-0.697418
[ 0.06931398  2.73306298  3.7164216   4.87188101  0.09015334],0.382488,9.82195
[ 1.5471741   5.49755239  5.45340347  5.60341215  2.21155787],0.373594,0.447266
[ 4.41282892  5.0130477   2.9924314   2.69067764  0.61585343],0.594236,0.53096
[ 4.39470196  1.50916433  2.17306423  4.62338448  6.12713385],0.449116,0.595383
[ 5.51176167  1.85037959  2.22595382  4.81065035  2.97478747],0.605737,0.199684
[ 0.53297502  1.22493005  4.6351676   3.26703477  4.97418737],0.478937,0.54464
[ 6.28630066  1.75043261  4.62573195  2.56330848  6.03824759],0.339837,0.518151
[ 0.25871503  1.2435571   2.31977582  3.73308372  2.56012321],0.595474,0.446934
[ 2.39405704  1.86162221  2.50314236  2.90819073  4.06780958],1.24091,0.632553
[ 0.76037759  1.75833189  1.43963587  5.54747105  2.57911229],0.484047,0.379204
[ 5.27722979  5.05027771  5.69322777  3.64045882  6.18923664],0.310325,0.457383
[ 4.1923604   4.72585678  2.37569022  4.77611399  0.20526671],0.481807,0.368721
[ 6.15625381  0.2596415   1.70467842  0.05674427  4.23129129],0.291306,0.107628
[ 1.49439704 -0.03977064  0.58480531  5.96542025  1.99061108],0.311015,0.366524
[ 3.42505074  5.70102787  0.60124093  2.85379672  2.25307798],0.531645,0.444428
[ 2.08419347  3.95272183  3.15066791  5.81857491  5.38914061],0.489681,0.576882
[ 3.80931306  3.04724383  2.71204019 -0.00457801  3.28183866],0.673534,0.448902
[ 0.42469522  5.15450287  1.84554195  1.55579305  0.37678492],0.37631,0.416134
[ 2.29002309  4.62381554  4.12843037  1.61869097  3.36563087],0.872913,0.586113
[ 6.25200272  3.50521326  5.83435059  4.99676275  2.96021247],0.359028,0.378929
[ 6.33708286  2.7705605   5.6066947   6.10158777  4.23864365],0.292931,0.386055
[ 3.93886971  0.8773641   0.94921702 -0.24013589  3.92078757],0.385518,31.9222
[ 3.46955252  5.7935071   4.67573452  5.86983824  3.78748178],0.405049,0.480423
[ 4.02380657 -0.1452177   6.04088497  0.38038683  0.9590748 ],0.276126,0.465126
[ 0.52477467  4.09437084  4.80318737  0.16848923  2.21969366],0.413186,0.581307
[ 4.37713957  3.64384818  6.07715797  2.94166756  4.00329685],0.562115,0.441696
[ 1.33968079  4.67381668  5.43530464  1.23990405  2.70044041],0.508215,0.534104
[ 3.88858128  5.85158873  4.2941165   2.72107553  1.03885961],0.512302,0.506607
[ 0.521312    3.4253664   4.84398413  6.13281631 -0.13957615],0.290727,0.544526
[ 6.34897423 -0.11078036  4.82723713  0.02389739  2.06516242],0.256657,0.484604
[ 2.0816853   3.81994629  4.59146309  0.90957868  2.80694342],0.74319,0.569802
[ 1.61910892  2.95731425  2.17693782  3.25583649  1.84796846],1.11374,0.578766
[ 2.50625873  2.30960536  1.12300324  1.63551724  3.64477348],0.867974,0.659008
[ 1.03764415  1.2602464   2.42852545  5.54643917  4.27582693],0.492217,0.445118
"[ -1.07709259e-01  -5.41386427e-04   1.43687677e+00   4.05605507e+00
   6.24189258e-01]",0.304283,19.8253
[ 0.57025224  5.423841    2.38581276  3.61289525  1.35899901],0.494452,-0.28556
[ 1.85221708  4.64275122  2.91683841  0.84760869  2.62946534],0.725003,0.636773
[ 4.62525272  0.02308392  4.68944216  3.20691037  3.82082939],0.49815,0.48024
[ 5.18588829  5.93978548  4.227005   -0.22553365  5.18198586],0.284972,0.496407
[ 1.69166064  4.11985111 -0.13069744  0.2269768  -0.1180963 ],0.284258,-0.438896
[ 3.51365423  1.39693213  2.58104324  0.14302918  3.13378787],0.617689,0.449786
[ 3.20788789  5.17283058  1.92314458  2.31731057 -0.00883197],0.489161,0.417149
[ 3.77457023  5.58789253  2.80489731  2.90681791  0.39994457],0.523446,0.522789
[ 0.78844148  0.57526654  0.65263939  0.18383196  5.61897564],0.277237,9.61569
[ 4.88435841  2.7993989   4.7236948   3.76796532  6.0718298 ],0.463219,0.502495
[ 1.40423894  0.22244383  0.84525639  0.98641723  0.53283399],0.332827,0.452238
[ 3.01468468  3.05434418  0.63456935  0.03852662  2.36085153],0.505631,0.452164
[ 2.54991651  0.85070795  5.21933794  3.51799321  0.88141644],0.51271,0.407997
[ 5.55664587  4.06457901  2.62933969  4.85188389  1.33951712],0.526487,0.278382
[ 3.49857569  5.99453878  5.78675795  3.78730345  1.66379797],0.410052,0.440651
[ 0.40696168  5.82757664  6.32460642 -0.02794798  0.71879953],0.221511,0.503044
[ 0.17329919  5.5480442   2.74963093  6.25056362  5.81438875],0.262934,0.44405
[ 1.6754986   0.79830122  1.41465569  2.46892977  3.30626321],0.690087,0.681618
[ 2.47962499  3.63473439  5.24963951  0.19886953  3.065974  ],0.538061,0.558396
[ 5.14756536  4.7735014   3.73685575  5.42460823  2.95456433],0.521347,-1.15021
[ 4.46372032  4.90473413  4.8013382   1.98692703  2.6785841 ],0.660287,0.504792
[ 2.1998992   1.71879554  5.95755529  2.79336095  5.43008041],0.455026,0.468323
[ 3.64802647  2.27887774  4.01728153  4.96404696  1.87931585],0.827251,0.489876
[ 4.74770927  4.67118645 -0.07283567  3.92315722  4.5682745 ],0.423704,0.446507
[ 4.97288513  5.57073116  5.74299335  6.32783079  5.94115686],0.233919,0.423348
[-0.17784242  6.0188899   6.34600925  3.9887526   3.96385431],0.26799,0.464966
[ 0.50338817  0.74642169  5.07088184  3.77993417  4.77165222],0.410723,0.504746
[ 4.23246765  1.18765509  1.20575738  2.18651009  1.23499167],0.595242,0.615357
[ 1.03470254  5.5778265   4.18457317  5.79589701  6.26726389],0.282463,0.588669
[ 0.75915807  0.52215409  0.41839299  4.53828144  1.29458594],0.355865,-1.51308
[ 3.67643619  1.61650681  2.90138626  1.90558279 -0.05204646],0.558844,0.557434
[ 2.35572338  5.41973448  4.9644165   2.5329423   1.50148249],0.568413,0.513466
[ 1.23538291  0.37917587  0.84850472  5.51179361  3.59076381],0.380668,0.430252
[ 0.33530042  1.13396311  0.38714975  1.40146184  0.76103067],0.333578,3.2714
[ 3.2608192   5.05949497  4.71915007  1.22400188  5.22243404],0.491198,0.581208
[ 0.72817117  4.96375132  1.78454709  0.36817405  3.67956662],0.437002,0.454003
[ 0.34552699  4.51826477  0.86207056  4.10092592  0.08991043],0.349617,2.87696
[ 2.93278313  1.37402916  6.07374859  1.51526904  3.57177973],0.509487,0.464272
[ 6.34534836  0.99466097  0.32110775  2.59423947  1.18521607],0.324178,0.587525
[ 6.34462309  3.28089952  6.33562756  0.30793154  5.18034554],0.253852,0.511895
[ 3.77696347  5.10620451  3.84097505  0.25387177  3.64345598],0.534695,0.586724
[ 5.01608849  2.05788136  1.51073766  1.78479803  5.71322489],0.476,0.639565
[ 5.46385813  5.78746462  3.8137815   2.67457151  4.41967535],0.462445,0.520478
[ 0.34381804  3.05007672  3.54254985  4.8929677   1.21398449],0.522866,0.553711
[ 2.75991821  5.98370361  5.47512245  2.67510033  6.03739452],0.339932,0.533638
[ 1.25870275  4.99764252  5.95664167  2.23571467  3.19946957],0.467544,0.507225
[ 0.94527012  4.05891371  3.04843163  2.1163609   3.22369885],0.894741,0.641423
[ 5.37029219  4.34892416  1.02036035  0.40558806  3.79267073],0.421654,0.245106
[ 0.56944299  5.50880671  3.83432984  3.76392436  2.05241466],0.516014,0.569931
[ 3.07817578  1.62450206  0.06179993  4.96150112  3.51417637],0.509088,0.445019
[ 2.62304592  2.81765842  1.25572968  3.71309566  4.37998724],0.940673,0.619442
[ 4.42351913  1.71757591  6.18858576  2.5297091   1.80004776],0.487825,0.411827
[ 2.58271241  6.21520138  5.22304726  1.32485652  2.0716815 ],0.414568,0.526413
[ 2.51246953  0.58596128  3.91377187  5.87218904  2.67512131],0.493699,0.48449
[ 3.00554752  3.41295266  6.3249588   4.16477919  5.26364803],0.440398,0.453026
[ 2.94179845  1.86363757  4.53519773  5.82401466  5.80241632],0.408494,0.529808
[ 5.11991453  4.46548367  3.63964105  6.28108501  5.45151663],0.346906,0.489708
[ 3.46649027  1.93059289  1.89854944  2.0097971   0.85993636],0.761336,0.608616
[ 1.85101867  3.42228913 -0.17369109  1.5646801   1.77747273],0.496882,0.449181
