Inputs,"f(x,y)","f*(x,y)"
[ -4.5 -41.5],0.922558,3.13416
[  7.9000001   41.40000153],1.63271,2.18965
[-19.60000038  34.29999924],3.0834,2.16731
[ 11.60000038  32.79999924],3.70792,3.48698
[ 49.09999847   3.29999995],0.334261,2.1584
[ -0.89999998  17.39999962],0.983845,2.18977
[ 18.89999962  30.70000076],3.66919,0.772638
[-32.5         32.59999847],1.23775,1.90351
[ 41.70000076  -5.5       ],3.54983,2.27772
[-38.29999924  23.29999924],1.84791,2.31989
[ 47.59999847  46.59999847],2.07585,7.3903
[ 32.59999847   9.80000019],1.79266,2.42762
[ 24.20000076  14.30000019],1.9837,2.2423
[ 36.5        -6.0999999],3.8931,1.99777
[ 12.19999981  41.29999924],2.57683,1.77705
[ 8.10000038 -9.80000019],1.7579,0.649923
[ 22.70000076 -48.20000076],2.29779,1.77791
[ 28.5 -50. ],0.342109,2.84884
[ 22.29999924  -0.89999998],2.38284,2.17365
[  2.5999999 -24.5      ],2.83048,2.18787
[-30.70000076   2.79999995],2.74611,-2.12504
[-43.09999847 -24.        ],1.92645,1.78904
[ 36.20000076  14.89999962],3.01433,2.85218
[-10.5  24.5],2.63248,-0.0630399
[-2.0999999  -9.89999962],1.90019,2.11281
[-23.29999924  23.70000076],1.35004,2.03217
[ 13.19999981 -42.40000153],3.76712,1.83061
[-10.10000038   9.69999981],1.99818,2.258
[-15.69999981  15.80000019],4.07864,2.15681
[ 38.29999924 -36.40000153],2.03283,2.66282
[-22.          38.70000076],2.03647,2.19624
[-5.4000001  -0.40000001],1.0779,-6.23619
[-35.90000153  14.5       ],1.99907,2.56965
[-11.5         18.79999924],3.23668,1.97981
[ 40.         -31.70000076],2.58021,2.6695
[  3.29999995  24.        ],2.27112,2.90571
[-48.20000076 -35.59999847],2.68211,1.75886
[-27.89999962 -37.79999924],3.88546,2.18796
[ -2.          19.60000038],1.4773,2.20979
[ 18.79999924 -48.        ],2.38772,1.54785
[ -4.30000019  12.69999981],1.59521,2.8433
[-43.          39.70000076],0.136929,1.85884
[ 36.79999924  20.39999962],3.65221,2.57638
[-26.39999962 -23.39999962],1.21536,1.7599
[-38.79999924  11.5       ],3.43533,-3.63958
[ -7.9000001   40.29999924],2.77851,2.2049
[-41.29999924  19.70000076],2.8345,2.49488
[ 15.  26.],3.14446,2.63267
[-5.80000019 -0.30000001],2.76475,-10.3167
[  3. -13.],2.84012,1.87743
[ 43.59999847 -28.60000038],0.958456,2.92512
[ 38.59999847  31.39999962],1.98791,2.56873
[-1.60000002  6.69999981],3.37591,2.35571
[-20.70000076  22.29999924],1.68954,2.03156
[ 30.20000076 -43.29999924],1.57247,-1.78387
[-18.          26.79999924],2.52167,1.83186
[ -1. -25.],0.27301,2.46965
[ -2.9000001   16.89999962],2.04394,2.2833
[ 16.         -48.90000153],3.35824,1.77947
[ 10.69999981 -22.        ],2.2513,1.87977
[-26.79999924 -36.29999924],1.95675,2.18892
[-28.5        -18.29999924],3.9532,2.39709
[ 16.5         30.10000038],2.19109,2.64617
[-37.         -27.60000038],2.5114,1.88856
[-37.5         37.90000153],0.24193,1.81806
[  5.5999999 -19.       ],2.08605,1.82907
[-10.80000019  34.90000153],0.839793,2.39973
[-49.20000076 -22.20000076],2.08637,1.83456
[ 26.79999924 -29.10000038],2.08544,1.945
[ 34.5        -31.60000038],1.81594,2.38453
[-49.09999847  -6.5       ],0.488642,1.91449
[ 35.40000153 -16.10000038],2.41075,-1.2991
[ 19.70000076 -12.39999962],2.12397,1.29209
[-14.19999981  37.79999924],3.13313,5.42671
[ 39.20000076 -18.10000038],0.671902,-0.778765
[ 10.80000019  21.5       ],1.62398,2.02991
[ -5.69999981  33.20000076],3.18801,2.19898
[ 37.90000153 -18.89999962],1.15187,1.23707
[ 47.90000153 -29.79999924],1.55504,2.58247
[ 38.09999847  40.90000153],2.43983,-5.86458
[-15.80000019  20.60000038],3.29835,1.99848
[ 45.5          7.69999981],3.13544,0.790964
[-17.60000038  25.89999962],3.55213,1.8545
[ 24.39999962  17.29999924],2.94064,2.46102
[ 25.60000038  -5.19999981],2.86893,1.78001
[ 42.79999924  34.09999847],1.97326,2.69917
[ 36.         -14.30000019],1.68283,4.01155
[-49.          14.10000038],1.06745,0.553903
[  2.0999999  35.5      ],2.27611,1.83021
[-45.20000076  -7.4000001 ],2.40736,2.01178
[-46.20000076  35.09999847],0.0483983,2.07063
[ -9.         -11.69999981],2.97537,2.17011
[-42.5         10.60000038],2.46571,1.02253
[ 31.39999962 -42.29999924],-0.0743203,2.36721
[ 18.70000076   8.30000019],3.02713,2.58274
[ 33.70000076 -47.59999847],3.58019,0.316309
[-14.60000038  13.60000038],2.26505,2.21009
[-38.          29.10000038],2.03316,2.12055
[ 31.10000038  29.29999924],2.79929,6.08541
[ 48.5        -13.19999981],3.26408,1.19374
[-10.69999981  37.20000076],1.25811,2.36628
[ 35.         -24.10000038],2.15208,2.28127
[ 34.70000076 -33.29999924],1.03581,2.42407
[-43.70000076  40.70000076],1.46181,1.83808
[-26.20000076  11.39999962],0.925517,2.49568
[-41.5  -2.5],2.03086,1.76402
[  1.5        -12.19999981],2.16971,1.97026
[-28.60000038  49.59999847],3.63032,2.00593
[ -4.  -10.5],2.12962,2.0774
[ 48.70000076  -3.70000005],-0.0186348,2.52223
[ 23.5         46.40000153],1.29448,2.93838
[-36.59999847  41.        ],1.80733,1.69795
[ 30.5         -6.80000019],0.955519,1.67365
[ 8.69999981  5.30000019],3.085,3.84403
[-39.90000153  28.        ],2.21863,2.19233
[-44.79999924 -42.70000076],0.717296,1.78629
[ 30.          36.79999924],2.35585,1.99325
[ 21.20000076 -25.10000038],3.80085,1.58092
[-33.09999847 -16.29999924],0.944912,1.92283
[-14.30000019 -44.20000076],1.44789,1.81379
[-45.70000076  16.5       ],2.19691,-0.0452177
[ 30.89999962 -11.30000019],2.60222,2.67488
[-15.10000038  16.79999924],2.29964,2.11244
[ 13.          35.40000153],2.30893,1.76408
[ 42.5  13.5],1.52109,2.50868
[ 17.5          0.69999999],2.46328,2.05323
[-44.90000153 -26.89999962],1.17443,2.29659
[ 25.89999962 -18.79999924],3.06849,1.72146
[-24.29999924 -14.        ],0.967022,1.95297
[-22.39999962 -49.40000153],3.90883,1.68438
[ 15.80000019  -3.5       ],3.28502,1.73639
[ 19.   7.],2.44425,2.55673
[ 1.20000005  7.19999981],1.90591,9.48289
[  5.0999999   15.89999962],0.0474617,6.94139
[-46. -26.],1.97324,1.7548
[ 29.20000076  28.5       ],0.778315,4.8908
[ 47.40000153  -6.9000001 ],2.83627,2.23287
[  8.30000019 -27.10000038],0.767351,1.82443
[-12. -12.],1.95289,1.89137
[ 8.89999962  8.19999981],3.45813,1.76499
[  9.89999962 -15.19999981],0.453331,2.47747
[-16.29999924 -43.5       ],1.99752,1.78909
[  0.5  14. ],2.2369,2.17185
[ 13.10000038  35.        ],3.91023,1.15638
[-33.70000076  43.59999847],2.25406,1.55842
[ -8.60000038 -44.5       ],0.266942,1.88649
[ 44.29999924 -42.79999924],0.633247,3.08195
[-13.60000038 -34.20000076],2.22732,1.8599
[ 44.5  33. ],0.450283,2.89865
[-17.70000076 -25.79999924],0.602221,2.39809
[  3.0999999  21.       ],1.1144,5.75486
[  2.4000001  -38.79999924],1.98471,2.55162
[ 39.         -24.79999924],2.73416,2.70146
[-41.20000076   4.5       ],1.94244,2.26719
[-24.70000076 -41.70000076],3.49205,1.6812
[-20.79999924 -45.79999924],1.70618,1.71935
[ 11.19999981   1.89999998],3.28174,2.2629
[-34.79999924  42.09999847],1.64114,1.62849
[ 37.59999847  36.40000153],1.75004,6.62948
[-34.         -35.70000076],3.34998,2.04603
[ 22.60000038 -21.39999962],2.0021,1.59622
[-37.90000153 -39.09999847],2.85052,1.39706
[ 24.70000076 -11.39999962],0.390975,3.3294
[ 19.79999924 -26.70000076],1.76418,1.51989
[ -1.39999998  31.29999924],1.87226,2.03559
[  3.5999999   16.60000038],2.62961,6.9633
[ 43.70000076  -4.30000019],1.27882,2.51542
[ 21.89999962   5.5999999 ],1.03491,2.31892
[ 45.          49.79999924],1.23971,4.8491
[-48.5         3.9000001],0.807496,0.018503
[ 44.90000153 -13.80000019],0.374681,1.91044
[-45.59999847 -14.80000019],2.57165,1.9733
[-44.70000076 -41.40000153],2.16095,2.138
[ 46.29999924  43.40000153],2.05884,2.33518
[ 29.79999924  42.79999924],0.357335,5.22952
[ 7.0999999   1.60000002],0.361076,2.35915
[-42.20000076  20.5       ],1.10573,2.48463
[-42.70000076  12.10000038],1.96256,-0.688589
[ -6.4000001 -23.5      ],0.410434,1.99716
[-18.89999962  -0.69999999],0.356898,-7.83154
[-40.90000153 -47.        ],1.45324,1.41784
[ -2.4000001  -20.79999924],1.91688,2.47205
[ 25.79999924  18.20000076],2.12158,2.5046
[-11.30000019 -29.20000076],1.61654,1.90954
[-44.40000153  27.79999924],1.98022,2.28132
[-14.89999962   7.5       ],2.04295,2.41905
[-40.29999924  35.29999924],0.769052,1.956
[-37.40000153  47.29999924],0.97588,1.50239
[ 27.29999924 -37.59999847],3.80677,2.07739
[-47.29999924  34.40000153],1.78183,2.11408
[-11.10000038  16.        ],2.75065,2.06599
[ -4.80000019  38.20000076],0.80897,2.09651
[ 15.10000038 -40.20000076],0.186013,1.63472
[ 29.60000038 -42.09999847],0.99318,-0.806219
[ 24.79999924   5.        ],2.18973,2.16554
[ 23.70000076   6.9000001 ],1.09935,2.39973
[ 41.09999847 -28.20000076],0.565759,2.66587
[ 31.20000076 -25.20000076],0.938687,2.10452
[  7.         -26.10000038],3.07304,1.89739
[-21.89999962 -11.19999981],3.04805,2.00371
[ 34.09999847   6.        ],1.18415,1.98081
[ 36.90000153  38.79999924],2.34414,-0.594412
[  4.30000019  31.79999924],1.73035,1.78077
[-29.29999924  36.09999847],2.12564,1.72846
[-45.5  10.5],0.183603,2.89692
[-12.19999981  17.10000038],2.48885,2.04945
[ -8.80000019  11.80000019],2.11572,2.16422
[ 27.39999962 -49.90000153],1.83864,2.62083
[-10.19999981 -30.        ],3.70293,1.9216
[ 17.79999924  32.70000076],2.17036,2.73499
[ -4.9000001  22.       ],1.58031,2.30586
[-41.59999847   2.        ],1.19118,4.50483
[-11.39999962  43.79999924],1.84601,2.31306
[ 10.39999962 -40.09999847],2.36334,1.98422
[-13.30000019 -27.89999962],2.07502,1.88703
[-19.29999924 -22.5       ],0.609814,1.81908
[ 42.29999924   1.        ],-0.000681094,2.22715
[-28.10000038   8.        ],2.81914,-2.48861
[ 28.         -40.79999924],1.64573,-3.69031
[-37.59999847 -22.29999924],2.84166,1.92152
[ 42.59999847   4.4000001 ],0.947522,2.05103
[-33.79999924  -2.4000001 ],1.99108,0.371061
[-31.29999924   0.1       ],1.88535,12.487
[ 34.         -25.89999962],3.5989,2.26069
[ -3.70000005 -38.20000076],1.84306,2.99378
[ 45.40000153   1.10000002],1.21982,2.24555
[  6.5999999  32.5      ],1.43248,3.84101
[ 22.79999924 -45.5       ],0.999696,2.07797
[  1.89999998 -27.70000076],-0.0306156,2.31833
[-20.10000038 -47.40000153],3.15908,1.72304
[ 47.          27.39999962],1.35947,2.54629
[-39.20000076  49.90000153],0.813715,1.4488
[-34.20000076 -15.80000019],0.856711,1.93447
[-16.5         18.60000038],1.84273,2.07789
[ -7.          13.19999981],3.8147,2.46476
[ -2.5  18.5],3.49574,2.24543
[-31.89999962 -36.09999847],2.01276,1.58085
[-16.20000076  -7.9000001 ],2.1718,2.05866
[-46.79999924  10.69999981],-0.0449653,3.41242
[ 41.5  11. ],2.28146,2.27635
[ -3.29999995 -13.89999962],1.11047,2.07451
[ 42.20000076  23.20000076],2.85152,2.69253
[ 21.29999924 -14.10000038],1.81753,1.40374
[-19.89999962 -46.        ],1.77667,1.73089
[-47.         -3.5999999],2.73285,0.529478
[-44.20000076  45.29999924],0.600542,1.69355
[-13.80000019  47.09999847],-0.0749401,2.37592
[ 28.39999962 -21.10000038],1.55254,1.88978
[-33.29999924 -15.89999962],3.88545,1.93099
[ 26.39999962   0.2       ],1.75965,2.14755
[ 25.20000076 -44.90000153],1.312,2.65978
[ 47.09999847  17.79999924],0.136448,2.81758
[  6.0999999  49.5      ],4.08865,1.47871
[ 26.89999962 -40.59999847],3.18634,3.86666
[  6.69999981 -25.29999924],0.011656,1.90034
[ -6.80000019  35.79999924],2.90988,2.21382
[ 25.29999924 -13.30000019],4.03674,2.3095
[-39.          39.29999924],1.26554,1.79878
[ 1.60000002  6.19999981],4.05479,9.01512
[ 31.70000076   1.20000005],3.96698,2.13581
[  6.9000001  -48.40000153],2.01399,2.44872
[  7.19999981  46.29999924],2.1263,4.0207
[-35.29999924  -8.69999981],0.134375,2.34395
[-12.5         39.79999924],4.08976,2.41169
[-33.20000076 -30.70000076],2.34313,2.03671
[  1.29999995 -34.5       ],3.57789,2.52911
[  0.80000001 -17.60000038],1.97721,2.15437
[-11.69999981  48.70000076],1.99214,2.26435
[  2.79999995 -38.70000076],1.93723,2.5192
[ 33.90000153  21.20000076],1.03054,2.17861
[ 20.39999962 -37.09999847],1.21933,2.4242
[-38.90000153 -36.59999847],2.43,1.40084
[-20.20000076 -42.5       ],4.02113,1.7396
[ 15.60000038  18.10000038],0.970306,-0.99156
[ -0.1         21.60000038],1.77411,2.10169
[-37.29999924   3.20000005],2.78649,-2.57146
[-43.20000076 -30.39999962],0.51822,2.02362
[ 24.         -15.39999962],0.233707,1.57267
[ 33.29999924 -20.89999962],3.7379,2.31632
[ 44.09999847 -34.70000076],2.39736,2.93223
[ 35.90000153 -23.10000038],-0.0626965,2.43571
[ -7.69999981 -11.60000038],3.23139,2.06781
[-24.89999962   9.        ],2.8317,1.19575
[-26.         -36.90000153],3.48694,2.3678
[-16.          28.89999962],2.25988,2.39344
[ 22.89999962  14.60000038],2.0553,2.91713
[ -1.29999995 -17.        ],1.77529,2.297
[ 40.79999924 -48.5       ],1.7027,2.97758
[-37.70000076 -11.10000038],2.63793,2.03236
[ 46.   -9.5],2.00836,1.74076
[ 48.79999924 -19.39999962],2.13784,1.45896
[-36.5        -21.29999924],3.04734,1.83072
[-45.90000153  32.        ],0.784654,2.16877
[-17.89999962  24.29999924],1.68243,1.91328
[ 28.10000038 -29.        ],2.00088,2.01025
[ 35.29999924 -43.79999924],2.74827,2.60777
[-40.20000076  -4.9000001 ],1.94448,1.88582
[-21.39999962  27.10000038],1.05787,1.88404
[ 39.79999924  23.        ],3.85745,2.48866
[ 4.19999981 -2.29999995],1.6989,1.37853
