   	        	                          fitness                          	               size              
   	        	-----------------------------------------------------------	---------------------------------
gen	time    	avg        	max        	min     	std        	avg    	max	min	std      
0  	0.14593 	inf        	inf        	0.489942	nan        	1.6412 	5  	1  	0.699428 
1  	0.145855	2.03447e+06	2.07487e+08	0.489942	2.02952e+07	1.86755	5  	1  	0.889047 
2  	0.146805	2959.84    	171388     	0.489232	13350.7    	1.9736 	7  	1  	0.964363 
3  	0.150749	inf        	inf        	0.489232	nan        	2.03947	6  	1  	0.931055 
4  	0.158672	3.27869e+27	1e+30      	0.489232	5.71659e+28	2.09836	6  	1  	0.990197 
5  	0.165079	inf        	inf        	0.489232	nan        	2.29739	7  	1  	1.15744  
6  	0.1672  	inf        	inf        	0.489232	nan        	2.28013	7  	1  	1.0676   
7  	0.172853	3.42219e+15	1.05403e+18	0.489232	5.99616e+16	2.48377	7  	1  	1.13234  
8  	0.182636	inf        	inf        	0.48858 	nan        	2.65372	7  	1  	1.25405  
9  	0.190826	inf        	inf        	0.488053	nan        	2.91935	8  	1  	1.45356  
10 	0.198376	inf        	inf        	0.487359	nan        	3.08682	8  	1  	1.49668  
11 	0.202765	3.20513e+27	1e+30      	0.487359	5.65231e+28	3.26282	8  	1  	1.5755   
12 	0.213816	inf        	inf        	0.487359	nan        	3.44728	9  	1  	1.69512  
13 	0.225741	inf        	inf        	0.48687 	nan        	3.73567	9  	1  	1.65212  
14 	0.243124	inf        	inf        	0.486685	nan        	4.15238	10 	1  	1.77521  
15 	0.255439	inf        	inf        	0.486638	nan        	4.6962 	10 	1  	1.96233  
16 	0.269788	189.888    	42135.4    	0.486567	2439.87    	5.09464	14 	1  	2.03995  
17 	0.282862	inf        	inf        	0.486567	nan        	5.5566 	14 	1  	2.30155  
18 	0.29501 	inf        	inf        	0.485562	nan        	6.01567	14 	1  	2.52444  
19 	0.317977	inf        	inf        	0.473743	nan        	6.84063	16 	1  	3.07758  
20 	0.337075	inf        	inf        	0.485562	nan        	7.40187	16 	1  	3.36333  
21 	0.359253	inf        	inf        	0.485197	nan        	8.03106	17 	1  	3.49609  
22 	0.385887	inf        	inf        	0.478023	nan        	8.83901	17 	1  	3.56176  
23 	0.408502	inf        	inf        	0.477726	nan        	9.16667	17 	1  	3.72637  
24 	0.443598	inf        	inf        	0.477726	nan        	9.92308	17 	1  	3.70989  
25 	0.47507 	inf        	inf        	0.477326	nan        	10.2546	17 	1  	3.74897  
26 	0.515782	2.22357    	239.286    	0.475744	17.8109    	11.2997	17 	1  	3.45908  
27 	0.54179 	inf        	inf        	0.473681	nan        	11.2317	17 	1  	3.46603  
28 	0.577291	inf        	inf        	0.472773	nan        	11.7021	17 	2  	3.06406  
29 	0.605126	2.01299    	252.752    	0.469412	16.2895    	11.9333	17 	2  	3.10353  
30 	0.623894	inf        	inf        	0.468596	nan        	12.0846	17 	2  	3.06901  
31 	0.649692	inf        	inf        	0.463299	nan        	12.4157	17 	1  	2.85421  
32 	0.653895	13.0649    	2678.51    	0.461494	157.455    	12.4955	17 	2  	3.11021  
33 	0.678021	1.23606    	173.879    	0.461494	9.6735     	12.8982	17 	2  	3.02313  
34 	0.730693	inf        	inf        	0.459075	nan        	13.5313	17 	1  	2.85125  
35 	0.772312	20.3887    	2944.54    	0.459075	215.876    	13.9702	17 	4  	2.54817  
36 	0.797936	25877.6    	8.71656e+06	0.459075	474116     	14.0504	17 	2  	2.52944  
37 	0.831903	157.461    	42847.3    	0.459075	2390.25    	14.284 	17 	2  	2.40237  
38 	0.861322	176.581    	42847.9    	0.459075	2408.27    	14.5428	17 	3  	2.14664  
39 	0.887315	76.9964    	10534.3    	0.459025	829.286    	14.6265	17 	1  	2.1472   
40 	0.902773	608535     	2.07487e+08	0.459008	1.12196e+07	14.654 	17 	1  	2.19515  
41 	0.917432	50.1053    	13895.1    	0.45852 	763.76     	14.7515	17 	3  	2.22681  
42 	0.923992	inf        	inf        	0.45852 	nan        	14.7376	17 	1  	2.53511  
43 	0.933524	428.823    	147204     	0.458632	7925.09    	14.9099	17 	1  	2.36139  
