   	        	                          fitness                          	              size              
   	        	-----------------------------------------------------------	--------------------------------
gen	time    	avg        	max        	min       	std        	avg    	max	min	std     
0  	0.147411	inf        	inf        	0.401831  	nan        	1.58804	4  	1  	0.669499
1  	0.146306	21.2424    	2134.11    	0.401831  	134.162    	1.72517	5  	1  	0.785187
2  	0.14885 	19.5654    	1231       	0.401831  	99.5458    	1.79208	5  	1  	0.804076
3  	0.153835	inf        	inf        	0.401831  	nan        	1.86842	6  	1  	0.844364
4  	0.168901	inf        	inf        	0.401831  	nan        	2.10492	6  	1  	0.996128
5  	0.171731	inf        	inf        	0.401831  	nan        	2.2451 	7  	1  	1.18352 
6  	0.169449	9355.75    	2.86096e+06	0.401831  	163016     	2.30619	7  	1  	1.17966 
7  	0.178056	inf        	inf        	0.401831  	nan        	2.46753	6  	1  	1.27498 
8  	0.193611	inf        	inf        	0.401831  	nan        	2.8123 	7  	1  	1.36663 
9  	0.200534	inf        	inf        	0.401831  	nan        	3.05161	8  	1  	1.37157 
10 	0.205417	inf        	inf        	0.401831  	nan        	3.05788	9  	1  	1.40619 
11 	0.209748	inf        	inf        	0.401831  	nan        	3.17949	7  	1  	1.3982  
12 	0.210935	inf        	inf        	0.401831  	nan        	3.32907	8  	1  	1.50091 
13 	0.21728 	2360.27    	715580     	0.401831  	40317.5    	3.4586 	8  	1  	1.55776 
14 	0.226659	inf        	inf        	0.368931  	nan        	3.63492	8  	1  	1.58667 
15 	0.224568	inf        	inf        	0.368931  	nan        	3.77215	8  	1  	1.8277  
16 	0.235486	inf        	inf        	0.342165  	nan        	3.98738	11 	1  	2.07885 
17 	0.234269	72.7699    	17589.5    	0.342165  	989.907    	4.00943	10 	1  	2.07938 
18 	0.240194	9569.47    	2.86096e+06	0.342165  	160209     	4.11599	10 	1  	2.18194 
19 	0.24939 	inf        	inf        	0.220142  	nan        	4.33125	10 	1  	2.09082 
20 	0.248583	139709     	4.48336e+07	0.220142  	2.49847e+06	4.18069	12 	1  	2.20557 
21 	0.262778	inf        	inf        	0.220142  	nan        	4.45342	13 	1  	2.34838 
22 	0.272643	inf        	inf        	0.165046  	nan        	4.71207	12 	1  	2.31178 
23 	0.286831	inf        	inf        	0.165046  	nan        	4.75309	12 	1  	2.33482 
24 	0.302232	inf        	inf        	0.160198  	nan        	5.15692	15 	1  	2.31051 
25 	0.320067	2213.81    	700020     	0.160198  	38717.5    	5.58282	16 	1  	2.50231 
26 	0.339061	1111.09    	352711     	0.0827486 	19476.1    	5.87462	17 	1  	2.53046 
27 	0.362477	3.04878e+27	1e+30      	0.0786998 	5.51315e+28	6.27744	15 	1  	2.49007 
28 	0.391399	64.4405    	8941.75    	0.0786998 	558.309    	6.80243	15 	1  	2.33003 
29 	0.408   	inf        	inf        	0.0786998 	nan        	7.05455	14 	2  	2.2354  
30 	0.425747	6.0423e+27 	1e+30      	0.0786998 	7.7497e+28 	7.45317	16 	2  	2.65773 
31 	0.447007	inf        	inf        	0.0620561 	nan        	7.93373	17 	1  	2.85205 
32 	0.473552	329.517    	78178.4    	0.0620561 	4417.82    	8.53153	17 	1  	3.24982 
33 	0.498163	13.6849    	1191.18    	0.0620561 	107.234    	9.08383	17 	1  	3.41433 
34 	0.5279  	2192.82    	669913     	0.059528  	36580.6    	9.43582	17 	2  	3.40341 
35 	0.529356	9848.78    	2.84728e+06	0.059528  	155652     	9.46131	17 	3  	3.33073 
36 	0.537094	510.724    	156476     	0.059528  	8528.92    	9.5816 	17 	1  	3.38701 
37 	0.553554	194.108    	31075.8    	0.0564116 	2200.7     	9.9497 	17 	2  	3.64641 
38 	0.571507	25.6329    	2180.21    	0.051361  	157.769    	10.3805	17 	1  	3.77771 
39 	0.591047	inf        	inf        	0.0350889 	nan        	10.7353	17 	4  	3.80641 
40 	0.619016	inf        	inf        	0.0350889 	nan        	10.9208	17 	4  	4.00837 
41 	0.669198	2.92398e+27	1e+30      	0.0350889 	5.39947e+28	11.8216	17 	4  	3.9389  
42 	0.709075	858.667    	264444     	0.0350889 	14279.7    	12.3499	17 	2  	4.00219 
43 	0.787584	230.932    	47009.9    	0.024693  	2696.44    	13.4622	17 	2  	3.48398 
44 	0.800731	2232.53    	634381     	0.024693  	34409.6    	13.8435	17 	4  	3.19399 
45 	0.844979	62.5669    	7990.66    	0.0133514 	612.29     	14.0665	17 	1  	3.15655 
46 	0.866097	inf        	inf        	0.0133514 	nan        	14.3516	17 	4  	2.87947 
47 	0.866889	inf        	inf        	0.0114468 	nan        	13.9253	17 	4  	3.19305 
48 	0.841433	inf        	inf        	0.0114468 	nan        	13.7393	17 	2  	3.06439 
49 	0.829598	32132.8    	1.12071e+07	0.0114468 	598184     	13.38  	17 	4  	3.10228 
50 	0.797762	361.071    	75944.7    	0.0114468 	4617.13    	12.8803	17 	4  	3.12648 
51 	0.771664	inf        	inf        	0.0104857 	nan        	12.4631	17 	1  	3.18177 
52 	0.78751 	376.754    	89045      	0.0104857 	5090.67    	12.6771	17 	4  	2.96494 
53 	0.813453	235.96     	61143.5    	0.0104297 	3294.24    	12.548 	17 	2  	3.21617 
54 	0.849508	inf        	inf        	0.00847061	nan        	13.231 	17 	2  	3.12241 
55 	0.866671	112.008    	22049.3    	0.00847061	1248.23    	13.5365	17 	1  	3.10695 
56 	0.876456	80.4783    	22049.3    	0.00696165	1177.51    	13.7171	17 	4  	3.19682 
57 	0.894325	2.7933e+27 	1e+30      	0.00696165	5.27778e+28	14.1648	17 	1  	3.12374 
58 	0.89577 	inf        	inf        	0.00696165	nan        	14.0585	17 	2  	2.86355 
59 	0.921362	10.1293    	1352.48    	0.00630653	83.4881    	13.9333	17 	1  	2.74287 
60 	0.942958	2.77008e+27	1e+30      	0.00630653	5.25586e+28	14.0388	17 	2  	2.83599 
61 	0.935   	67.769     	20281.3    	0.00608854	1068.87    	13.9282	17 	1  	3.10415 
62 	0.974683	133.163    	22049.3    	0.00608854	1636.97    	14.2424	17 	4  	2.84623 
