   	        	                      fitness                      	               size              
   	        	---------------------------------------------------	---------------------------------
gen	time    	avg        	max  	min     	std        	avg    	max	min	std      
0  	0.141972	inf        	inf  	0.475813	nan        	1.59468	4  	1  	0.648411 
1  	0.14212 	inf        	inf  	0.475813	nan        	1.72848	5  	1  	0.813249 
2  	0.139276	inf        	inf  	0.475813	nan        	1.73267	4  	1  	0.850833 
3  	0.137005	inf        	inf  	0.475813	nan        	1.70724	5  	1  	0.844767 
4  	0.141123	inf        	inf  	0.475813	nan        	1.78689	5  	1  	0.859179 
5  	0.136055	inf        	inf  	0.475813	nan        	1.71242	5  	1  	0.879492 
6  	0.13918 	inf        	inf  	0.475813	nan        	1.78502	5  	1  	0.902063 
7  	0.141947	inf        	inf  	0.474754	nan        	1.82792	5  	1  	0.907902 
8  	0.143813	inf        	inf  	0.474754	nan        	1.86731	6  	1  	0.97801  
9  	0.145506	inf        	inf  	0.474754	nan        	1.87419	6  	1  	1.05966  
10 	0.151478	inf        	inf  	0.474754	nan        	1.93891	7  	1  	1.09638  
11 	0.147073	inf        	inf  	0.474592	nan        	1.89103	6  	1  	1.07163  
12 	0.151352	inf        	inf  	0.474163	nan        	1.95208	7  	1  	1.22576  
13 	0.154872	inf        	inf  	0.474163	nan        	2.07643	9  	1  	1.3917   
14 	0.152273	inf        	inf  	0.473748	nan        	1.92381	7  	1  	1.33829  
15 	0.161918	inf        	inf  	0.473748	nan        	2.14557	7  	1  	1.51919  
16 	0.180938	inf        	inf  	0.468058	nan        	2.60883	8  	1  	1.79334  
17 	0.207669	inf        	inf  	0.468058	nan        	3.2327 	9  	1  	2.03026  
18 	0.232127	inf        	inf  	0.468058	nan        	3.7931 	9  	1  	2.06959  
19 	0.259321	inf        	inf  	0.468058	nan        	4.47813	12 	1  	2.04163  
20 	0.286922	inf        	inf  	0.468058	nan        	5.11215	12 	1  	1.90912  
21 	0.311746	inf        	inf  	0.468058	nan        	5.63043	13 	1  	1.87582  
22 	0.334804	inf        	inf  	0.465282	nan        	5.98762	13 	1  	2.04588  
23 	0.355567	inf        	inf  	0.465282	nan        	6.5216 	14 	1  	2.29791  
24 	0.378581	inf        	inf  	0.465282	nan        	6.89538	14 	1  	2.38227  
25 	0.396184	inf        	inf  	0.465282	nan        	7.22699	15 	1  	2.64065  
26 	0.432187	inf        	inf  	0.465211	nan        	7.737  	16 	1  	2.79437  
27 	0.464476	inf        	inf  	0.464073	nan        	8.33537	17 	1  	2.82039  
28 	0.489173	inf        	inf  	0.464073	nan        	8.71429	16 	1  	3.01825  
29 	0.505487	inf        	inf  	0.464073	nan        	8.8303 	17 	2  	2.8954   
30 	0.541088	inf        	inf  	0.463727	nan        	9.3565 	17 	1  	2.92604  
31 	0.563084	inf        	inf  	0.463727	nan        	9.72289	17 	2  	2.91883  
32 	0.59866 	inf        	inf  	0.461996	nan        	10.1081	17 	1  	2.82848  
33 	0.616037	inf        	inf  	0.461996	nan        	10.497 	17 	1  	2.96764  
34 	0.633968	inf        	inf  	0.460885	nan        	10.7373	17 	1  	2.79172  
35 	0.635996	inf        	inf  	0.460885	nan        	10.619 	17 	1  	2.91611  
36 	0.64563 	inf        	inf  	0.4582  	nan        	10.7478	17 	3  	2.82189  
37 	0.653841	inf        	inf  	0.4582  	nan        	11.0651	17 	2  	2.87232  
38 	0.675963	inf        	inf  	0.4582  	nan        	11.118 	17 	3  	2.9184   
39 	0.69121 	inf        	inf  	0.4582  	nan        	11.3235	17 	1  	2.79833  
40 	0.686849	inf        	inf  	0.4582  	nan        	11.1349	17 	2  	2.91613  
41 	0.715232	inf        	inf  	0.4582  	nan        	11.3713	17 	2  	2.70252  
42 	0.752098	inf        	inf  	0.4582  	nan        	11.6968	17 	4  	2.65096  
43 	0.774165	inf        	inf  	0.4582  	nan        	11.9273	17 	2  	2.76459  
44 	0.77995 	inf        	inf  	0.457965	nan        	11.9594	17 	1  	3.04337  
45 	0.801195	inf        	inf  	0.457965	nan        	12.3092	17 	1  	3.03825  
46 	0.819685	inf        	inf  	0.457965	nan        	12.3833	17 	1  	2.98025  
47 	0.823447	inf        	inf  	0.457965	nan        	12.3563	17 	3  	3.08771  
48 	0.821886	inf        	inf  	0.457965	nan        	12.3181	17 	2  	3.2462   
49 	0.806446	inf        	inf  	0.457965	nan        	12.4743	17 	4  	3.15743  
50 	0.842952	inf        	inf  	0.457646	nan        	12.6268	17 	2  	3.16052  
51 	0.872031	inf        	inf  	0.456381	nan        	12.7472	17 	4  	3.01817  
52 	0.890682	inf        	inf  	0.456381	nan        	13.0283	17 	2  	3.0388   
53 	0.900136	inf        	inf  	0.456381	nan        	12.8729	17 	3  	3.03337  
54 	0.941374	inf        	inf  	0.456381	nan        	13.2028	17 	1  	3.06612  
55 	0.987828	inf        	inf  	0.456381	nan        	13.7556	17 	1  	2.98486  
56 	1.02087 	inf        	inf  	0.456381	nan        	13.8992	17 	4  	3.17746  
57 	1.0694  	inf        	inf  	0.456381	nan        	14.3799	17 	1  	3.03717  
58 	1.12195 	inf        	inf  	0.456381	nan        	14.4847	17 	1  	3.23356  
59 	1.16852 	inf        	inf  	0.456381	nan        	14.8722	17 	4  	3.13055  
60 	1.2382  	inf        	inf  	0.456381	nan        	15.4238	17 	2  	2.82262  
61 	1.2672  	inf        	inf  	0.455987	nan        	15.7928	17 	1  	2.38519  
62 	1.2774  	inf        	inf  	0.455987	nan        	15.7218	17 	4  	2.59311  
63 	1.30518 	inf        	inf  	0.456381	nan        	15.7775	17 	1  	2.60967  
64 	1.32599 	inf        	inf  	0.456381	nan        	16.011 	17 	4  	2.25617  
65 	1.34294 	inf        	inf  	0.454164	nan        	16.0082	17 	2  	2.46449  
66 	1.334   	inf        	inf  	0.454164	nan        	15.8229	17 	1  	2.65115  
67 	1.32492 	inf        	inf  	0.454164	nan        	15.6712	17 	4  	2.50066  
68 	1.33043 	inf        	inf  	0.454164	nan        	15.6965	17 	4  	2.41383  
69 	1.3156  	inf        	inf  	0.454095	nan        	15.6919	17 	4  	2.42112  
70 	1.32881 	inf        	inf  	0.454095	nan        	15.9084	17 	4  	2.29195  
71 	1.33591 	inf        	inf  	0.454095	nan        	15.828 	17 	4  	2.17697  
72 	1.3312  	inf        	inf  	0.454095	nan        	15.5845	17 	1  	2.57571  
73 	1.32615 	inf        	inf  	0.454095	nan        	15.5455	17 	4  	2.43566  
74 	1.31806 	inf        	inf  	0.454095	nan        	15.264 	17 	2  	2.74463  
75 	1.33305 	inf        	inf  	0.454095	nan        	15.3138	17 	1  	2.70587  
76 	1.35012 	inf        	inf  	0.454095	nan        	15.4801	17 	4  	2.37589  
77 	1.34702 	inf        	inf  	0.454095	nan        	15.3624	17 	4  	2.45884  
78 	1.36651 	inf        	inf  	0.454095	nan        	15.343 	17 	2  	2.77827  
79 	1.41101 	inf        	inf  	0.454095	nan        	15.4763	17 	2  	2.70126  
80 	1.4341  	inf        	inf  	0.454095	nan        	15.7192	17 	4  	2.46069  
81 	1.45305 	inf        	inf  	0.454095	nan        	15.9686	17 	4  	2.3073   
82 	1.46897 	inf        	inf  	0.454095	nan        	16.0418	17 	1  	2.1711   
83 	1.47052 	inf        	inf  	0.454095	nan        	16.0469	17 	4  	2.20626  
84 	1.46601 	inf        	inf  	0.454095	nan        	15.8701	17 	4  	2.42364  
85 	1.46721 	inf        	inf  	0.454095	nan        	15.6995	17 	2  	2.53429  
86 	1.48829 	inf        	inf  	0.454095	nan        	15.7804	17 	4  	2.20777  
87 	1.46007 	inf        	inf  	0.454095	nan        	15.4794	17 	2  	2.68099  
88 	1.46357 	inf        	inf  	0.454095	nan        	15.4267	17 	4  	2.49893  
89 	1.46029 	inf        	inf  	0.454095	nan        	15.2   	17 	4  	2.68347  
90 	1.46133 	inf        	inf  	0.454095	nan        	15.156 	17 	4  	2.70714  
