Inputs,"f(x,y)","f*(x,y)"
9.91,2.29354,2.35715
7.16,1.96851,1.94203
5.26,1.66013,1.65522
6.86,1.92571,1.89675
6.36,1.85003,1.82127
3.71,1.31103,1.31203
8.46,2.13535,2.13827
9.41,2.24177,2.28167
5.06,1.62137,1.62527
0.21,-1.56065,-1.46837
2.06,0.722706,0.697264
2.61,0.95935,0.96522
4.16,1.42552,1.42859
0.81,-0.210721,-0.204611
1.21,0.19062,0.258933
3.01,1.10194,1.09971
9.81,2.2834,2.34205
6.71,1.9036,1.8741
6.66,1.89612,1.86656
2.66,0.978326,0.982032
5.76,1.75094,1.7307
1.16,0.14842,0.233148
0.26,-1.34707,-1.29226
2.56,0.940007,0.948409
1.76,0.565314,0.542559
4.71,1.54969,1.57105
3.51,1.25562,1.25661
9.01,2.19834,2.22129
2.91,1.06815,1.06609
0.11,-2.20727,-2.17838
7.76,2.04898,2.0326
0.71,-0.34249,-0.368423
0.61,-0.494296,-0.532233
9.76,2.27829,2.3345
0.56,-0.579818,-0.614139
7.96,2.07443,2.06279
6.26,1.83418,1.80618
5.16,1.64094,1.64025
7.21,1.97547,1.94958
0.91,-0.0943107,-0.0408009
5.21,1.65058,1.64774
1.71,0.536493,0.516774
9.71,2.27316,2.32696
4.26,1.44927,1.45449
2.96,1.08519,1.0829
7.31,1.98924,1.96467
8.26,2.11142,2.10808
5.51,1.70656,1.69296
2.41,0.879627,0.877753
9.21,2.22029,2.25148
9.16,2.21485,2.24393
1.01,0.00995033,0.12301
4.91,1.59127,1.60281
7.26,1.98238,1.95713
6.51,1.87334,1.84391
2.36,0.858662,0.851969
2.46,0.900161,0.903213
4.76,1.56025,1.58034
3.86,1.35067,1.35088
5.96,1.78507,1.76089
